player_name,player_url,player_id,full_name,position,current_club,status
Óliver Torres,https://www.transfermarkt.com/oliver-torres/profil/spieler/214775,214775,Óliver Torres,Midfield - Central Midfield,Monterrey,Success
Óscar,https://www.transfermarkt.com/oscar-gonzalez/profil/spieler/7818,7818,Óscar González,Midfield - Attacking Midfield,N/A,Success
Óscar Díaz,https://www.transfermarkt.com/oscar-diaz/profil/spieler/30802,30802,Óscar Díaz,Attack - Centre-Forward,Unknown,Success
Óscar de Marcos,https://www.transfermarkt.com/oscar-de-marcos/profil/spieler/96718,96718,Óscar de Marcos,Defender - Right-Back,N/A,Success
Óscar Serrano,https://www.transfermarkt.com/oscar-serrano/profil/spieler/26373,26373,Óscar Serrano,Midfield - Left Midfield,N/A,Success
Óscar Trejo,https://www.transfermarkt.com/oscar-trejo/profil/spieler/30321,30321,Óscar Trejo,Midfield - Attacking Midfield,Rayo Vallecano,Success
Óscar Ustari,https://www.transfermarkt.com/oscar-ustari/profil/spieler/3755,3755,Óscar Ustari,Goalkeeper,Without Club,Success
Éric Abidal,https://www.transfermarkt.com/eric-abidal/profil/spieler/5283,5283,Éric Abidal,Defender - Left-Back,N/A,Success
Éver Banega,https://www.transfermarkt.com/ever-banega/profil/spieler/12249,12249,Éver Banega,Midfield - Central Midfield,Defensa,Success
Íñigo López,https://www.transfermarkt.com/inigo-lopez/profil/spieler/75238,75238,Iñigo López,Defender - Centre-Back,N/A,Success
Ádám Pintér,https://www.transfermarkt.com/adam-pinter/profil/spieler/63209,63209,Ádám Pintér,Defender - Centre-Back,N/A,Success
Álex Bergantiños,https://www.transfermarkt.com/alex-bergantinos/profil/spieler/72189,72189,Álex Bergantiños,Midfield - Defensive Midfield,N/A,Success
Álex Fernández,https://www.transfermarkt.com/alex-fernandez/profil/spieler/89733,89733,Álex Fernández,Midfield - Central Midfield,Cádiz CF,Success
Álex Gálvez,https://www.transfermarkt.com/alejandro-galvez/profil/spieler/128488,128488,Alejandro Gálvez,Defender - Centre-Back,Armilla,Success
Álex López,https://www.transfermarkt.com/alex-lopez/profil/spieler/127457,127457,Álex López,Midfield - Central Midfield,N/A,Success
Álex Martínez,https://www.transfermarkt.com/alex-martinez/profil/spieler/186891,186891,Álex Martínez,Defender - Left-Back,Marbella FC,Success
Álex Menéndez,https://www.transfermarkt.com/alex-menendez/profil/spieler/175921,175921,Álex Menéndez,Defender - Left-Back,UP Langreo,Success
Álex Moreno,https://www.transfermarkt.com/alex-moreno/profil/spieler/193098,193098,Álex Moreno,Defender - Left-Back,Girona,Success
Álex Pérez,https://www.transfermarkt.com/alex-perez/profil/spieler/167830,167830,Álex Pérez,Defender - Centre-Back,N/A,Success
Álex Rubio,https://www.transfermarkt.com/alex-rubio/profil/spieler/221658,221658,Álex Rubio,Attack - Centre-Forward,Tomares,Success
Álvaro Arbeloa,https://www.transfermarkt.com/alvaro-arbeloa/profil/spieler/28260,28260,Álvaro Arbeloa,Defender - Right-Back,N/A,Success
Álvaro Arroyo,https://www.transfermarkt.com/alvaro-arroyo/profil/spieler/138662,138662,Álvaro Arroyo,Defender - Centre-Back,N/A,Success
Álvaro Cejudo,https://www.transfermarkt.com/alvaro-cejudo/profil/spieler/72779,72779,Álvaro Cejudo,Attack - Second Striker,N/A,Success
Álvaro Domínguez,https://www.transfermarkt.com/alvaro-dominguez/profil/spieler/62915,62915,Álvaro Domínguez,Defender - Centre-Back,N/A,Success
Álvaro García,https://www.transfermarkt.com/alvaro-garcia/profil/spieler/257062,257062,Álvaro García,Attack - Left Winger,Rayo Vallecano,Success
Álvaro Giménez,https://www.transfermarkt.com/alvaro-gimenez/profil/spieler/57935,57935,Álvaro Giménez,Attack - Centre-Forward,Racing Ferrol,Success
Álvaro González,https://www.transfermarkt.com/alvaro-gonzalez/profil/spieler/183647,183647,Álvaro González,Defender - Centre-Back,N/A,Success
Álvaro Medrán,https://www.transfermarkt.com/alvaro-medran/profil/spieler/253839,253839,Álvaro Medrán,Midfield - Central Midfield,Al-Ettifaq,Success
