player_name,player_url,season,injury_type,from_date,until_date,days,days_text,games_missed,games_missed_text,club_at_injury
Óliver Torres,https://www.transfermarkt.com/oliver-torres/profil/spieler/214775,23/24,Shoulder injury,26/04/2024,30/06/2024,66,66 days,6,6,N/A
Óliver Torres,https://www.transfermarkt.com/oliver-torres/profil/spieler/214775,21/22,Leg injury,24/07/2021,13/09/2021,52,52 days,3,3,N/A
Óliver Torres,https://www.transfermarkt.com/oliver-torres/profil/spieler/214775,19/20,Foot bruise,31/01/2020,21/02/2020,22,22 days,4,4,N/A
Óliver Torres,https://www.transfermarkt.com/oliver-torres/profil/spieler/214775,15/16,Adductor pain,17/04/2016,27/04/2016,11,11 days,2,2,N/A
Óliver Torres,https://www.transfermarkt.com/oliver-torres/profil/spieler/214775,15/16,Adductor pain,14/03/2016,15/04/2016,33,33 days,6,6,N/A
Óliver Torres,https://www.transfermarkt.com/oliver-torres/profil/spieler/214775,14/15,Shoulder injury,19/02/2015,09/03/2015,19,19 days,3,3,N/A
Óliver Torres,https://www.transfermarkt.com/oliver-torres/profil/spieler/214775,14/15,Acromioclavicular joint dislocation,01/09/2014,22/09/2014,22,22 days,5,5,N/A
Óliver Torres,https://www.transfermarkt.com/oliver-torres/profil/spieler/214775,13/14,Shoulder injury,30/01/2014,27/02/2014,29,29 days,4,4,N/A
Óscar,https://www.transfermarkt.com/oscar-gonzalez/profil/spieler/7818,13/14,Ankle sprain,25/01/2014,20/02/2014,27,27 days,3,3,N/A
Óscar,https://www.transfermarkt.com/oscar-gonzalez/profil/spieler/7818,11/12,muscular problems,16/02/2012,01/03/2012,15,15 days,2,2,N/A
Óscar Díaz,https://www.transfermarkt.com/oscar-diaz/profil/spieler/30802,13/14,Overstretching,13/05/2014,19/05/2014,7,7 days,0,-,N/A
Óscar de Marcos,https://www.transfermarkt.com/oscar-de-marcos/profil/spieler/96718,24/25,Inflammation of pubic bone,12/08/2024,23/08/2024,12,12 days,1,1,N/A
Óscar de Marcos,https://www.transfermarkt.com/oscar-de-marcos/profil/spieler/96718,23/24,Hamstring injury,18/01/2024,23/01/2024,6,6 days,1,1,N/A
Óscar de Marcos,https://www.transfermarkt.com/oscar-de-marcos/profil/spieler/96718,23/24,Ankle injury,15/12/2023,31/12/2023,17,17 days,2,2,N/A
Óscar de Marcos,https://www.transfermarkt.com/oscar-de-marcos/profil/spieler/96718,23/24,Ankle injury,20/08/2023,15/09/2023,27,27 days,2,2,N/A
Óscar de Marcos,https://www.transfermarkt.com/oscar-de-marcos/profil/spieler/96718,21/22,Foot injury,08/05/2022,13/05/2022,6,6 days,1,1,N/A
Óscar de Marcos,https://www.transfermarkt.com/oscar-de-marcos/profil/spieler/96718,21/22,Corona virus,09/02/2022,16/02/2022,8,8 days,2,2,N/A
Óscar de Marcos,https://www.transfermarkt.com/oscar-de-marcos/profil/spieler/96718,21/22,Adductor pain,22/01/2022,31/01/2022,10,10 days,1,1,N/A
Óscar de Marcos,https://www.transfermarkt.com/oscar-de-marcos/profil/spieler/96718,21/22,Ankle injury,20/11/2021,28/11/2021,9,9 days,1,1,N/A
Óscar de Marcos,https://www.transfermarkt.com/oscar-de-marcos/profil/spieler/96718,21/22,Adductor pain,27/08/2021,10/09/2021,15,15 days,1,1,N/A
Óscar de Marcos,https://www.transfermarkt.com/oscar-de-marcos/profil/spieler/96718,20/21,Corona virus,07/11/2020,22/11/2020,16,16 days,1,1,N/A
Óscar de Marcos,https://www.transfermarkt.com/oscar-de-marcos/profil/spieler/96718,19/20,muscular problems,21/11/2019,21/05/2020,183,183 days,21,21,N/A
Óscar de Marcos,https://www.transfermarkt.com/oscar-de-marcos/profil/spieler/96718,19/20,Ankle injury,26/08/2019,26/09/2019,32,32 days,4,4,N/A
Óscar de Marcos,https://www.transfermarkt.com/oscar-de-marcos/profil/spieler/96718,18/19,muscular problems,17/04/2019,24/04/2019,8,8 days,1,1,N/A
Óscar de Marcos,https://www.transfermarkt.com/oscar-de-marcos/profil/spieler/96718,17/18,Leg injury,08/01/2018,08/02/2018,32,32 days,4,4,N/A
Óscar de Marcos,https://www.transfermarkt.com/oscar-de-marcos/profil/spieler/96718,17/18,Toe injury,03/12/2017,09/12/2017,7,7 days,1,1,N/A
Óscar Serrano,https://www.transfermarkt.com/oscar-serrano/profil/spieler/26373,10/11,Cruciate ligament tear,09/11/2010,01/06/2011,205,205 days,25,25,N/A
Óscar Serrano,https://www.transfermarkt.com/oscar-serrano/profil/spieler/26373,09/10,Cruciate ligament tear,25/04/2010,01/11/2010,191,191 days,14,14,N/A
Óscar Trejo,https://www.transfermarkt.com/oscar-trejo/profil/spieler/30321,18/19,Muscle injury,10/12/2018,20/12/2018,11,11 days,1,1,N/A
Óscar Trejo,https://www.transfermarkt.com/oscar-trejo/profil/spieler/30321,17/18,Muscle injury,12/02/2018,22/02/2018,11,11 days,1,1,N/A
Óscar Trejo,https://www.transfermarkt.com/oscar-trejo/profil/spieler/30321,17/18,Hamstring injury,03/12/2017,16/12/2017,14,14 days,1,1,N/A
Óscar Trejo,https://www.transfermarkt.com/oscar-trejo/profil/spieler/30321,16/17,Appendectomy,21/11/2016,22/12/2016,32,32 days,7,7,N/A
Óscar Trejo,https://www.transfermarkt.com/oscar-trejo/profil/spieler/30321,16/17,Adductor injury,16/09/2016,22/09/2016,7,7 days,2,2,N/A
Óscar Ustari,https://www.transfermarkt.com/oscar-ustari/profil/spieler/3755,25/26,Muscle injury,18/07/2025,09/08/2025,23,23 days,5,5,N/A
Óscar Ustari,https://www.transfermarkt.com/oscar-ustari/profil/spieler/3755,17/18,Patellar tendon rupture,03/11/2017,01/05/2018,180,180 days,4,4,N/A
Óscar Ustari,https://www.transfermarkt.com/oscar-ustari/profil/spieler/3755,16/17,Broken arm,18/02/2017,06/08/2017,170,170 days,15,15,N/A
Óscar Ustari,https://www.transfermarkt.com/oscar-ustari/profil/spieler/3755,12/13,Torn muscle bundle,10/05/2013,29/05/2013,20,20 days,5,5,N/A
Óscar Ustari,https://www.transfermarkt.com/oscar-ustari/profil/spieler/3755,10/11,Cruciate ligament tear,31/05/2011,01/12/2011,185,185 days,28,28,N/A
Óscar Ustari,https://www.transfermarkt.com/oscar-ustari/profil/spieler/3755,10/11,Broken jaw,13/02/2011,25/03/2011,41,41 days,7,7,N/A
Óscar Ustari,https://www.transfermarkt.com/oscar-ustari/profil/spieler/3755,08/09,Cruciate ligament tear,17/08/2008,01/03/2009,197,197 days,33,33,N/A
Óscar Ustari,https://www.transfermarkt.com/oscar-ustari/profil/spieler/3755,06/07,Knee problems,15/04/2007,08/05/2007,24,24 days,3,3,N/A
Éric Abidal,https://www.transfermarkt.com/eric-abidal/profil/spieler/5283,14/15,Rest,29/11/2014,30/11/2014,2,2 days,0,-,N/A
Éric Abidal,https://www.transfermarkt.com/eric-abidal/profil/spieler/5283,13/14,flu,26/02/2014,03/03/2014,6,6 days,1,1,N/A
Éric Abidal,https://www.transfermarkt.com/eric-abidal/profil/spieler/5283,12/13,Calf injury,28/04/2013,29/05/2013,32,32 days,0,-,N/A
Éric Abidal,https://www.transfermarkt.com/eric-abidal/profil/spieler/5283,12/13,Fitness,05/02/2013,29/03/2013,53,53 days,3,3,N/A
Éric Abidal,https://www.transfermarkt.com/eric-abidal/profil/spieler/5283,11/12,Liver transplant,17/03/2012,04/02/2013,325,325 days,30,30,N/A
Éric Abidal,https://www.transfermarkt.com/eric-abidal/profil/spieler/5283,10/11,Liver tumor,15/03/2011,01/05/2011,48,48 days,12,12,N/A
Éric Abidal,https://www.transfermarkt.com/eric-abidal/profil/spieler/5283,09/10,Adductor injury,09/02/2010,10/03/2010,30,30 days,6,6,N/A
Éric Abidal,https://www.transfermarkt.com/eric-abidal/profil/spieler/5283,09/10,muscular problems,14/11/2009,20/11/2009,7,7 days,1,1,N/A
Éric Abidal,https://www.transfermarkt.com/eric-abidal/profil/spieler/5283,08/09,Muscle tear,22/02/2009,10/04/2009,48,48 days,11,11,N/A
Éric Abidal,https://www.transfermarkt.com/eric-abidal/profil/spieler/5283,08/09,Knee problems,31/10/2008,01/12/2008,32,32 days,9,9,N/A
