player_name,player_id,slug,transfermarkt_url
Óliver Torres,214775,oliver-torres,https://www.transfermarkt.com/oliver-torres/profil/spieler/214775
Óscar,7818,oscar-gonzalez,https://www.transfermarkt.com/oscar-gonzalez/profil/spieler/7818
Óscar Díaz,30802,oscar-diaz,https://www.transfermarkt.com/oscar-diaz/profil/spieler/30802
Óscar de Marcos,96718,oscar-de-marcos,https://www.transfermarkt.com/oscar-de-marcos/profil/spieler/96718
Óscar Serrano,26373,oscar-serrano,https://www.transfermarkt.com/oscar-serrano/profil/spieler/26373
Óscar Trejo,30321,oscar-trejo,https://www.transfermarkt.com/oscar-trejo/profil/spieler/30321
Óscar Ustari,3755,oscar-ustari,https://www.transfermarkt.com/oscar-ustari/profil/spieler/3755
Éric Abidal,5283,eric-abidal,https://www.transfermarkt.com/eric-abidal/profil/spieler/5283
Éver Banega,12249,ever-banega,https://www.transfermarkt.com/ever-banega/profil/spieler/12249
Íñigo López,75238,inigo-lopez,https://www.transfermarkt.com/inigo-lopez/profil/spieler/75238
Ádám Pintér,63209,adam-pinter,https://www.transfermarkt.com/adam-pinter/profil/spieler/63209
Álex Bergantiños,72189,alex-bergantinos,https://www.transfermarkt.com/alex-bergantinos/profil/spieler/72189
Álex Fernández,89733,alex-fernandez,https://www.transfermarkt.com/alex-fernandez/profil/spieler/89733
Álex Gálvez,128488,alejandro-galvez,https://www.transfermarkt.com/alejandro-galvez/profil/spieler/128488
Álex López,127457,alex-lopez,https://www.transfermarkt.com/alex-lopez/profil/spieler/127457
Álex Martínez,186891,alex-martinez,https://www.transfermarkt.com/alex-martinez/profil/spieler/186891
Álex Menéndez,175921,alex-menendez,https://www.transfermarkt.com/alex-menendez/profil/spieler/175921
Álex Moreno,193098,alex-moreno,https://www.transfermarkt.com/alex-moreno/profil/spieler/193098
Álex Pérez,167830,alex-perez,https://www.transfermarkt.com/alex-perez/profil/spieler/167830
Álex Rubio,221658,alex-rubio,https://www.transfermarkt.com/alex-rubio/profil/spieler/221658
Álvaro Arbeloa,28260,alvaro-arbeloa,https://www.transfermarkt.com/alvaro-arbeloa/profil/spieler/28260
Álvaro Arroyo,138662,alvaro-arroyo,https://www.transfermarkt.com/alvaro-arroyo/profil/spieler/138662
Álvaro Cejudo,72779,alvaro-cejudo,https://www.transfermarkt.com/alvaro-cejudo/profil/spieler/72779
Álvaro Domínguez,62915,alvaro-dominguez,https://www.transfermarkt.com/alvaro-dominguez/profil/spieler/62915
Álvaro García,257062,alvaro-garcia,https://www.transfermarkt.com/alvaro-garcia/profil/spieler/257062
Álvaro Giménez,57935,alvaro-gimenez,https://www.transfermarkt.com/alvaro-gimenez/profil/spieler/57935
Álvaro González,183647,alvaro-gonzalez,https://www.transfermarkt.com/alvaro-gonzalez/profil/spieler/183647
Álvaro Medrán,253839,alvaro-medran,https://www.transfermarkt.com/alvaro-medran/profil/spieler/253839
Álvaro Morata,128223,alvaro-morata,https://www.transfermarkt.com/alvaro-morata/profil/spieler/128223
Álvaro Negredo,18644,alvaro-negredo,https://www.transfermarkt.com/alvaro-negredo/profil/spieler/18644
Álvaro Rubio,8323,alvaro-rubio,https://www.transfermarkt.com/alvaro-rubio/profil/spieler/8323
Álvaro Vázquez,141835,alvaro-vazquez,https://www.transfermarkt.com/alvaro-vazquez/profil/spieler/141835
Álvaro Vadillo,162074,alvaro-vadillo,https://www.transfermarkt.com/alvaro-vadillo/profil/spieler/162074
Ángel Dealbert,51420,angel-dealbert,https://www.transfermarkt.com/angel-dealbert/profil/spieler/51420
Ángel Di María,45320,angel-di-maria,https://www.transfermarkt.com/angel-di-maria/profil/spieler/45320
Ángel López,15500,angel-lopez,https://www.transfermarkt.com/angel-lopez/profil/spieler/15500
Ángel Lafita,35562,angel-lafita,https://www.transfermarkt.com/angel-lafita/profil/spieler/35562
Ángel Rodríguez,51510,angel-rodriguez,https://www.transfermarkt.com/angel-rodriguez/profil/spieler/51510
Ángel Trujillo,101742,angel-trujillo,https://www.transfermarkt.com/angel-trujillo/profil/spieler/101742
Aarón Ñíguez,57943,aaron-niguez,https://www.transfermarkt.com/aaron-niguez/profil/spieler/57943
Abdón Prats,177452,abdon-prats,https://www.transfermarkt.com/abdon-prats/profil/spieler/177452
Abdelaziz Barrada,93664,abdelaziz-barrada,https://www.transfermarkt.com/abdelaziz-barrada/profil/spieler/93664
Abdelkader Ghezzal,76406,abdelkader-ghezzal,https://www.transfermarkt.com/abdelkader-ghezzal/profil/spieler/76406
Abdelkader Oueslati,220805,abdelkader-oueslati,https://www.transfermarkt.com/abdelkader-oueslati/profil/spieler/220805
Abdoul Sissoko,83368,abdoul-wahid-sissoko,https://www.transfermarkt.com/abdoul-wahid-sissoko/profil/spieler/83368
Abdoulay Konko,22139,abdoulay-konko,https://www.transfermarkt.com/abdoulay-konko/profil/spieler/22139
Abdoulaye Ba,106837,abdoulaye-ba,https://www.transfermarkt.com/abdoulaye-ba/profil/spieler/106837
Abel Aguilar,37388,abel-aguilar,https://www.transfermarkt.com/abel-aguilar/profil/spieler/37388
Abel Gómez Moreno,29065,abel-gomez,https://www.transfermarkt.com/abel-gomez/profil/spieler/29065
Abraham González,65243,abraham-gonzalez,https://www.transfermarkt.com/abraham-gonzalez/profil/spieler/65243
Abraham Minero,95483,abraham-minero,https://www.transfermarkt.com/abraham-minero/profil/spieler/95483
Abraham Paz,29137,abraham-paz,https://www.transfermarkt.com/abraham-paz/profil/spieler/29137
Adama Traoré,204103,adama-traore,https://www.transfermarkt.com/adama-traore/profil/spieler/204103
Adil Rami,51118,adil-rami,https://www.transfermarkt.com/adil-rami/profil/spieler/51118
Adri Embarba,288318,adrian-embarba,https://www.transfermarkt.com/adrian-embarba/profil/spieler/288318
Adrià Carmona,73858,adria-carmona,https://www.transfermarkt.com/adria-carmona/profil/spieler/73858
Adrián,71271,adrian,https://www.transfermarkt.com/adrian/profil/spieler/71271
Adrián Colunga,57866,adrian-colunga,https://www.transfermarkt.com/adrian-colunga/profil/spieler/57866
Adrián González,44073,adrian-gonzalez,https://www.transfermarkt.com/adrian-gonzalez/profil/spieler/44073
Adrián Gunino,76699,adrian-gunino,https://www.transfermarkt.com/adrian-gunino/profil/spieler/76699
Adrián López,45383,adrian-lopez,https://www.transfermarkt.com/adrian-lopez/profil/spieler/45383
Adrián Lois,152985,adrian-lois,https://www.transfermarkt.com/adrian-lois/profil/spieler/152985
Adrián Marín,295414,adrian-marin,https://www.transfermarkt.com/adrian-marin/profil/spieler/295414
Adrián Sardinero,125870,adrian-sardinero,https://www.transfermarkt.com/adrian-sardinero/profil/spieler/125870
Adriano,34495,adriano,https://www.transfermarkt.com/adriano/profil/spieler/34495
Ager Aketxe,158057,ager-aketxe,https://www.transfermarkt.com/ager-aketxe/profil/spieler/158057
Agustín Pastoriza,336103,agustin-pastoriza,https://www.transfermarkt.com/agustin-pastoriza/profil/spieler/336103
Aitor Núñez,71989,aitor-nunez,https://www.transfermarkt.com/aitor-nunez/profil/spieler/71989
Aitor Ocio,7615,aitor-ocio,https://www.transfermarkt.com/aitor-ocio/profil/spieler/7615
Akihiro Ienaga,86167,akihiro-ienaga,https://www.transfermarkt.com/akihiro-ienaga/profil/spieler/86167
Alan Hutton,9619,alan-hutton,https://www.transfermarkt.com/alan-hutton/profil/spieler/9619
Albert Crusat,51536,albert-crusat,https://www.transfermarkt.com/albert-crusat/profil/spieler/51536
Albert Luque,7506,albert-luque,https://www.transfermarkt.com/albert-luque/profil/spieler/7506
Alberto Botía,53077,alberto-botia,https://www.transfermarkt.com/alberto-botia/profil/spieler/53077
Alberto Bueno,45335,alberto-bueno,https://www.transfermarkt.com/alberto-bueno/profil/spieler/45335
Alberto de la Bella,73319,alberto-de-la-bella,https://www.transfermarkt.com/alberto-de-la-bella/profil/spieler/73319
Alberto Lopo,7881,alberto-lopo,https://www.transfermarkt.com/alberto-lopo/profil/spieler/7881
Alberto Lora,57816,alberto-lora,https://www.transfermarkt.com/alberto-lora/profil/spieler/57816
Alberto Moreno,207917,alberto-moreno,https://www.transfermarkt.com/alberto-moreno/profil/spieler/207917
Alberto Noguera,185401,alberto-noguera,https://www.transfermarkt.com/alberto-noguera/profil/spieler/185401
Alberto Perea,99559,alberto-perea,https://www.transfermarkt.com/alberto-perea/profil/spieler/99559
Alberto Rivera,23306,alberto-rivera,https://www.transfermarkt.com/alberto-rivera/profil/spieler/23306
Aldo Duscher,3954,aldo-duscher,https://www.transfermarkt.com/aldo-duscher/profil/spieler/3954
Aleix Vidal,88490,aleix-vidal,https://www.transfermarkt.com/aleix-vidal/profil/spieler/88490
Alejandro Alfaro,39783,alejandro-alfaro,https://www.transfermarkt.com/alejandro-alfaro/profil/spieler/39783
Alejandro Arribas,137174,alejandro-arribas,https://www.transfermarkt.com/alejandro-arribas/profil/spieler/137174
Alejandro Martinuccio,68558,alejandro-martinuccio,https://www.transfermarkt.com/alejandro-martinuccio/profil/spieler/68558
Alejandro Pozuelo,188853,alejandro-pozuelo,https://www.transfermarkt.com/alejandro-pozuelo/profil/spieler/188853
Aleksandar Pantić,167093,aleksandar-pantic,https://www.transfermarkt.com/aleksandar-pantic/profil/spieler/167093
Alessio Cerci,21748,alessio-cerci,https://www.transfermarkt.com/alessio-cerci/profil/spieler/21748
Alex Felip,285957,alex-felip,https://www.transfermarkt.com/alex-felip/profil/spieler/285957
Alexandre Coeff,89450,alexandre-coeff,https://www.transfermarkt.com/alexandre-coeff/profil/spieler/89450
Alexandre Geijo,15981,alex-geijo,https://www.transfermarkt.com/alex-geijo/profil/spieler/15981
Alexandre Song,27394,alex-song,https://www.transfermarkt.com/alex-song/profil/spieler/27394
Alexandros Tziolis,12883,alexandros-tziolis,https://www.transfermarkt.com/alexandros-tziolis/profil/spieler/12883
Alexis,7781,alexis-ruano,https://www.transfermarkt.com/alexis-ruano/profil/spieler/7781
Alexis Sánchez,40433,alexis-sanchez,https://www.transfermarkt.com/alexis-sanchez/profil/spieler/40433
Alfonso Pedraza,356197,alfonso-pedraza,https://www.transfermarkt.com/alfonso-pedraza/profil/spieler/356197
Alfreð Finnbogason,90024,alfred-finnbogason,https://www.transfermarkt.com/alfred-finnbogason/profil/spieler/90024
Alfred N'Diaye,135778,alfred-ndiaye,https://www.transfermarkt.com/alfred-ndiaye/profil/spieler/77737
Alfredo Ortuño,96540,alfredo-ortuno,https://www.transfermarkt.com/alfredo-ortuno/profil/spieler/96540
Allan Nyom,111508,allan-nyom,https://www.transfermarkt.com/allan-nyom/profil/spieler/111508
Aloys Nong,18416,aloys-nong,https://www.transfermarkt.com/aloys-nong/profil/spieler/18416
Aly Cissokho,57515,aly-cissokho,https://www.transfermarkt.com/aly-cissokho/profil/spieler/57515
Anaitz Arbilla,71548,anaitz-arbilla,https://www.transfermarkt.com/anaitz-arbilla/profil/spieler/71548
Ander Capa,197545,ander-capa,https://www.transfermarkt.com/ander-capa/profil/spieler/197545
Ander Herrera,99343,ander-herrera,https://www.transfermarkt.com/ander-herrera/profil/spieler/99343
Ander Iturraspe,71571,ander-iturraspe,https://www.transfermarkt.com/ander-iturraspe/profil/spieler/71571
Anderson Conceição,187759,anderson-conceicao,https://www.transfermarkt.com/anderson-conceicao/profil/spieler/187759
Andoni Iraola,15804,andoni-iraola,https://www.transfermarkt.com/andoni-iraola/profil/spieler/15804
André Castro,58267,castro,https://www.transfermarkt.com/castro/profil/spieler/58267
André Gomes,221025,andre-gomes,https://www.transfermarkt.com/andre-gomes/profil/spieler/221025
André Santos,61743,andre-santos,https://www.transfermarkt.com/andre-santos/profil/spieler/61743
Andrés Fernández,57522,andres-fernandez,https://www.transfermarkt.com/andres-fernandez/profil/spieler/57522
Andrés Guardado,20506,andres-guardado,https://www.transfermarkt.com/andres-guardado/profil/spieler/20506
Andrés Iniesta,7600,andres-iniesta,https://www.transfermarkt.com/andres-iniesta/profil/spieler/7600
Andrés Palop,7563,andres-palop,https://www.transfermarkt.com/andres-palop/profil/spieler/7563
Andrés Túñez,72087,andres-tunez,https://www.transfermarkt.com/andres-tunez/profil/spieler/72087
Andreas Ivanschitz,2923,andreas-ivanschitz,https://www.transfermarkt.com/andreas-ivanschitz/profil/spieler/2923
Andreu Fontàs,65237,andreu-fontas,https://www.transfermarkt.com/andreu-fontas/profil/spieler/65237
Andrija Delibašić,10289,andrija-delibasic,https://www.transfermarkt.com/andrija-delibasic/profil/spieler/10289
Anthony Annan,29122,anthony-annan,https://www.transfermarkt.com/anthony-annan/profil/spieler/29122
Antoine Griezmann,125781,antoine-griezmann,https://www.transfermarkt.com/antoine-griezmann/profil/spieler/125781
Antonio Adán,44062,antonio-adan,https://www.transfermarkt.com/antonio-adan/profil/spieler/44062
Antonio Amaya,71904,antonio-amaya,https://www.transfermarkt.com/antonio-amaya/profil/spieler/71904
Antonio Barragán,32522,antonio-barragan,https://www.transfermarkt.com/antonio-barragan/profil/spieler/32522
Antonio Cotán,199330,antonio-cotan,https://www.transfermarkt.com/antonio-cotan/profil/spieler/199330
Antonio Floro Flores,16893,antonio-floro-flores,https://www.transfermarkt.com/antonio-floro-flores/profil/spieler/16893
Antonio López,7723,antonio-lopez,https://www.transfermarkt.com/antonio-lopez/profil/spieler/7723
Antonio Luna,126516,antonio-luna,https://www.transfermarkt.com/antonio-luna/profil/spieler/126516
Antonio Marín,217149,antonio-marin,https://www.transfermarkt.com/antonio-marin/profil/spieler/217149
Antonio Rukavina,27924,antonio-rukavina,https://www.transfermarkt.com/antonio-rukavina/profil/spieler/27924
Antonio Tomás,37340,antonio-tomas,https://www.transfermarkt.com/antonio-tomas/profil/spieler/37340
Apoño,58013,apono,https://www.transfermarkt.com/apono/profil/spieler/58013
Arda Turan,21369,arda-turan,https://www.transfermarkt.com/arda-turan/profil/spieler/21369
Ariel Nahuelpán,68562,ariel-nahuelpan,https://www.transfermarkt.com/ariel-nahuelpan/profil/spieler/68562
Aritz Aduriz,29124,aritz-aduriz,https://www.transfermarkt.com/aritz-aduriz/profil/spieler/29124
Aritz Elustondo,229804,aritz-elustondo,https://www.transfermarkt.com/aritz-elustondo/profil/spieler/229804
Aritz López Garai,51489,aritz-lopez-garai,https://www.transfermarkt.com/aritz-lopez-garai/profil/spieler/51489
Arouna Koné,8552,arouna-kone,https://www.transfermarkt.com/arouna-kone/profil/spieler/8552
Arthur Boka,13038,arthur-boka,https://www.transfermarkt.com/arthur-boka/profil/spieler/13038
Asier del Horno,7617,asier-del-horno,https://www.transfermarkt.com/asier-del-horno/profil/spieler/7617
Asier Illarramendi,59344,asier-illarramendi,https://www.transfermarkt.com/asier-illarramendi/profil/spieler/59344
Asier Riesgo,23338,asier-riesgo,https://www.transfermarkt.com/asier-riesgo/profil/spieler/23338
Augusto Fernández,39151,augusto-fernandez,https://www.transfermarkt.com/augusto-fernandez/profil/spieler/39151
Aymeric Laporte,176553,aymeric-laporte,https://www.transfermarkt.com/aymeric-laporte/profil/spieler/176553
Ayoze Díaz Díaz,16124,ayoze-diaz,https://www.transfermarkt.com/ayoze-diaz/profil/spieler/16124
Ayoze García,51518,ayoze-garcia,https://www.transfermarkt.com/ayoze-garcia/profil/spieler/51518
Aythami Artiles,44735,aythami-artiles,https://www.transfermarkt.com/aythami-artiles/profil/spieler/44735
Baba Diawara,69819,baba,https://www.transfermarkt.com/baba/profil/spieler/69819
Bacari,182257,bacari,https://www.transfermarkt.com/bacari/profil/spieler/182257
Baltasar Rigo,70910,baltasar-rigo,https://www.transfermarkt.com/baltasar-rigo/profil/spieler/70910
Bartłomiej Pawłowski,153667,bartlomiej-pawlowski,https://www.transfermarkt.com/bartlomiej-pawlowski/profil/spieler/153667
Beñat Etxebarria,40888,benat-etxebarria,https://www.transfermarkt.com/benat-etxebarria/profil/spieler/40888
Bebé,153427,bebe,https://www.transfermarkt.com/bebe/profil/spieler/153427
Benoît Trémoulinas,43264,benoit-tremoulinas,https://www.transfermarkt.com/benoit-tremoulinas/profil/spieler/43264
Bernardo Espinosa,64598,bernardo-espinosa,https://www.transfermarkt.com/bernardo-espinosa/profil/spieler/64598
Beto,35242,beto,https://www.transfermarkt.com/beto/profil/spieler/35242
Bobley Anderson,221076,bobley-anderson,https://www.transfermarkt.com/bobley-anderson/profil/spieler/221076
Bojan Jokić,44317,bojan-jokic,https://www.transfermarkt.com/bojan-jokic/profil/spieler/44317
Bojan Krkić,44675,bojan-krkic,https://www.transfermarkt.com/bojan-krkic/profil/spieler/44675
Borja Ekiza,89318,borja-ekiza,https://www.transfermarkt.com/borja-ekiza/profil/spieler/89318
Borja Fernández,271988,borja-fernandez,https://www.transfermarkt.com/borja-fernandez/profil/spieler/271988
Borja Fernández,7512,borja-fernandez,https://www.transfermarkt.com/borja-fernandez/profil/spieler/7512
Borja Gómez Pérez,65060,borja-gomez,https://www.transfermarkt.com/borja-gomez/profil/spieler/65060
Borja García,89368,borja-garcia,https://www.transfermarkt.com/borja-garcia/profil/spieler/89368
Borja García,67808,borja-garcia,https://www.transfermarkt.com/borja-garcia/profil/spieler/67808
Borja Iglesias,278359,borja-iglesias,https://www.transfermarkt.com/borja-iglesias/profil/spieler/278359
Borja López,214770,borja-lopez,https://www.transfermarkt.com/borja-lopez/profil/spieler/214770
Borja Oubiña,15715,borja-oubina,https://www.transfermarkt.com/borja-oubina/profil/spieler/15715
Borja Valero,40372,borja-valero,https://www.transfermarkt.com/borja-valero/profil/spieler/40372
