player_name,player_url,player_id,full_name,position,current_club,status
Alex,https://www.transfermarkt.com/alex/profil/spieler/15420,15420,Alex,Defender - Centre-Back,N/A,Success
Anderson,https://www.transfermarkt.com/anderson/profil/spieler/31645,31645,Anderson,Midfield - Central Midfield,N/A,Success
Bebé,https://www.transfermarkt.com/bebe/profil/spieler/153427,153427,Bebé,Attack - Left Winger,UD Ibiza,Success
Lee Chung-yong,https://www.transfermarkt.com/chung-yong-lee/profil/spieler/81801,81801,Chung-yong Lee,Attack - Right Winger,Incheon Utd.,Success
Rory Delap,https://www.transfermarkt.com/rory-delap/profil/spieler/4112,4112,Rory Delap,Midfield - Central Midfield,N/A,Success
Denílson,https://www.transfermarkt.com/denilson/profil/spieler/42352,42352,Denílson,Midfield - Defensive Midfield,N/A,Success
Fábio,https://www.transfermarkt.com/fabio/profil/spieler/61891,61891,Fábio,Defender - Right-Back,N/A,Success
Vince Grella,https://www.transfermarkt.com/vincenzo-grella/profil/spieler/6021,6021,Vincenzo Grella,Midfield - Central Midfield,N/A,Success
El Hadji Diouf,https://www.transfermarkt.com/el-hadji-diouf/profil/spieler/3604,3604,El-Hadji Diouf,Attack - Centre-Forward,N/A,Success
Park Ji-sung,https://www.transfermarkt.com/ji-sung-park/profil/spieler/4592,4592,Ji-sung Park,Midfield - Attacking Midfield,N/A,Success
Sergei Kornilenko,https://www.transfermarkt.com/sergey-kornilenko/profil/spieler/15881,15881,Sergey Kornilenko,Attack - Centre-Forward,N/A,Success
Sotirios Kyrgiakos,https://www.transfermarkt.com/sotiris-kyrgiakos/profil/spieler/9706,9706,Sotiris Kyrgiakos,Defender - Centre-Back,N/A,Success
Adrián López,https://www.transfermarkt.com/adrian-lopez/profil/spieler/44966,44966,Adrián López,Defender - Centre-Back,N/A,Success
Andy O'Brien,https://www.transfermarkt.com/andrew-obrien/profil/spieler/3228,3228,Andrew O'Brien,Defender - Centre-Back,N/A,Success
Frédéric Piquionne,https://www.transfermarkt.com/frederic-piquionne/profil/spieler/5683,5683,Frédéric Piquionne,Attack - Centre-Forward,N/A,Success
Rafael,https://www.transfermarkt.com/rafael/profil/spieler/61892,61892,Rafael,Defender - Right-Back,N/A,Success
Abdul Razak,https://www.transfermarkt.com/abdul-razak/profil/spieler/177321,177321,Abdul Razak,Midfield - Central Midfield,Without Club,Success
Jack Robinson,https://www.transfermarkt.com/jack-robinson/profil/spieler/128909,128909,Jack Robinson,Defender - Centre-Back,Birmingham,Success
Rodrigo,https://www.transfermarkt.com/rodrigo/profil/spieler/131505,131505,Rodrigo,Attack - Centre-Forward,Al-Rayyan,Success
Sandro,https://www.transfermarkt.com/sandro/profil/spieler/74590,74590,Sandro,Midfield - Central Midfield,N/A,Success
Paulo da Silva,https://www.transfermarkt.com/paulo-da-silva/profil/spieler/38800,38800,Paulo da Silva,Defender - Centre-Back,N/A,Success
Alan Smith,https://www.transfermarkt.com/alan-smith/profil/spieler/3768,3768,Alan Smith,Midfield - Central Midfield,N/A,Success
Alexandre Song,https://www.transfermarkt.com/alex-song/profil/spieler/27394,27394,Alex Song,Midfield - Defensive Midfield,N/A,Success
Matt Upson,https://www.transfermarkt.com/matthew-upson/profil/spieler/3273,3273,Matthew Upson,Defender - Centre-Back,N/A,Success
Xisco,https://www.transfermarkt.com/xisco/profil/spieler/34564,34564,Xisco,Attack - Centre-Forward,N/A,Success
Yuri Zhirkov,https://www.transfermarkt.com/yuriy-zhirkov/profil/spieler/16760,16760,Yuriy Zhirkov,Midfield - Left Midfield,N/A,Success
Patrick Agyemang,https://www.transfermarkt.com/patrick-agyemang/profil/spieler/13982,13982,Patrick Agyemang,Attack - Centre-Forward,N/A,Success
Bruno Andrade,https://www.transfermarkt.com/bruno-andrade/profil/spieler/169633,169633,Bruno Andrade,Midfield - Left Midfield,Bedford Town,Success
Park Chu-young,https://www.transfermarkt.com/chu-young-park/profil/spieler/30982,30982,Chu-young Park,Attack - Centre-Forward,N/A,Success
Ji Dong-won,https://www.transfermarkt.com/dong-won-ji/profil/spieler/164265,164265,Dong-won Ji,Attack - Centre-Forward,Macarthur,Success
Doni,https://www.transfermarkt.com/doni/profil/spieler/20392,20392,Doni,Goalkeeper,N/A,Success
Robert Hulse,https://www.transfermarkt.com/rob-hulse/profil/spieler/9980,9980,Rob Hulse,Attack - Centre-Forward,N/A,Success
Eggert Jónsson,https://www.transfermarkt.com/eggert-gunnthor-jonsson/profil/spieler/45298,45298,Eggert Gunnthór Jónsson,Midfield - Defensive Midfield,KFA,Success
Chris Martin,https://www.transfermarkt.com/chris-martin/profil/spieler/46154,46154,Chris Martin,Attack - Centre-Forward,Without Club,Success
Tommy Smith,https://www.transfermarkt.com/tommy-smith/profil/spieler/12401,12401,Tommy Smith,Attack - Centre-Forward,N/A,Success
Lee Camp,https://www.transfermarkt.com/lee-camp/profil/spieler/13443,13443,Lee Camp,Goalkeeper,N/A,Success
Javier Garrido,https://www.transfermarkt.com/javier-garrido/profil/spieler/23218,23218,Javier Garrido,Defender - Left-Back,N/A,Success
Giorgos Karagounis,https://www.transfermarkt.com/georgios-karagounis/profil/spieler/6106,6106,Georgios Karagounis,Midfield - Central Midfield,N/A,Success
Adam Mitchell,https://www.transfermarkt.com/adam-mitchell/profil/spieler/196316,196316,Adam Mitchell,Attack - Right Winger,West Auckland,Success
Maicon Sisenando,https://www.transfermarkt.com/maicon/profil/spieler/18301,18301,Maicon,Defender - Right-Back,N/A,Success
Alex Smith,https://www.transfermarkt.com/alex-smith/profil/spieler/116655,116655,Alex Smith,Midfield - Central Midfield,Without Club,Success
Ki Sung-yueng,https://www.transfermarkt.com/sung-yueng-ki/profil/spieler/81796,81796,Sung-yueng Ki,Midfield - Defensive Midfield,Pohang Steelers,Success
Adrián,https://www.transfermarkt.com/adrian/profil/spieler/71271,71271,Adrián,Goalkeeper,Real Betis,Success
Luis Alberto,https://www.transfermarkt.com/luis-alberto/profil/spieler/128220,128220,Luis Alberto,Midfield - Attacking Midfield,Al-Wakrah SC,Success
Sone Aluko,https://www.transfermarkt.com/sone-aluko/profil/spieler/42198,42198,Sone Aluko,Attack - Right Winger,N/A,Success
Kim Bo-kyung,https://www.transfermarkt.com/bo-kyung-kim/profil/spieler/128375,128375,Bo-kyung Kim,Midfield - Attacking Midfield,FC Anyang,Success
Cabral,https://www.transfermarkt.com/cabral/profil/spieler/33046,33046,Cabral,Midfield - Defensive Midfield,N/A,Success
Cala,https://www.transfermarkt.com/juan-cala/profil/spieler/67089,67089,Juan Cala,Defender - Centre-Back,N/A,Success
José Cañas,https://www.transfermarkt.com/jose-alberto-canas/profil/spieler/69609,69609,José Alberto Cañas,Midfield - Defensive Midfield,Mons Calpe,Success
Mohamed Gedo,https://www.transfermarkt.com/gedo/profil/spieler/104941,104941,Gedo,Attack - Centre-Forward,N/A,Success
Mats Møller Dæhli,https://www.transfermarkt.com/mats-moller-daehli/profil/spieler/190831,190831,Mats Møller Dæhli,Midfield - Central Midfield,Molde FK,Success
Liam O'Neil,https://www.transfermarkt.com/liam-oneil/profil/spieler/141349,141349,Liam O'Neil,Midfield - Defensive Midfield,N/A,Success
Willian,https://www.transfermarkt.com/willian/profil/spieler/52769,52769,Willian,Attack - Left Winger,Grêmio,Success
James Wilson,https://www.transfermarkt.com/james-wilson/profil/spieler/214104,214104,James Wilson,Attack - Centre-Forward,Without Club,Success
Michael Duff,https://www.transfermarkt.com/michael-duff/profil/spieler/36894,36894,Michael Duff,Defender - Centre-Back,N/A,Success
Fernando,https://www.transfermarkt.com/fernando/profil/spieler/51174,51174,Fernando,Midfield - Defensive Midfield,Without Club,Success
Nenê,https://www.transfermarkt.com/nene/profil/spieler/29091,29091,Nenê,Midfield - Attacking Midfield,Botafogo-PB,Success
José Pozo,https://www.transfermarkt.com/jose-pozo/profil/spieler/195605,195605,José Pozo,Midfield - Attacking Midfield,Pogon Szczecin,Success
Carlos Sánchez,https://www.transfermarkt.com/carlos-sanchez/profil/spieler/51226,51226,Carlos Sánchez,Midfield - Defensive Midfield,N/A,Success
Yun Suk-young,https://www.transfermarkt.com/seok-yeong-yun/profil/spieler/126643,126643,Seok-yeong Yun,Defender - Left-Back,Cheongju FC,Success
Filip Đuričić,https://www.transfermarkt.com/filip-djuricic/profil/spieler/94307,94307,Filip Djuricic,Midfield - Attacking Midfield,Panathinaikos,Success
Éder,https://www.transfermarkt.com/eder/profil/spieler/84481,84481,Éder,Attack - Centre-Forward,N/A,Success
Son Heung-min,https://www.transfermarkt.com/heung-min-son/profil/spieler/91845,91845,Heung-min Son,Attack - Left Winger,LAFC,Success
Jordan Pickford,https://www.transfermarkt.com/jordan-pickford/profil/spieler/130164,130164,Jordan Pickford,Goalkeeper,Everton,Success
Charlie Adam,https://www.transfermarkt.com/charlie-adam/profil/spieler/28990,28990,Charlie Adam,Midfield - Central Midfield,N/A,Success
Emmanuel Adebayor,https://www.transfermarkt.com/emmanuel-adebayor/profil/spieler/8883,8883,Emmanuel Adebayor,Attack - Centre-Forward,N/A,Success
Gabriel Agbonlahor,https://www.transfermarkt.com/gabriel-agbonlahor/profil/spieler/37148,37148,Gabriel Agbonlahor,Attack - Centre-Forward,N/A,Success
Daniel Agger,https://www.transfermarkt.com/daniel-agger/profil/spieler/22832,22832,Daniel Agger,Defender - Centre-Back,N/A,Success
Yakubu Aiyegbeni,https://www.transfermarkt.com/yakubu-aiyegbeni/profil/spieler/8559,8559,Yakubu Aiyegbeni,Attack - Centre-Forward,N/A,Success
Marc Albrighton,https://www.transfermarkt.com/marc-albrighton/profil/spieler/61560,61560,Marc Albrighton,Midfield - Right Midfield,N/A,Success
Antolín Alcaraz,https://www.transfermarkt.com/antoln-alcaraz/profil/spieler/14259,14259,Antolín Alcaraz,Defender - Centre-Back,N/A,Success
Manuel Almunia,https://www.transfermarkt.com/manuel-almunia/profil/spieler/16621,16621,Manuel Almunia,Goalkeeper,N/A,Success
Marcos Alonso,https://www.transfermarkt.com/marcos-alonso/profil/spieler/112515,112515,Marcos Alonso,Defender - Centre-Back,Celta de Vigo,Success
Sammy Ameobi,https://www.transfermarkt.com/sammy-ameobi/profil/spieler/92381,92381,Sammy Ameobi,Attack - Left Winger,N/A,Success
Shola Ameobi,https://www.transfermarkt.com/shola-ameobi/profil/spieler/3276,3276,Shola Ameobi,Attack - Centre-Forward,N/A,Success
Keith Andrews,https://www.transfermarkt.com/keith-andrews/profil/spieler/8035,8035,Keith Andrews,Midfield - Central Midfield,N/A,Success
Nicolas Anelka,https://www.transfermarkt.com/nicolas-anelka/profil/spieler/3226,3226,Nicolas Anelka,Attack - Centre-Forward,N/A,Success
Marcos Angeleri,https://www.transfermarkt.com/marcos-angeleri/profil/spieler/27448,27448,Marcos Angeleri,Defender - Right-Back,N/A,Success
Victor Anichebe,https://www.transfermarkt.com/victor-anichebe/profil/spieler/39532,39532,Victor Anichebe,Attack - Centre-Forward,N/A,Success
Andrey Arshavin,https://www.transfermarkt.com/andrey-arshavin/profil/spieler/15378,15378,Andrey Arshavin,Attack - Left Winger,N/A,Success
Mikel Arteta,https://www.transfermarkt.com/mikel-arteta/profil/spieler/7451,7451,Mikel Arteta,Midfield - Central Midfield,N/A,Success
Benoît Assou-Ekotto,https://www.transfermarkt.com/benot-assou-ekotto/profil/spieler/18310,18310,Benoît Assou-Ekotto,Defender - Left-Back,N/A,Success
Fábio Aurélio,https://www.transfermarkt.com/fbio-aurlio/profil/spieler/7570,7570,Fábio Aurélio,Defender - Left-Back,N/A,Success
Demba Ba,https://www.transfermarkt.com/demba-ba/profil/spieler/40205,40205,Demba Ba,Attack - Centre-Forward,N/A,Success
Ryan Babel,https://www.transfermarkt.com/ryan-babel/profil/spieler/16135,16135,Ryan Babel,Attack - Left Winger,N/A,Success
Leighton Baines,https://www.transfermarkt.com/leighton-baines/profil/spieler/13507,13507,Leighton Baines,Defender - Left-Back,N/A,Success
Chris Baird,https://www.transfermarkt.com/chris-baird/profil/spieler/4115,4115,Chris Baird,Midfield - Defensive Midfield,N/A,Success
Nathan Baker,https://www.transfermarkt.com/nathan-baker/profil/spieler/62638,62638,Nathan Baker,Defender - Centre-Back,N/A,Success
Gareth Bale,https://www.transfermarkt.com/gareth-bale/profil/spieler/39381,39381,Gareth Bale,Attack - Right Winger,N/A,Success
Mario Balotelli,https://www.transfermarkt.com/mario-balotelli/profil/spieler/45146,45146,Mario Balotelli,Attack - Centre-Forward,Al-Ittifaq,Success
Barry Bannan,https://www.transfermarkt.com/barry-bannan/profil/spieler/61561,61561,Barry Bannan,Midfield - Central Midfield,Millwall,Success
Alex Baptiste,https://www.transfermarkt.com/alex-baptiste/profil/spieler/16660,16660,Alex Baptiste,Defender - Centre-Back,Without Club,Success
Phil Bardsley,https://www.transfermarkt.com/phil-bardsley/profil/spieler/15773,15773,Phil Bardsley,Defender - Right-Back,N/A,Success
Giles Barnes,https://www.transfermarkt.com/giles-barnes/profil/spieler/37236,37236,Giles Barnes,Attack - Centre-Forward,N/A,Success
Pablo Barrera,https://www.transfermarkt.com/pablo-barrera/profil/spieler/51079,51079,Pablo Barrera,Attack - Right Winger,Querétaro FC,Success
Gareth Barry,https://www.transfermarkt.com/gareth-barry/profil/spieler/3291,3291,Gareth Barry,Midfield - Defensive Midfield,Hurstpierpoint,Success
Joey Barton,https://www.transfermarkt.com/joey-barton/profil/spieler/3292,3292,Joey Barton,Midfield - Central Midfield,N/A,Success
Chris Basham,https://www.transfermarkt.com/chris-basham/profil/spieler/52495,52495,Chris Basham,Defender - Centre-Back,N/A,Success
Sébastien Bassong,https://www.transfermarkt.com/sbastien-bassong/profil/spieler/33951,33951,Sébastien Bassong,Defender - Centre-Back,N/A,Success
Jose Baxter,https://www.transfermarkt.com/jose-baxter/profil/spieler/82734,82734,Jose Baxter,Midfield - Attacking Midfield,N/A,Success
James Beattie,https://www.transfermarkt.com/james-beattie/profil/spieler/3112,3112,James Beattie,Attack - Centre-Forward,N/A,Success
Jean Beausejour,https://www.transfermarkt.com/jean-beausejour/profil/spieler/18871,18871,Jean Beausejour,Defender - Left-Back,N/A,Success
Jermaine Beckford,https://www.transfermarkt.com/jermaine-beckford/profil/spieler/38874,38874,Jermaine Beckford,Attack - Centre-Forward,N/A,Success
Roman Bednář,https://www.transfermarkt.com/roman-bedn/profil/spieler/26898,26898,Roman Bednar,Attack - Centre-Forward,Hovorcovice,Success
Asmir Begović,https://www.transfermarkt.com/asmir-begovi/profil/spieler/33873,33873,Asmir Begovic,Goalkeeper,Leicester,Success
Valon Behrami,https://www.transfermarkt.com/valon-behrami/profil/spieler/21905,21905,Valon Behrami,Midfield - Central Midfield,N/A,Success
Hatem Ben Arfa,https://www.transfermarkt.com/hatem-ben-arfa/profil/spieler/18900,18900,Hatem Ben Arfa,Midfield - Attacking Midfield,N/A,Success
Tal Ben Haim,https://www.transfermarkt.com/tal-ben-haim/profil/spieler/20714,20714,Tal Ben Haim,Defender - Centre-Back,N/A,Success
Yossi Benayoun,https://www.transfermarkt.com/yossi-benayoun/profil/spieler/7858,7858,Yossi Benayoun,Attack - Right Winger,N/A,Success
Nicklas Bendtner,https://www.transfermarkt.com/nicklas-bendtner/profil/spieler/34557,34557,Nicklas Bendtner,Attack - Centre-Forward,N/A,Success
Benjani,https://www.transfermarkt.com/benjani/profil/spieler/12063,12063,Benjani,Attack - Centre-Forward,N/A,Success
Darren Bent,https://www.transfermarkt.com/darren-bent/profil/spieler/13239,13239,Darren Bent,Attack - Centre-Forward,N/A,Success
Marcus Bent,https://www.transfermarkt.com/marcus-bent/profil/spieler/9958,9958,Marcus Bent,Attack - Centre-Forward,Cornard United,Success
David Bentley,https://www.transfermarkt.com/david-bentley/profil/spieler/3205,3205,David Bentley,Midfield - Right Midfield,N/A,Success
