player_name,player_url,season,injury_type,from_date,until_date,days,days_text,games_missed,games_missed_text,club_at_injury
Alex,https://www.transfermarkt.com/alex/profil/spieler/15420,15/16,Back problems,02/04/2016,07/04/2016,6,6 days,1,1,N/A
Alex,https://www.transfermarkt.com/alex/profil/spieler/15420,15/16,Knee problems,23/01/2016,29/01/2016,7,7 days,1,1,N/A
Alex,https://www.transfermarkt.com/alex/profil/spieler/15420,15/16,Knee problems,08/01/2016,12/01/2016,5,5 days,1,1,N/A
Alex,https://www.transfermarkt.com/alex/profil/spieler/15420,15/16,concussion,01/11/2015,16/11/2015,16,16 days,1,1,N/A
Alex,https://www.transfermarkt.com/alex/profil/spieler/15420,14/15,infection,24/05/2015,02/06/2015,10,10 days,1,1,N/A
Alex,https://www.transfermarkt.com/alex/profil/spieler/15420,14/15,Broken nose bone,15/02/2015,22/02/2015,8,8 days,0,-,N/A
Alex,https://www.transfermarkt.com/alex/profil/spieler/15420,14/15,Muscle injury,21/11/2014,18/12/2014,28,28 days,4,4,N/A
Alex,https://www.transfermarkt.com/alex/profil/spieler/15420,14/15,Adductor pain,14/09/2014,03/10/2014,20,20 days,2,2,N/A
Alex,https://www.transfermarkt.com/alex/profil/spieler/15420,10/11,Knee surgery,01/12/2010,19/03/2011,109,109 days,19,19,N/A
Alex,https://www.transfermarkt.com/alex/profil/spieler/15420,10/11,Thigh problems,03/10/2010,24/10/2010,22,22 days,3,3,N/A
Alex,https://www.transfermarkt.com/alex/profil/spieler/15420,10/11,Hip problems,22/07/2010,14/08/2010,24,24 days,2,2,N/A
Alex,https://www.transfermarkt.com/alex/profil/spieler/15420,09/10,Groin problems,22/08/2009,20/09/2009,30,30 days,6,6,N/A
Alex,https://www.transfermarkt.com/alex/profil/spieler/15420,08/09,Torn muscle fiber,28/12/2008,14/01/2009,18,18 days,2,2,N/A
Alex,https://www.transfermarkt.com/alex/profil/spieler/15420,08/09,Thigh problems,12/11/2008,26/11/2008,15,15 days,3,3,N/A
Alex,https://www.transfermarkt.com/alex/profil/spieler/15420,08/09,Back problems,01/10/2008,18/10/2008,18,18 days,3,3,N/A
Anderson,https://www.transfermarkt.com/anderson/profil/spieler/31645,13/14,Calf injury,22/03/2014,01/04/2014,11,11 days,3,3,N/A
Anderson,https://www.transfermarkt.com/anderson/profil/spieler/31645,12/13,Hamstring injury,01/12/2012,13/01/2013,44,44 days,8,8,N/A
Anderson,https://www.transfermarkt.com/anderson/profil/spieler/31645,11/12,Knee injury,25/11/2011,04/03/2012,101,101 days,17,17,N/A
