season,squad,competition,age,matches_played,minutes,goals,assists,player_name,player_url
2012-2013,Atlético Madrid,1. La Liga,17,8,177,0,0,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2013-2014,Atlético Madrid,1. Champions Lg,18,4,126,0,1,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2013-2014,Villarreal,1. La Liga,18,9,502,0,1,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2013-2014,Atlético Madrid,1. La Liga,18,7,216,1,0,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2014-2015,Porto,1. Champions Lg,19,8,523,0,0,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2014-2015,Porto,1. Primeira Liga,19,26,1990,7,5,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2015-2016,Atlético Madrid,1. Champions Lg,20,7,251,1,0,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2015-2016,Atlético Madrid,Copa del Rey,20,5,273,0,0,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2015-2016,Atlético Madrid,1. La Liga,20,21,818,0,2,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2016-2017,Porto,1. Champions Lg,21,7,597,0,0,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2016-2017,Porto,1. Primeira Liga,21,29,1974,3,3,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2017-2018,Porto,1. Champions Lg,22,3,168,0,0,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2017-2018,Porto,1. Primeira Liga,22,19,937,0,3,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2018-2019,Porto,1. Champions Lg,23,5,349,0,2,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2018-2019,Porto,1. Primeira Liga,23,25,1256,2,1,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2019-2020,Sevilla,Copa del Rey,24,2,180,1,1,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2019-2020,Sevilla,2. Europa Lg,24,5,337,1,1,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2019-2020,Sevilla,1. La Liga,24,28,1596,3,3,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2020-2021,Sevilla,1. Champions Lg,25,7,279,0,1,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2020-2021,Sevilla,Copa del Rey,25,6,362,0,3,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2020-2021,Sevilla,1. La Liga,25,33,1400,0,3,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2020-2021,Sevilla,Super Cup,25,1,65,0,0,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2021-2022,Sevilla,1. Champions Lg,26,4,168,0,0,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2021-2022,Sevilla,Copa del Rey,26,4,315,0,1,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2021-2022,Sevilla,2. Europa Lg,26,4,205,0,0,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2021-2022,Sevilla,1. La Liga,26,26,1008,2,3,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2022-2023,Sevilla,Copa del Rey,27,4,329,0,1,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2022-2023,Sevilla,2. Europa Lg,27,8,500,0,1,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2022-2023,Sevilla,1. La Liga,27,32,2137,3,1,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2023-2024,Sevilla,1. Champions Lg,28,3,101,0,0,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2023-2024,Sevilla,Copa del Rey,28,4,310,0,1,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2023-2024,Sevilla,1. La Liga,28,27,1616,0,1,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2023-2024,Sevilla,Super Cup,28,1,73,0,0,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2024,Monterrey,Leagues Cup,29,2,33,0,0,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2024-2025,Monterrey,1. Liga MX,29,27,1808,3,2,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2025,Monterrey,1. CCC,30,4,248,0,2,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2025,Monterrey,1. Club World Cup,30,3,229,0,2,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2025,Monterrey,Leagues Cup,30,3,208,0,0,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2025-2026,Monterrey,1. Liga MX,30,15,1204,1,4,Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
2001-2002,Valladolid,1. La Liga,18,14,712,0,1,Óscar,https://fbref.com/en/players/627650df/Oscar
2002-2003,Valladolid,1. La Liga,19,30,2051,3,3,Óscar,https://fbref.com/en/players/627650df/Oscar
2003-2004,Valladolid,1. La Liga,20,37,2849,10,1,Óscar,https://fbref.com/en/players/627650df/Oscar
2004-2005,Zaragoza,1. La Liga,21,31,1705,6,2,Óscar,https://fbref.com/en/players/627650df/Oscar
2004-2005,Zaragoza,2. UEFA Cup,21,6,187,0,,Óscar,https://fbref.com/en/players/627650df/Oscar
2005-2006,Zaragoza,1. La Liga,22,36,2322,4,0,Óscar,https://fbref.com/en/players/627650df/Oscar
2006-2007,Zaragoza,1. La Liga,23,30,1058,3,2,Óscar,https://fbref.com/en/players/627650df/Oscar
2007-2008,Zaragoza,1. La Liga,24,32,1559,2,2,Óscar,https://fbref.com/en/players/627650df/Oscar
2008-2009,Olympiacos,1. Super League,25,20,904,3,0,Óscar,https://fbref.com/en/players/627650df/Oscar
2008-2009,Olympiacos,2. UEFA Cup,25,5,158,1,,Óscar,https://fbref.com/en/players/627650df/Oscar
2009-2010,Olympiacos,1. Champions Lg,26,6,359,0,0,Óscar,https://fbref.com/en/players/627650df/Oscar
2009-2010,Olympiacos,1. Super League,26,19,1250,2,3,Óscar,https://fbref.com/en/players/627650df/Oscar
2010-2011,Valladolid,2. La Liga 2,27,27,1592,7,2,Óscar,https://fbref.com/en/players/627650df/Oscar
2011-2012,Valladolid,2. La Liga 2,28,34,2526,13,8,Óscar,https://fbref.com/en/players/627650df/Oscar
2012-2013,Valladolid,1. La Liga,29,35,2937,12,8,Óscar,https://fbref.com/en/players/627650df/Oscar
2013-2014,Valladolid,1. La Liga,30,22,1630,1,4,Óscar,https://fbref.com/en/players/627650df/Oscar
2014-2015,Valladolid,Copa del Rey,31,2,32,0,0,Óscar,https://fbref.com/en/players/627650df/Oscar
2014-2015,Valladolid,2. La Liga 2,31,39,3169,16,9,Óscar,https://fbref.com/en/players/627650df/Oscar
2015-2016,Valladolid,2. La Liga 2,32,24,1425,4,1,Óscar,https://fbref.com/en/players/627650df/Oscar
2005-2006,Real Madrid B,2. La Liga 2,21,12,472,2,0,Óscar Díaz,https://fbref.com/en/players/5a5ed410/Oscar-Diaz
2006-2007,Elche,2. La Liga 2,22,30,1998,3,1,Óscar Díaz,https://fbref.com/en/players/5a5ed410/Oscar-Diaz
2007-2008,Elche,2. La Liga 2,23,14,530,2,0,Óscar Díaz,https://fbref.com/en/players/5a5ed410/Oscar-Diaz
2008-2009,Celta Vigo,2. La Liga 2,24,34,1934,2,2,Óscar Díaz,https://fbref.com/en/players/5a5ed410/Oscar-Diaz
2009-2010,Recreativo,2. La Liga 2,25,16,859,0,1,Óscar Díaz,https://fbref.com/en/players/5a5ed410/Oscar-Diaz
2010-2011,Xerez,2. La Liga 2,26,40,2443,6,1,Óscar Díaz,https://fbref.com/en/players/5a5ed410/Oscar-Diaz
2011-2012,Girona,2. La Liga 2,27,9,309,0,1,Óscar Díaz,https://fbref.com/en/players/5a5ed410/Oscar-Diaz
2011-2012,Xerez,2. La Liga 2,27,12,376,0,0,Óscar Díaz,https://fbref.com/en/players/5a5ed410/Oscar-Diaz
2012-2013,Lugo,2. La Liga 2,28,38,3179,15,1,Óscar Díaz,https://fbref.com/en/players/5a5ed410/Oscar-Diaz
2013-2014,Almería,1. La Liga,29,30,1212,4,0,Óscar Díaz,https://fbref.com/en/players/5a5ed410/Oscar-Diaz
2014-2015,Valladolid,Copa del Rey,30,4,144,0,0,Óscar Díaz,https://fbref.com/en/players/5a5ed410/Oscar-Diaz
2014-2015,Valladolid,2. La Liga 2,30,27,1427,2,2,Óscar Díaz,https://fbref.com/en/players/5a5ed410/Oscar-Diaz
2015-2016,Mallorca,2. La Liga 2,31,7,376,0,0,Óscar Díaz,https://fbref.com/en/players/5a5ed410/Oscar-Diaz
2015-2016,Numancia,2. La Liga 2,31,16,1112,7,1,Óscar Díaz,https://fbref.com/en/players/5a5ed410/Oscar-Diaz
2016-2017,Mallorca,Copa del Rey,32,1,60,0,0,Óscar Díaz,https://fbref.com/en/players/5a5ed410/Oscar-Diaz
2016-2017,Mallorca,2. La Liga 2,32,15,659,1,0,Óscar Díaz,https://fbref.com/en/players/5a5ed410/Oscar-Diaz
2017-2018,Hércules,Copa del Rey,33,2,71,0,0,Óscar Díaz,https://fbref.com/en/players/5a5ed410/Oscar-Diaz
2008-2009,Alavés,2. La Liga 2,19,19,934,3,1,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2009-2010,Athletic Club,2. Europa Lg,20,5,223,0,1,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2009-2010,Athletic Club,1. La Liga,20,19,924,1,0,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2010-2011,Athletic Club,1. La Liga,21,13,540,0,0,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2011-2012,Athletic Club,2. Europa Lg,22,13,1164,4,3,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2011-2012,Athletic Club,1. La Liga,22,34,2915,4,4,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2012-2013,Athletic Club,2. Europa Lg,23,4,360,1,0,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2012-2013,Athletic Club,1. La Liga,23,36,3136,6,4,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2013-2014,Athletic Club,1. La Liga,24,35,1982,5,2,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2014-2015,Athletic Club,1. Champions Lg,25,6,494,0,0,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2014-2015,Athletic Club,Copa del Rey,25,7,611,0,1,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2014-2015,Athletic Club,2. Europa Lg,25,2,180,1,0,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2014-2015,Athletic Club,1. La Liga,25,35,2948,1,4,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2015-2016,Athletic Club,Copa del Rey,26,5,364,1,0,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2015-2016,Athletic Club,2. Europa Lg,26,9,777,0,1,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2015-2016,Athletic Club,1. La Liga,26,34,2884,1,3,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2015-2016,Athletic Club,Supercopa de España,26,2,180,0,0,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2016-2017,Athletic Club,2. Europa Lg,27,5,439,0,0,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2016-2017,Athletic Club,1. La Liga,27,27,2150,1,4,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2017-2018,Athletic Club,2. Europa Lg,28,4,360,0,0,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2017-2018,Athletic Club,1. La Liga,28,21,1658,1,2,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2018-2019,Athletic Club,Copa del Rey,29,4,225,0,1,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2018-2019,Athletic Club,1. La Liga,29,30,2421,1,2,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2019-2020,Athletic Club,Copa del Rey,30,1,90,0,0,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2019-2020,Athletic Club,1. La Liga,30,13,541,0,1,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2020-2021,Athletic Club,Copa del Rey,31,4,404,0,0,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2020-2021,Athletic Club,1. La Liga,31,25,1520,1,2,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2020-2021,Athletic Club,Supercopa de España,31,2,210,1,0,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2021-2022,Athletic Club,Copa del Rey,32,2,194,0,0,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2021-2022,Athletic Club,1. La Liga,32,22,1679,1,2,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2021-2022,Athletic Club,Supercopa de España,32,2,180,0,0,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2022-2023,Athletic Club,Copa del Rey,33,6,518,1,0,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2022-2023,Athletic Club,1. La Liga,33,37,2819,1,6,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2023-2024,Athletic Club,Copa del Rey,34,5,419,0,1,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2023-2024,Athletic Club,1. La Liga,34,28,2258,1,5,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2024-2025,Athletic Club,Copa del Rey,35,2,188,1,0,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2024-2025,Athletic Club,2. Europa Lg,35,12,792,0,2,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2024-2025,Athletic Club,1. La Liga,35,26,1564,0,4,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2024-2025,Athletic Club,Supercopa de España,35,1,28,0,0,Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2004-2005,Espanyol,1. La Liga,22,30,1981,2,2,Óscar Serrano,https://fbref.com/en/players/c862ecc5/Oscar-Serrano
2005-2006,Racing Sant,1. La Liga,23,32,2049,1,2,Óscar Serrano,https://fbref.com/en/players/c862ecc5/Oscar-Serrano
2006-2007,Racing Sant,1. La Liga,24,31,2312,0,3,Óscar Serrano,https://fbref.com/en/players/c862ecc5/Oscar-Serrano
2007-2008,Racing Sant,1. La Liga,25,34,2332,3,1,Óscar Serrano,https://fbref.com/en/players/c862ecc5/Oscar-Serrano
2008-2009,Racing Sant,1. La Liga,26,35,2430,5,5,Óscar Serrano,https://fbref.com/en/players/c862ecc5/Oscar-Serrano
2008-2009,Racing Sant,2. UEFA Cup,26,6,485,1,,Óscar Serrano,https://fbref.com/en/players/c862ecc5/Oscar-Serrano
2009-2010,Racing Sant,1. La Liga,27,33,2169,3,2,Óscar Serrano,https://fbref.com/en/players/c862ecc5/Oscar-Serrano
2010-2011,Racing Sant,1. La Liga,28,4,57,1,0,Óscar Serrano,https://fbref.com/en/players/c862ecc5/Oscar-Serrano
2011-2012,Levante,1. La Liga,29,6,234,0,1,Óscar Serrano,https://fbref.com/en/players/c862ecc5/Oscar-Serrano
2011-2012,Racing Sant,1. La Liga,29,8,411,0,0,Óscar Serrano,https://fbref.com/en/players/c862ecc5/Oscar-Serrano
2013-2014,Alavés,2. La Liga 2,31,16,576,1,0,Óscar Serrano,https://fbref.com/en/players/c862ecc5/Oscar-Serrano
