squad,transfermarkt_id,transfermarkt_url
Real Madrid B,418,https://www.transfermarkt.com/real-madrid/startseite/verein/418
Sevilla,368,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368
Wolves,23106,https://www.transfermarkt.com/warri-wolves-fc/startseite/verein/23106
Dinamo,75231,https://www.transfermarkt.com/fk-makhachkala/startseite/verein/75231
Roma,12,https://www.transfermarkt.com/as-rom/startseite/verein/12
Montreal Impact,79533,https://www.transfermarkt.com/montreal-impact-reserves/startseite/verein/79533
QPR,Not found,Not found
BaÅŸakÅŸehir,Not found,Not found
Newcastle Utd,Not found,Not found
Estudiantesâ€“LP,Not found,Not found
DiÃ³sgyÅ‘r,Not found,Not found
Dijon,2969,https://www.transfermarkt.com/dijon-fco/startseite/verein/2969
Lazio,398,https://www.transfermarkt.com/lazio-rom/startseite/verein/398
Hebei Fortune,36630,https://www.transfermarkt.com/hebei-fc/startseite/verein/36630
Amiens,1416,https://www.transfermarkt.com/amiens-sc/startseite/verein/1416
Lens,826,https://www.transfermarkt.com/rc-lens/startseite/verein/826
Univ CatÃ³lica,Not found,Not found
Delhi Dynamos,Not found,Not found
AmÃ©rica,3631,https://www.transfermarkt.com/cf-america/startseite/verein/3631
Torino,416,https://www.transfermarkt.com/fc-turin/startseite/verein/416
CRB,89207,https://www.transfermarkt.com/clube-de-regatas-brasil-al-u20/startseite/verein/89207
QuerÃ©taro,4961,https://www.transfermarkt.com/queretaro-fc/startseite/verein/4961
Club 9 de Octubre,Not found,Not found
LeÃ³n,4941,https://www.transfermarkt.com/club-leon-fc/startseite/verein/4941
Monterrey,2407,https://www.transfermarkt.com/cf-monterrey/startseite/verein/2407
Atl Goianiense,Not found,Not found
Carpi,4102,https://www.transfermarkt.com/carpi-fc-1909/startseite/verein/4102
Eint Frankfurt,Not found,Not found
Sparta R'dam,Not found,Not found
Eupen,8441,https://www.transfermarkt.com/fc-eupen/startseite/verein/8441
Padova,3037,https://www.transfermarkt.com/calcio-padova/startseite/verein/3037
NÃ¼rnberg,7366,https://www.transfermarkt.com/sc-germania-nurnberg/startseite/verein/7366
NY Red Bulls,Not found,Not found
Puebla,5662,https://www.transfermarkt.com/puebla-fc/startseite/verein/5662
W Sydney,36100,https://www.transfermarkt.com/western-sydney-wanderers/startseite/verein/36100
Melb Victory,Not found,Not found
Al-Riyadh SC,31008,https://www.transfermarkt.com/al-riad/startseite/verein/31008
CastellÃ³n,2502,https://www.transfermarkt.com/cd-castellon/startseite/verein/2502
Brighton,82028,https://www.transfermarkt.com/amex-brighton-fc/startseite/verein/82028
Arg Juniors,Not found,Not found
Al-Raed,22381,https://www.transfermarkt.com/al-raed/startseite/verein/22381
FerencvÃ¡ros,Not found,Not found
MalmÃ¶,46527,https://www.transfermarkt.com/mps-atletico-malmi/startseite/verein/46527
Oviedo,2497,https://www.transfermarkt.com/real-oviedo/startseite/verein/2497
Cagliari,1390,https://www.transfermarkt.com/cagliari-calcio/startseite/verein/1390
Bari,332,https://www.transfermarkt.com/ssc-bari/startseite/verein/332
Rennes,35199,https://www.transfermarkt.com/ta-rennes/startseite/verein/35199
Lyn,175,https://www.transfermarkt.com/lyn-oslo/startseite/verein/175
UNAM,7633,https://www.transfermarkt.com/unam-pumas/startseite/verein/7633
AtlÃ©tico,13,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13
D.C. United,2440,https://www.transfermarkt.com/d-c-united/startseite/verein/2440
O'Higgins,11470,https://www.transfermarkt.com/cd-ohiggins/startseite/verein/11470
Cosenza,4031,https://www.transfermarkt.com/cosenza-calcio/startseite/verein/4031
Rapid BucureÈ™ti,Not found,Not found
Poli TimiÈ™oara,Not found,Not found
Le Mans,1164,https://www.transfermarkt.com/le-mans-fc/startseite/verein/1164
Memphis,99975,https://www.transfermarkt.com/memphis-fc/startseite/verein/99975
Blackburn,164,https://www.transfermarkt.com/blackburn-rovers/startseite/verein/164
HÃ©rcules,7971,https://www.transfermarkt.com/hercules-alicante/startseite/verein/7971
Alania,75506,https://www.transfermarkt.com/alania-vladikavkaz/startseite/verein/75506
Sheffield Weds,Not found,Not found
Zenit,17399,https://www.transfermarkt.com/zenit-penza/startseite/verein/17399
Reims,1421,https://www.transfermarkt.com/stade-reims/startseite/verein/1421
OsmanlÄ±spor,Not found,Not found
AnkaragÃ¼cÃ¼,868,https://www.transfermarkt.com/mke-ankaragucu/startseite/verein/868
Antwerp,1096,https://www.transfermarkt.com/royal-antwerpen-fc/startseite/verein/1096
Standard LiÃ¨ge,3057,https://www.transfermarkt.com/standard-luttich/startseite/verein/3057
PeÃ±arol,861,https://www.transfermarkt.com/ca-penarol/startseite/verein/861
Lugo,11000,https://www.transfermarkt.com/cd-lugo/startseite/verein/11000
Newell's OB,Not found,Not found
Atlas,8590,https://www.transfermarkt.com/atlas-guadalajara/startseite/verein/8590
Lille,1082,https://www.transfermarkt.com/losc-lille/startseite/verein/1082
Reus,83848,https://www.transfermarkt.com/cf-reddis/startseite/verein/83848
Aris,605,https://www.transfermarkt.com/aris-thessaloniki/startseite/verein/605
Carolina,103657,https://www.transfermarkt.com/carolina-core-fc/startseite/verein/103657
Al-Ettifaq,7732,https://www.transfermarkt.com/al-ettifaq/startseite/verein/7732
Kuban,67241,https://www.transfermarkt.com/kuban-krasnodar/startseite/verein/67241
Iraklis,47,https://www.transfermarkt.com/iraklis-thessaloniki/startseite/verein/47
MirandÃ©s,13222,https://www.transfermarkt.com/cd-mirandes/startseite/verein/13222
Siena,1387,https://www.transfermarkt.com/acn-siena-1904/startseite/verein/1387
Latina,27623,https://www.transfermarkt.com/latina-calcio-1932-u19/startseite/verein/27623
Parma,5243,https://www.transfermarkt.com/parma-calcio-1913-u19/startseite/verein/5243
Al-Fateh,27221,https://www.transfermarkt.com/al-fateh/startseite/verein/27221
Brest,61436,https://www.transfermarkt.com/as-brest/startseite/verein/61436
AtlÃ©tico Ottawa,79097,https://www.transfermarkt.com/atletico-ottawa/startseite/verein/79097
AD Cali,Not found,Not found
ADU Magdalena,Not found,Not found
MÃ¡laga B,1084,https://www.transfermarkt.com/fc-malaga/startseite/verein/1084
Steaua,61687,https://www.transfermarkt.com/csa-steaua/startseite/verein/61687
Ebro,47880,https://www.transfermarkt.com/cd-ebro/startseite/verein/47880
CE L'Hospitalet,9477,https://www.transfermarkt.com/ce-lhospitalet/startseite/verein/9477
FÃ©nix,139474,https://www.transfermarkt.com/fenix-sc/startseite/verein/139474
FamalicÃ£o,Not found,Not found
Apollon,429,https://www.transfermarkt.com/apollon-limassol/startseite/verein/429
Ath Paranaense,Not found,Not found
Bilbao B,621,https://www.transfermarkt.com/athletic-bilbao/startseite/verein/621
Kawa Frontale,Not found,Not found
Triv. Valderas,Not found,Not found
Llagostera,Not found,Not found
Cruzeiro,87127,https://www.transfermarkt.com/cruzeiro-fc/startseite/verein/87127
AvaÃ­,2035,https://www.transfermarkt.com/avai-fc-sc-/startseite/verein/2035
Rad,Not found,Not found
ZagÅ‚Ä™bie Lubin,Not found,Not found
Brescia,132806,https://www.transfermarkt.com/union-brescia/startseite/verein/132806
Pisa,14821,https://www.transfermarkt.com/ac-pisa-1909-u19/startseite/verein/14821
CD L'Alcora,Not found,Not found
RE Mouscron,Not found,Not found
GazÃ©lec Ajaccio,Not found,Not found
Larissa,Not found,Not found
Caen,1162,https://www.transfermarkt.com/sm-caen/startseite/verein/1162
Venezia,607,https://www.transfermarkt.com/venezia-fc/startseite/verein/607
