club_name,transfermarkt_url,official_name,league,league_code,league_url,league_level,league_country,table_position,years_in_league,market_value,squad_size,average_age,foreigners,foreigners_pct,national_team_players,stadium,stadium_capacity,transfer_record,status
CacereÃ±o,https://www.transfermarkt.com/cp-cacereno/startseite/verein/11602,CP Cacereño,Primera Federación - Grupo I,E3G1,https://www.transfermarkt.com/primera-division-r-f-e-f-grupo-i/startseite/wettbewerb/E3G1,Third Tier,,15,1 year,€3.10m,25,26.4,4,,0,Príncipe Felipe,,,ok
JaÃ©n,https://www.transfermarkt.com/ada-jaen/startseite/verein/114373,ADA Jaén,Liga 2,PER2,https://www.transfermarkt.com/liga-2/startseite/wettbewerb/PER2,Second Tier,,4,3 years,€2.80m,27,25.4,4,,1,Estadio Víctor Montoya Segura,,,ok
UniÃ³n,https://www.transfermarkt.com/philadelphia-union/startseite/verein/25467,Philadelphia Union,Major League Soccer,MLS1,https://www.transfermarkt.com/major-league-soccer/startseite/wettbewerb/MLS1,First Tier,,15,17 years,€40.63m,29,24.0,11,,4,Subaru Park,,,ok
ColÃ³n,https://www.transfermarkt.com/club-atletico-colon/startseite/verein/1070,CA Colón,Primera Nacional,ARG2,https://www.transfermarkt.com/primera-nacional/startseite/wettbewerb/ARG2,Second Tier,,2,3 years,€6.39m,28,27.2,2,,0,Brigadier General Estanislao López,,+€1.05m,ok
SPAL,https://www.transfermarkt.com/asd-spal-cordovado/startseite/verein/81158,ASD Spal Cordovado,,,,,,,,,5,23.2,0,,0,-,,,ok
KarabÃ¼kspor,https://www.transfermarkt.com/kardemir-karabukspor/startseite/verein/1506,Kardemir Karabükspor,3.Lig Grup 3,TR4C,https://www.transfermarkt.com/3-lig-grup-3/startseite/wettbewerb/TR4C,,,,,,0,0.0,,,0,Dr. Necmettin Şeyhoğlu,,,ok
Jong Ajax,https://www.transfermarkt.com/ajax-amsterdam-ii/startseite/verein/8817,Ajax Amsterdam U21,Keuken Kampioen Divisie,NL2,https://www.transfermarkt.com/keuken-kampioen-divisie/startseite/wettbewerb/NL2,Second Tier,,20,13 years,€10.13m,26,19.4,8,,0,"Sportpark ""De Toekomst""",,,ok
Pasto,https://www.transfermarkt.com/deportivo-pasto/startseite/verein/10090,Asociación Deportivo Pasto,Liga DIMAYOR Apertura,COLP,https://www.transfermarkt.com/liga-dimayor-i/startseite/wettbewerb/COLP,First Tier,,3,15 years,€5.43m,26,28.4,5,,1,Estadio Departamental Libertad,,+€1.10m,ok
CÃºcuta,https://www.transfermarkt.com/cucuta-deportivo/startseite/verein/13379,Cúcuta Deportivo,Liga DIMAYOR Apertura,COLP,https://www.transfermarkt.com/liga-dimayor-i/startseite/wettbewerb/COLP,First Tier,,19,1 year,€8.20m,29,27.2,5,,0,Estadio General Santander,,,ok
Pereira,https://www.transfermarkt.com/deportivo-pereira/startseite/verein/9811,Deportivo Pereira,Liga DIMAYOR Apertura,COLP,https://www.transfermarkt.com/liga-dimayor-i/startseite/wettbewerb/COLP,First Tier,,20,7 years,€4.03m,24,26.7,3,,0,Santiago de las Atalayas,,,ok
