club_name,transfermarkt_url,official_name,league,league_code,league_url,league_level,league_country,table_position,years_in_league,market_value,squad_size,average_age,foreigners,foreigners_pct,national_team_players,stadium,stadium_capacity,transfer_record,status
Real Madrid B,https://www.transfermarkt.com/real-madrid-b-castilla-/startseite/verein/6767,Real Madrid Castilla,Primera Federación - Grupo I,E3G1,https://www.transfermarkt.com/primera-division-r-f-e-f-grupo-i/startseite/wettbewerb/E3G1,Third Tier,Spain,5,1 year,€62.00m,30,20.6,1,,1,Alfredo Di Stéfano,,+€18.40m,clubs2
AlmerÃ­a,https://www.transfermarkt.mx/ud-almeria/startseite/verein/3302,UD Almería,Segunda División,ES2,https://www.transfermarkt.com/laliga2/startseite/wettbewerb/ES2,Second Tier,Spain,,,,,,,,,,,,clubs2
Sevilla,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368,Sevilla FC,LaLiga,ES1,https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1,First Tier,Spain,11,25 years,€140.40m,28,28,17,,9,Ramón Sánchez-Pizjuán,,+€54.75m,clubs2
Manchester City,https://www.transfermarkt.com/manchester-city/startseite/verein/281,Manchester City,Premier League,GB1,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,First Tier,England,2,24 years,€45.00m,27,26.1,19,,22,Etihad Stadium,,,clubs2
Valencia,https://www.transfermarkt.mx/fc-valencia/startseite/verein/1049,Valencia CF,LaLiga,ES1,https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1,First Tier,Spain,,,,,,,,,,,,clubs2
Middlesbrough,https://www.transfermarkt.com/fc-middlesbrough/startseite/verein/641,Middlesbrough FC,Championship,GB2,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2,Second Tier,England,5,9 years,€128.90m,29,26.9,16,,8,Riverside Stadium,,,clubs2
BeÅŸiktaÅŸ,https://www.transfermarkt.com/besiktas-jk/startseite/verein/114,Besiktas JK,Süper Lig,TR1,https://www.transfermarkt.com/super-lig/startseite/wettbewerb/TR1,First Tier,Turkey,4,68 years,€185.10m,28,26.1,14,,11,Beşiktaş Park,,,clubs2
CÃ¡diz,https://www.transfermarkt.mx/cadiz-cf/startseite/verein/2687,Cádiz CF,Segunda División,ES2,https://www.transfermarkt.com/laliga2/startseite/wettbewerb/ES2,Second Tier,Spain,,,,,,,,,,,,clubs2
Valladolid,https://www.transfermarkt.com/real-valladolid/startseite/verein/366,Real Valladolid CF,LaLiga2,ES2,https://www.transfermarkt.com/laliga2/startseite/wettbewerb/ES2,Second Tier,Spain,15,1 year,€31.70m,28,25.6,14,,1,José Zorrilla,,+€11.30m,clubs2
Espanyol,https://www.transfermarkt.com/espanyol-barcelona/startseite/verein/714,RCD Espanyol Barcelona,LaLiga,ES1,https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1,First Tier,Spain,14,2 years,€124.20m,23,27.4,7,,2,RCDE Stadium,,+€9.80m,clubs2
Getafe,https://www.transfermarkt.com/fc-getafe/startseite/verein/3709,Getafe CF,LaLiga,ES1,https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1,First Tier,Spain,7,9 years,€82.90m,25,28.3,13,,3,Coliseum,,+€10.80m,clubs2
Swansea City,https://www.transfermarkt.com/swansea-city/startseite/verein/2288,Swansea City,Championship,GB2,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2,Second Tier,England,11,8 years,€89.85m,26,26.4,22,,11,Swansea.com Stadium,,,clubs2
GimnÃ stic,https://www.transfermarkt.mx/gimnastic-de-tarragona/startseite/verein/5648,Gimnàstic de Tarragona,Primera Federación - Grupo 2,E3G2,https://www.transfermarkt.com/primera-division-r-f-e-f-grupo-ii/startseite/wettbewerb/E3G2,Third Tier,Spain,,,,,,,,,,,,clubs2
