club_name
QPR
BaÅŸakÅŸehir
Newcastle Utd
Estudiantesâ€“LP
DiósgyÅ‘r
Univ Católica
Delhi Dynamos
Club 9 de Octubre
Atl Goianiense
Eint Frankfurt
Sparta R'dam
NY Red Bulls
Melb Victory
Arg Juniors
Ferencváros
Rapid BucureÈ™ti
Poli TimiÈ™oara
Sheffield Weds
OsmanlÄ±spor
Newell's OB
AD Cali
ADU Magdalena
FamalicÍ£o
Ath Paranaense
Kawa Frontale
Triv. Valderas
Llagostera
Rad
ZagÅ‚Ä™bie Lubin
CD L'Alcora
RE Mouscron
Gazélec Ajaccio
Larissa
NYCFC
KasÄ±mpaÅŸa
GÍ¶ztepe
Sporting KC
Stabæk
Widzew ÅódÅº
Lechia GdaÅ„sk
ÅšlÄ…sk WrocÅ‚aw
LeixÍµes
HIFK
MiedÅº
CornellÍ
U Concepción
WisÅ‚a Kraków
Dinamo BucureÈ™ti
CA Bucaramanga
Swope Park
Atl Sanluqueño
Skoda Xanthi
GençlerbirliÄŸi
Melb City
UAG
SÍ£o Bento
Vancouver W'caps
Al-Ta'ee
BotoÈ™ani
Boa
Vitória GuimarÍ£es
Aves
Minnesota Utd
Al Sadd
Politehnica TimiÈ™oara
Terek Grozny
Farul ConstanÈ›a
Atlé Tucumán
América (MG)
General Caballero (JLM)
Deportivo Recoleta
San Martín SJ
Indep Petrolero
SCM Gloria BuzÄƒu
TÍ¢rgu MureÈ™
V-V Nagasaki
MezÅ‘kÍ¶vesd
Poli IaÈ™i
Deportes Magallanes
MiedÅº Legnica
Unionistas Sal
Brøndby
Bodø/Glimt
Vestsjælland
Jahn R'burg
Nordsjælland
Athlético MS
Dep La Coruña
Gimnasiaâ€“LP
Strømsgodset
Lillestrøm
Acad Pr Cabello
GyÅ‘r
Ä°stanbul BB
Górnik ÅÄ™czna
Shiji Ever Bright
Dep Táchira
AA Aachen
Jiangsu Sainty
Hang Greentown
Vicenza Virtus
Cen. Córdobaâ€“SdE
VoÅ¾dovac
AB Copenhagen
Å½elezniÄar PanÄevo
W'burg Kickers
Mersin Ä°Y
P'borough Utd
Ebbsfleet Utd
GÍ¶teborg
Rotherham Utd
AGF
OFC Sliven
Tianjin Q'jiang
Acc'ton Stanley
Arles-Avignon
Waas-Beveren
Dag & Red
R&D
Atlanta Utd
Sac Republic
Jong Twente
Jong Utrecht
Charlotte Ind'ence
FG Rovers
Djurgården
Chester
Inter ZapreÅ¡iÄ‡
LV Lights FC
Phx Rising
Dallas Burn
KC Wizards
Å½eljezniÄar
SønderjyskE
Olymp Volou
St Pierroise
ChÍ¢teauroux
Maldon&Tiptree
PogoÅ„ Szczecin
BB Erzurumspor
Petrolul PloieÈ™ti
Odra WodzisÅ‚aw
Ft Lauderdale
RuÅ¾omberok
St Johnstone
Consa Sapporo
BTSV
Maritzburg United
ElazÄ±ÄŸspor
Öster
Fastav Zlín
PÅ™íbram
Wrd Bremen II
NorrkÍ¶ping
BB Bodrumspor
Omniworld
Guangzhou Evg
Odd
BSK BorÄa
RoPS
TTM FC
Melb Heart
InternaÈ›ional
Met Donetsk
