squad,transfermarkt_id,transfermarkt_url
Real Madrid B,6767,https://www.transfermarkt.com/real-madrid-b-castilla-/startseite/verein/6767
AlmerÃ­a,Not found,https://www.transfermarkt.mx/ud-almeria/startseite/verein/3302
Sevilla,368,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368
Manchester City,281,https://www.transfermarkt.com/manchester-city/startseite/verein/281
Valencia,Not found,https://www.transfermarkt.mx/fc-valencia/startseite/verein/1049
Middlesbrough,641,https://www.transfermarkt.com/fc-middlesbrough/startseite/verein/641
BeÅŸiktaÅŸ,Not found,https://www.transfermarkt.com/besiktas-jk/startseite/verein/114
CÃ¡diz,Not found,https://www.transfermarkt.mx/cadiz-cf/startseite/verein/2687
Valladolid,Not found,https://www.transfermarkt.com/real-valladolid/startseite/verein/366
Espanyol,714,https://www.transfermarkt.com/espanyol-barcelona/startseite/verein/714
Getafe,3709,https://www.transfermarkt.com/fc-getafe/startseite/verein/3709
Swansea City,2288,https://www.transfermarkt.com/swansea-city/startseite/verein/2288
GimnÃ stic,Not found,https://www.transfermarkt.mx/gimnastic-de-tarragona/startseite/verein/5648
Zaragoza,Not found,https://www.transfermarkt.mx/real-zaragoza/startseite/verein/142
Sporting GijÃ³n,2448,https://www.transfermarkt.com/sporting-gijon/startseite/verein/2448
Sabadell,Not found,https://www.transfermarkt.com/ce-sabadell/startseite/verein/11422
Kerala Blasters,45277,https://www.transfermarkt.com/kerala-blasters-fc/startseite/verein/45277
Goa,Not found,https://www.transfermarkt.com/fcgoa/startseite/verein/45321
Arenas Club de Getxo,Not found,https://www.transfermarkt.mx/arenas-club/startseite/verein/16122
Benfica,294,https://www.transfermarkt.com/benfica-lissabon/startseite/verein/294
Real Madrid,418,https://www.transfermarkt.com/real-madrid/startseite/verein/418
Manchester Utd,985,https://www.transfermarkt.com/manchester-united/startseite/verein/985
Paris S-G,Not found,https://www.transfermarkt.mx/fc-paris-saint-germain/startseite/verein/583
Juventus,506,https://www.transfermarkt.com/juventus-turin/startseite/verein/506
Rosario Central,1418,https://www.transfermarkt.com/club-atletico-rosario-central/startseite/verein/1418
Barcelona,131,https://www.transfermarkt.com/fc-barcelona/startseite/verein/131
Barcelona B,2464,https://www.transfermarkt.com/fc-barcelona-b/startseite/verein/2464
Aston Villa,405,https://www.transfermarkt.com/aston-villa/startseite/verein/405
Wolves,543,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543
Fulham,931,https://www.transfermarkt.com/fc-fulham/startseite/verein/931
Betis,150,https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150
West Ham,379,https://www.transfermarkt.com/west-ham-united/startseite/verein/379
Liverpool,31,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31
La CoruÃ±a,897,https://www.transfermarkt.com/deportivo-la-coruna/startseite/verein/897
AlavÃ©s,Not found,https://www.transfermarkt.com/deportivo-alaves/startseite/verein/1108
MÃ¡laga,Not found,https://www.transfermarkt.mx/malaga-cf/startseite/verein/1084
AtlÃ©tico Madrid,Not found,https://www.transfermarkt.es/club-atletico-de-madrid/startseite/verein/13
Porto,Not found,https://www.transfermarkt.com/fc-porto/startseite/verein/720
Villarreal,Not found,https://www.transfermarkt.com/fc-villarreal/startseite/verein/1050
Osasuna,331,https://www.transfermarkt.com/ca-osasuna/startseite/verein/331
Rangers,Not found,https://www.transfermarkt.com/rangers-fc/startseite/verein/124
Tottenham,148,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148
Sunderland,Not found,https://www.transfermarkt.mx/afc-sunderland/startseite/verein/289
Mallorca,237,https://www.transfermarkt.com/rcd-mallorca/startseite/verein/237
Nott'ham Forest,Not found,https://www.transfermarkt.mx/nottinghamforest/startseite/verein/703
Bolton,Not found,https://www.transfermarkt.com/bolton-wanderers/startseite/verein/355
Rayo Vallecano,367,https://www.transfermarkt.com/rayo-vallecano/startseite/verein/367
Lleida,92869,https://www.transfermarkt.com/ce-atletic-lleida-2019/startseite/verein/92869
Wigan Athletic,1071,https://www.transfermarkt.com/wigan-athletic/startseite/verein/1071
Como,Not found,https://www.transfermarkt.com/como-1907/startseite/verein/1047
Genk,Not found,https://www.transfermarkt.com/krc-genk/startseite/verein/1184
Toronto FC,11141,https://www.transfermarkt.com/toronto-fc/startseite/verein/11141
Inter Miami,69261,https://www.transfermarkt.com/inter-miami-cf/startseite/verein/69261
Konyaspor,2293,https://www.transfermarkt.com/konyaspor/startseite/verein/2293
Al-Fayha,Not found,https://www.transfermarkt.com/al-fayha-fc/startseite/verein/50531
Bastia,Not found,https://www.transfermarkt.com/sc-bastia/startseite/verein/595
Arsenal,11,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11
Charlton Ath,358,https://www.transfermarkt.com/charlton-athletic/startseite/verein/358
Rubin Kazan,2698,https://www.transfermarkt.com/rubin-kazan/startseite/verein/2698
Sion,Not found,https://www.transfermarkt.com/fc-sion/startseite/verein/321
Udinese,410,https://www.transfermarkt.com/udinese-calcio/startseite/verein/410
Inter,Not found,https://www.transfermarkt.com/inter-mailand/startseite/verein/46
Marseille,244,https://www.transfermarkt.com/olympique-marseille/startseite/verein/244
Nancy,Not found,https://www.transfermarkt.com/as-nancy-lorraine/startseite/verein/1159
Bursaspor,20,https://www.transfermarkt.com/bursaspor/startseite/verein/20
EskiÅŸehirspor,Not found,https://www.transfermarkt.com/eskisehirspor/startseite/verein/825
Hull City,3008,https://www.transfermarkt.com/hull-city/startseite/verein/3008
Al-Shabab,9840,https://www.transfermarkt.com/al-shabab-riad/startseite/verein/9840
Granada,Not found,https://www.transfermarkt.com/fc-granada/startseite/verein/16795
Watford,1010,https://www.transfermarkt.com/fc-watford/startseite/verein/1010
West Brom,984,https://www.transfermarkt.com/west-bromwich-albion/startseite/verein/984
LeganÃ©s,Not found,https://www.transfermarkt.com/cd-leganes/startseite/verein/1244
VitÃ³ria SetÃºbal,Not found,https://www.transfermarkt.com/vitoria-setubal-fc/startseite/verein/1085/sort/age
Lyon,Not found,https://www.transfermarkt.com/olympique-lyon/startseite/verein/1041
Olympiacos,683,https://www.transfermarkt.com/olympiakos-piraus/startseite/verein/683
Yeni Mal'spor,Not found,https://www.transfermarkt.com/yeni-malatyaspor/startseite/verein/19789
Antalyaspor,589,https://www.transfermarkt.com/antalyaspor/startseite/verein/589
Athletic Club,621,https://www.transfermarkt.com/athletic-bilbao/startseite/verein/621
Boca Juniors,189,https://www.transfermarkt.com/club-atletico-boca-juniors/startseite/verein/189
UniÃ£o de Leiria,Not found,https://www.transfermarkt.mx/ud-leiria/startseite/verein/2639
Sporting CP,336,https://www.transfermarkt.com/sporting-lissabon/startseite/verein/336
VitÃ³ria,Not found,https://www.transfermarkt.mx/esporte-clube-vitoria/startseite/verein/2125
BalÄ±kesirspor,Not found,https://www.transfermarkt.com/balikesirspor/startseite/verein/20698
Metz,Not found,https://www.transfermarkt.com/fc-metz/startseite/verein/347
Arouca,8024,https://www.transfermarkt.com/fc-arouca/startseite/verein/8024
CS U Craiova,Not found,https://www.transfermarkt.com/universitatea-craiova/startseite/verein/40812
B-SAD,515,https://www.transfermarkt.com/vereinslos/startseite/verein/515
Grasshopper,504,https://www.transfermarkt.com/grasshopper-club-zurich/startseite/verein/504
Hellas Verona,276,https://www.transfermarkt.com/hellas-verona/startseite/verein/276
Spezia,Not found,https://www.transfermarkt.com/spezia-calcio/startseite/verein/3522
Eibar,Not found,https://www.transfermarkt.com/sd-eibar/startseite/verein/1533
Levante,3368,https://www.transfermarkt.com/ud-levante/startseite/verein/3368
Girona,Not found,https://www.transfermarkt.com/fc-girona/startseite/verein/12321
Cartagena,Not found,https://www.transfermarkt.com/fc-cartagena/startseite/verein/7077
Volos NFC,60949,https://www.transfermarkt.com/volos-nps/startseite/verein/60949
