club_name,transfermarkt_url
CacereÃ±o,https://www.transfermarkt.com/cp-cacereno/startseite/verein/11602
JaÃ©n,https://www.transfermarkt.com/ada-jaen/startseite/verein/114373
UniÃ³n,https://www.transfermarkt.com/philadelphia-union/startseite/verein/25467
ColÃ³n,https://www.transfermarkt.com/club-atletico-colon/startseite/verein/1070
SPAL,https://www.transfermarkt.com/asd-spal-cordovado/startseite/verein/81158
KarabÃ¼kspor,https://www.transfermarkt.com/kardemir-karabukspor/startseite/verein/1506
Jong Ajax,https://www.transfermarkt.com/ajax-amsterdam-ii/startseite/verein/8817
Pasto,https://www.transfermarkt.com/deportivo-pasto/startseite/verein/10090
CÃºcuta,https://www.transfermarkt.com/cucuta-deportivo/startseite/verein/13379
Pereira,https://www.transfermarkt.com/deportivo-pereira/startseite/verein/9811
Colo-Colo,https://www.transfermarkt.com/csd-colo-colo/startseite/verein/2433
Ancona,https://www.transfermarkt.com/us-anconitana/startseite/verein/1388
Tecos,https://www.transfermarkt.com/tecos-fc/startseite/verein/4565
AtlÃ©tico Saguntino,https://www.transfermarkt.com/atletico-saguntino/startseite/verein/50257
AC Omonia,https://www.transfermarkt.com/omonia-nikosia/startseite/verein/829
SJ Earthquakes,https://www.transfermarkt.com/san-jose-earthquakes/startseite/verein/218
UniÃ³n Comercio,https://www.transfermarkt.com/cd-union-comercio/startseite/verein/31337
LDU de Quito,https://www.transfermarkt.com/ldu-quito/startseite/verein/9855
Melgar,https://www.transfermarkt.com/fbc-melgar/startseite/verein/2734
S-Pulse,https://www.transfermarkt.com/shimizu-s-pulse/startseite/verein/1062
Den Bosch,https://www.transfermarkt.com/fc-den-bosch/startseite/verein/404
San JosÃ©,https://www.transfermarkt.com/san-jose-earthquakes/startseite/verein/218
Toledo,https://www.transfermarkt.com/cd-toledo/startseite/verein/2929
RakÃ³w,https://www.transfermarkt.com/rakow-czestochowa/startseite/verein/9644
OH Leuven,https://www.transfermarkt.com/oud-heverlee-leuven/startseite/verein/2727
Lahti,https://www.transfermarkt.com/fc-lahti/startseite/verein/2925
Wellington,https://www.transfermarkt.com/wellington-phoenix/startseite/verein/8445
Samara,https://www.transfermarkt.com/yunit-samara/startseite/verein/16618
SÃ¼dtirol,https://www.transfermarkt.com/fc-sudtirol/startseite/verein/4554
Viitorul,https://www.transfermarkt.com/acs-viitorul-cluj/startseite/verein/86655
Racing,https://www.transfermarkt.com/racing-club/startseite/verein/1444
NÃ¡utico,https://www.transfermarkt.com/nautico-fc/startseite/verein/115581
FC ChamaliÃ¨res,https://www.transfermarkt.com/fc-chamalieres/startseite/verein/46579
GuaireÃ±a,https://www.transfermarkt.com/guairena-fc/startseite/verein/63181
GuaranÃ­,https://www.transfermarkt.com/club-guarani/startseite/verein/11855
Club AtlÃ©tico Tembetary,https://www.transfermarkt.com/atletico-tembetary/startseite/verein/908
Alicante,https://www.transfermarkt.com/cf-independiente-alicante/startseite/verein/69359
JÃºbilo Iwata,https://www.transfermarkt.com/jubilo-iwata/startseite/verein/937
Caracas,https://www.transfermarkt.com/caracas-fc/startseite/verein/531
Zamora,https://www.transfermarkt.com/zamora-fc/startseite/verein/18018
NÃ®mes,https://www.transfermarkt.com/sc-nimes/startseite/verein/63668
Molde,https://www.transfermarkt.com/molde-fk/startseite/verein/687
Curico Unido,https://www.transfermarkt.com/cdp-curico-unido/startseite/verein/19027
Al-Khaleej,https://www.transfermarkt.com/al-khaleej/startseite/verein/6070
MÃ©rida AD,https://www.transfermarkt.com/merida-ad/startseite/verein/46854
Tigre,https://www.transfermarkt.com/club-atletico-tigre/startseite/verein/11831
Evian,https://www.transfermarkt.com/us-evian-lugrin/startseite/verein/79789
Maldonado,https://www.transfermarkt.com/cd-maldonado/startseite/verein/18075
Aalen,https://www.transfermarkt.com/vfr-aalen/startseite/verein/83
SorkhPooshan FC,https://www.transfermarkt.com/sorkhpooshan-qom/startseite/verein/96080
HuracÃ¡n,https://www.transfermarkt.com/huracan-futbol-club/startseite/verein/34318
Avellino,https://www.transfermarkt.com/us-avellino-1912/startseite/verein/2331
CearÃ¡,https://www.transfermarkt.com/ceara-sporting-club-u20/startseite/verein/17892
Sedan,https://www.transfermarkt.com/krupki-drsu-164/startseite/verein/90666
