squad,transfermarkt_url
Brighton,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237
Newell's OB,https://www.transfermarkt.mx/ca-newells-old-boys/startseite/verein/1286
Reus,https://www.transfermarkt.com/reus-fc-reddis/startseite/verein/83848
AD Cali,https://www.transfermarkt.mx/deportivo-cali/startseite/verein/9961
ADU Magdalena,https://www.transfermarkt.mx/union-magdalena/startseite/verein/14680
FamalicÃ£o,https://www.transfermarkt.mx/fcfamalicao/startseite/verein/3329
Ath Paranaense,https://www.transfermarkt.mx/club-athletico-paranaense/startseite/verein/679
Kawa Frontale,https://www.transfermarkt.com/kawasaki-frontale/startseite/verein/9598
Triv. Valderas,https://www.transfermarkt.mx/cf-trival-valderas-alcorcon/startseite/verein/29198
Llagostera,https://www.transfermarkt.es/ue-costa-brava/startseite/verein/26132
Rad,https://www.transfermarkt.com/fk-rad-belgrado/startseite/verein/902
ZagÅ‚Ä™bie Lubin,https://www.transfermarkt.com/zaglebie-lubin/startseite/verein/168
CD L'Alcora,https://www.transfermarkt.mx/cd-lalcora/startseite/verein/53395
GazÃ©lec Ajaccio,https://www.transfermarkt.com/gfc-ajaccio/startseite/verein/3558
Larissa,https://www.transfermarkt.mx/ae-larisa/startseite/verein/4603
CuiabÃ¡,https://www.transfermarkt.es/cuiaba-esporte-clube/startseite/verein/28022
KasÄ±mpaÅŸa,https://www.transfermarkt.com.tr/kasimpasa/startseite/verein/10484
Sporting KC,https://www.transfermarkt.com/sporting-kansas-city/startseite/verein/4284
StabÃ¦k,https://www.transfermarkt.mx/stabaek-fotball/startseite/verein/1274
Widzew ÅÃ³dÅº,https://www.transfermarkt.com/rts-widzew-lodz/startseite/verein/88
Lechia GdaÅ„sk,https://www.transfermarkt.com/lechia-gdansk/datenfakten/verein/4000
LeixÃµes,https://www.transfermarkt.com/leixoes-sc/startseite/verein/3345
MiedÅº,https://www.transfermarkt.pl/miedz-legnica/startseite/verein/8936
CornellÃ ,https://www.transfermarkt.com/ue-cornella/startseite/verein/16196
U ConcepciÃ³n,https://www.transfermarkt.com/universidad-de-concepcion/startseite/verein/5622
WisÅ‚a KrakÃ³w,https://www.transfermarkt.com/wisla-cracovia/startseite/verein/422
Dinamo BucureÈ™ti,https://www.transfermarkt.com/fc-dinamo-1948/startseite/verein/312
CA Bucaramanga,https://www.transfermarkt.mx/atletico-bucaramanga/startseite/verein/6495
Swope Park,https://www.transfermarkt.com/sporting-kansas-city-ii/startseite/verein/51604
Atl SanluqueÃ±o,https://www.transfermarkt.mx/atletico-sanluqueno/startseite/verein/21322
Melb City,https://www.transfermarkt.com/melbourne-city-fc/startseite/verein/25580
UAG,https://www.transfermarkt.mx/tecos-fc/startseite/verein/4565
SÃ£o Bento,https://www.transfermarkt.com/esporte-clube-sao-bento-sp-/startseite/verein/8433
Vancouver W'caps,https://www.transfermarkt.com/vancouver-whitecaps-fc/startseite/verein/6321
Al-Ta'ee,https://www.transfermarkt.mx/al-taee/kadernachposition/verein/40079
BotoÈ™ani,https://www.transfermarkt.mx/fc-botosani/startseite/verein/8818
Boa,https://www.transfermarkt.mx/boa-ec/startseite/verein/17561
VitÃ³ria GuimarÃ£es,https://www.transfermarkt.mx/vitoria-guimaraes-sc/startseite/verein/2420
Aves,https://www.transfermarkt.mx/avs-futebol/startseite/verein/110302
UniÃ³n,https://www.transfermarkt.mx/1-fc-union-berlin/startseite/verein/89
Minnesota Utd,https://www.transfermarkt.com/minnesota-united-fc/startseite/verein/56089
Al Sadd,https://www.transfermarkt.com/al-sadd-sc/startseite/verein/656
Politehnica TimiÈ™oara,https://www.transfermarkt.ro/acs-stiinta-poli-timisoara/startseite/verein/39835
Terek Grozny,https://www.transfermarkt.com/akhmat-grozny/startseite/verein/3725
Farul ConstanÈ›a,https://www.transfermarkt.mx/fcv-farul-constanta/startseite/verein/29831
AtlÃ© TucumÃ¡n,https://www.transfermarkt.mx/club-atletico-tucuman/startseite/verein/14554
AmÃ©rica (MG),https://www.transfermarkt.mx/america-futebol-clube/startseite/verein/2863
General Caballero (JLM),https://www.transfermarkt.mx/club-general-caballero-jlm-/startseite/verein/95573
Deportivo Recoleta,https://www.transfermarkt.mx/deportes-recoleta/startseite/verein/61808
San MartÃ­n SJ,https://www.transfermarkt.mx/ca-san-martin-san-juan-/startseite/verein/10511
Indep Petrolero,https://www.transfermarkt.mx/club-independiente-petrolero/startseite/verein/30854
SCM Gloria BuzÄƒu,https://www.transfermarkt.com/asfc-buzau-2016-2025-/startseite/verein/11380/saison_id/2025
TÃ¢rgu MureÈ™,https://www.transfermarkt.com/afc-asa-targu-mures/startseite/verein/93148
V-V Nagasaki,https://www.transfermarkt.com/nagasaki/startseite/verein/23581
MezÅ‘kÃ¶vesd,https://www.transfermarkt.com/mezokovesd-zsory-fc/startseite/verein/24032
Poli IaÈ™i,https://www.transfermarkt.com/acsm-politehnica-iasi/startseite/verein/33966
Deportes Magallanes,https://www.transfermarkt.mx/magallanes/startseite/verein/13394
MiedÅº Legnica,https://www.transfermarkt.pl/miedz-legnica/startseite/verein/8936
Unionistas Sal,https://www.transfermarkt.mx/unionistas-de-salamanca-cf/startseite/verein/52397
BrÃ¸ndby,https://www.transfermarkt.com/brondby-if/startseite/verein/206
BodÃ¸/Glimt,https://www.transfermarkt.mx/fk-bodoglimt/startseite/verein/501
VestsjÃ¦lland,https://www.transfermarkt.com/fc-vestsjaelland/startseite/verein/20100
Jahn R'burg,https://www.transfermarkt.com/ssv-jahn-regensburg/startseite/verein/109
NordsjÃ¦lland,https://www.transfermarkt.com/fc-nordsjaelland/startseite/verein/2778
Dep La CoruÃ±a,https://www.transfermarkt.mx/rc-deportivo-de-la-coruna/startseite/verein/897
StrÃ¸msgodset,https://www.transfermarkt.mx/stromsgodset-if/startseite/verein/2817
LillestrÃ¸m,https://www.transfermarkt.com/lillestrom-sk/startseite/verein/353
Acad Pr Cabello,https://www.transfermarkt.mx/academia-puerto-cabello/startseite/verein/45193
GyÅ‘r,https://www.transfermarkt.com/eto-fc/startseite/verein/6055
Ä°stanbul BB,https://www.transfermarkt.mx/jumplist/startseite/verein/6890
Shiji Ever Bright,https://www.transfermarkt.com/cangzhou-mighty-lions/startseite/verein/35272
Dep TÃ¡chira,https://www.transfermarkt.mx/deportivo-tachira/startseite/verein/13297
AA Aachen,https://www.transfermarkt.com/alemannia-aachen/startseite/verein/8
Jiangsu Sainty,https://www.transfermarkt.mx/jiangsu-fc/startseite/verein/22219/saison_id/2005
Hang Greentown,https://www.transfermarkt.com/zhejiang-fc/startseite/verein/17276
Vicenza Virtus,https://www.transfermarkt.com/lr-vicenza/startseite/verein/2655
VoÅ¾dovac,https://www.transfermarkt.com/fk-vozdovac/startseite/verein/4634
AB Copenhagen,https://www.transfermarkt.com/akademisk-boldklub/startseite/verein/362
Å½elezniÄar PanÄevo,https://www.transfermarkt.mx/zeleznicar-pancevo/startseite/verein/59358
