league_url,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,league_country,league_level
https://www.transfermarkt.com/primera-division-r-f-e-f-grupo-i/startseite/wettbewerb/E3G1,,,,,,,,,Third Tier
https://www.transfermarkt.com/laliga2/startseite/wettbewerb/ES2,,,,,,,,,Second Tier
https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1,,,,,,,False,,First Tier
https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,,,,,,,,England,First Tier
https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2,,,,,,,,England,Second Tier
https://www.transfermarkt.com/super-lig/startseite/wettbewerb/TR1,,,,,,,,Türkiye,First Tier
https://www.transfermarkt.com/primera-division-r-f-e-f-grupo-ii/startseite/wettbewerb/E3G2,,,,,,,,Spain,Third Tier
https://www.transfermarkt.com/indian-super-league/startseite/wettbewerb/IND1,,,,,,,,India,First Tier
https://www.transfermarkt.com/liga-nos/startseite/wettbewerb/PO1,,,,,,,,Portugal,First Tier
https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1,,,,,,,,France,First Tier
https://www.transfermarkt.com/serie-a/startseite/wettbewerb/IT1,,,,,,,,Italy,First Tier
https://www.transfermarkt.com/torneo-inicial/startseite/wettbewerb/ARG1,,,,,,,,Argentina,First Tier
https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-iii/startseite/wettbewerb/E4G3,,,,,,,,Spain,Fourth Tier
https://www.transfermarkt.com/scottish-premiership/startseite/wettbewerb/SC1,,,,,,,,Scotland,First Tier
https://www.transfermarkt.com/league-one/startseite/wettbewerb/GB3,,,,,,,,England,Third Tier
https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1,,,,,,,,Belgium,First Tier
https://www.transfermarkt.com/major-league-soccer/startseite/wettbewerb/MLS1,,,,,,,,United States,First Tier
https://www.transfermarkt.com/saudi-professional-league/startseite/wettbewerb/SA1,,,,,,,,Saudi Arabia,First Tier
https://www.transfermarkt.com/ligue-2/startseite/wettbewerb/FR2,,,,,,,,France,Second Tier
https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/RU1,,,,,,,,Russia,First Tier
https://www.transfermarkt.com/super-league/startseite/wettbewerb/C1,,,,,,,,Switzerland,First Tier
https://www.transfermarkt.com/2-lig-kirmizi/startseite/wettbewerb/TR3B,,,,,,,,Türkiye,Third Tier
https://www.transfermarkt.com/3-lig-grup-4/startseite/wettbewerb/TR4D,,,,,,,,Türkiye,Fourth Tier
https://www.transfermarkt.com/liga-3-serie-a/startseite/wettbewerb/PT3A,,,,,,,,Portugal,Third Tier
https://www.transfermarkt.com/super-league-1/startseite/wettbewerb/GR1,,,,,,,,Greece,First Tier
https://www.transfermarkt.com/liga-portugal-2/startseite/wettbewerb/PO2,,,,,,,,Portugal,Second Tier
https://www.transfermarkt.com/campeonato-brasileiro-serie-a/startseite/wettbewerb/BRA1,,,,,,,,Brazil,First Tier
https://www.transfermarkt.com/liga-1/startseite/wettbewerb/RO1,,,,,,,,Romania,First Tier
,,,,,,,,,
https://www.transfermarkt.com/serie-b/startseite/wettbewerb/IT2,,,,,,,,Italy,Second Tier
https://www.transfermarkt.com/keuken-kampioen-divisie/startseite/wettbewerb/NL2,,,,,,,,Netherlands,Second Tier
https://www.transfermarkt.com/eredivisie/startseite/wettbewerb/NL1,,,,,,,,Netherlands,First Tier
https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2,,,,,,,,Germany,Second Tier
https://www.transfermarkt.com/1-lig/startseite/wettbewerb/TR2,,,,,,,,Türkiye,Second Tier
https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1,,,,,,,,Germany,First Tier
https://www.transfermarkt.com/j1-100-year-vision-league/startseite/wettbewerb/J1YV,,,,,,,,Japan,
https://www.transfermarkt.com/chinese-super-league/startseite/wettbewerb/CSL,,,,,,,,China,First Tier
https://www.transfermarkt.com/ettan-sodra/startseite/wettbewerb/SE3S,,,,,,,,Sweden,Third Tier
https://www.transfermarkt.com/championnat-national/startseite/wettbewerb/FR3,,,,,,,,France,Third Tier
https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-i/startseite/wettbewerb/E4G1,,,,,,,,Spain,Fourth Tier
https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-v/startseite/wettbewerb/E4G5,,,,,,,,Spain,Fourth Tier
https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-ii/startseite/wettbewerb/E4G2,,,,,,,,Spain,Fourth Tier
https://www.transfermarkt.com/3-liga-gruppe-iii/startseite/wettbewerb/PL33,,,,,,,,Poland,Fourth Tier
https://www.transfermarkt.com/pko-ekstraklasa/startseite/wettbewerb/PL1,,,,,,,,Poland,First Tier
https://www.transfermarkt.com/super-league-2/startseite/wettbewerb/GRS2,,,,,,,,Greece,Second Tier
https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1,,,,,,,,Sweden,First Tier
https://www.transfermarkt.com/nasl-spring-championship/startseite/wettbewerb/NASC,,,,,,,,United States,Second Tier
https://www.transfermarkt.com/liga-mx-apertura/startseite/wettbewerb/MEXA,,,,,,,,Mexico,First Tier
https://www.transfermarkt.com/primera-division-de-chile/startseite/wettbewerb/CLPD,,,,,,,,Chile,First Tier
https://www.transfermarkt.com/primera-division-apertura/startseite/wettbewerb/PR1A,,,,,,,,Paraguay,First Tier
https://www.transfermarkt.com/serie-c-girone-c/startseite/wettbewerb/IT3C,,,,,,,,Italy,Third Tier
https://www.transfermarkt.com/nemzeti-bajnoksag/startseite/wettbewerb/UNG1,,,,,,,,Hungary,First Tier
https://www.transfermarkt.com/j2-j3-100-year-vision-league/startseite/wettbewerb/J2J3,,,,,,,,Japan,
https://www.transfermarkt.com/persian-gulf-pro-league/startseite/wettbewerb/IRN1,,,,,,,,Iran,First Tier
https://www.transfermarkt.com/liga-dimayor-i/startseite/wettbewerb/COLP,,,,,,,,Colombia,First Tier
https://www.transfermarkt.com/liga-de-expansion-mx-clausura/startseite/wettbewerb/MEX2,,,,,,,,Mexico,Second Tier
