squad,transfermarkt_id,transfermarkt_url
Real Madrid B,6767,https://www.transfermarkt.com/real-madrid-b-castilla-/startseite/verein/6767
AlmerÃ­a,Not found,Not found
Sevilla,368,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368
Valencia,515,https://www.transfermarkt.com/vereinslos/startseite/verein/515
BeÅŸiktaÅŸ,Not found,Not found
CÃ¡diz,Not found,Not found
Valladolid,132615,https://www.transfermarkt.com/fc-sport-river/startseite/verein/132615
GimnÃ stic,Not found,Not found
Zaragoza,12,https://www.transfermarkt.com/as-rom/startseite/verein/12
Sabadell,4023,https://www.transfermarkt.com/-tm/startseite/verein/4023
Goa,36020,https://www.transfermarkt.com/orense-sc/startseite/verein/36020
Arenas Club de Getxo,Not found,Not found
Paris S-G,Not found,Not found
Wolves,543,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543
AlavÃ©s,Not found,Not found
MÃ¡laga,Not found,Not found
AtlÃ©tico Madrid,Not found,Not found
Porto,40317,https://www.transfermarkt.com/ksc-blankenberge/startseite/verein/40317
Villarreal,2077,https://www.transfermarkt.com/sperre/startseite/verein/2077
Rangers,4023,https://www.transfermarkt.com/-tm/startseite/verein/4023
Sunderland,1455,https://www.transfermarkt.com/fc-dordrecht/startseite/verein/1455
Nott'ham Forest,Not found,Not found
Bolton,3820,https://www.transfermarkt.com/mansfield-town/startseite/verein/3820
Como,800,https://www.transfermarkt.com/atalanta-bergamo/startseite/verein/800
Genk,41274,https://www.transfermarkt.com/beerschot-v-a-/startseite/verein/41274
Al-Fayha,107858,https://www.transfermarkt.com/ettifaq-fc-u17/startseite/verein/107858
Bastia,14806,https://www.transfermarkt.com/ca-cerro/startseite/verein/14806
Sion,30756,https://www.transfermarkt.com/mazur-karczew/startseite/verein/30756
Inter,60,https://www.transfermarkt.com/sc-freiburg/startseite/verein/60
Nancy,75,https://www.transfermarkt.com/unbekannt/startseite/verein/75
EskiÅŸehirspor,Not found,Not found
Granada,62534,https://www.transfermarkt.com/north-district/startseite/verein/62534
LeganÃ©s,Not found,Not found
VitÃ³ria SetÃºbal,Not found,Not found
Lyon,4023,https://www.transfermarkt.com/-tm/startseite/verein/4023
Yeni Mal'spor,Not found,Not found
UniÃ£o de Leiria,Not found,Not found
VitÃ³ria,Not found,Not found
BalÄ±kesirspor,Not found,Not found
Metz,4023,https://www.transfermarkt.com/-tm/startseite/verein/4023
CS U Craiova,40812,https://www.transfermarkt.com/universitatea-craiova/startseite/verein/40812
Spezia,75,https://www.transfermarkt.com/unbekannt/startseite/verein/75
Eibar,51105,https://www.transfermarkt.com/jableh-sc-u19/startseite/verein/51105
Girona,4023,https://www.transfermarkt.com/-tm/startseite/verein/4023
Cartagena,45604,https://www.transfermarkt.com/orlando-city-sc/startseite/verein/45604
Dinamo,121,https://www.transfermarkt.com/dinamo-moskau/startseite/verein/121
Everton,614,https://www.transfermarkt.com/flamengo-rio-de-janeiro/startseite/verein/614
PaÃ§os de Ferreira,Not found,Not found
CÃ³rdoba,Not found,Not found
Roma,398,https://www.transfermarkt.com/lazio-rom/startseite/verein/398
Milan,36,https://www.transfermarkt.com/fenerbahce-istanbul/startseite/verein/36
Montreal Impact,4078,https://www.transfermarkt.com/club-de-foot-montreal/startseite/verein/4078
JÃ¶nkÃ¶ping,Not found,Not found
Antequera,515,https://www.transfermarkt.com/vereinslos/startseite/verein/515
Elche,4023,https://www.transfermarkt.com/-tm/startseite/verein/4023
NE Revolution,Not found,Not found
Salamanca,4023,https://www.transfermarkt.com/-tm/startseite/verein/4023
LAFC,75,https://www.transfermarkt.com/unbekannt/startseite/verein/75
Chelsea,4023,https://www.transfermarkt.com/-tm/startseite/verein/4023
Monaco,1234,https://www.transfermarkt.com/club-atletico-independiente/startseite/verein/1234
Lecce,515,https://www.transfermarkt.com/vereinslos/startseite/verein/515
Bologna,2154,https://www.transfermarkt.com/ca-chacarita-juniors/startseite/verein/2154
Reading,2760,https://www.transfermarkt.com/partick-thistle-fc/startseite/verein/2760
Huesca,190,https://www.transfermarkt.com/fc-kopenhagen/startseite/verein/190
AlcorcÃ³n,Not found,Not found
WisÅ‚a PÅ‚ock,Not found,Not found
AIK Stockholm,Not found,Not found
KÃ¶ln,Not found,Not found
Braga,336,https://www.transfermarkt.com/sporting-lissabon/startseite/verein/336
Albacete,81741,https://www.transfermarkt.com/alcantarilla-fc/startseite/verein/81741
AtlÃ©tico Mineiro,Not found,Not found
Botafogo (RJ),Not found,Not found
GrÃªmio,Not found,Not found
HÃ¤cken,Not found,Not found
SÃ£o Paulo,Not found,Not found
Napoli,4561,https://www.transfermarkt.com/cs-emelec/startseite/verein/4561
QPR,1039,https://www.transfermarkt.com/queens-park-rangers/startseite/verein/1039
UANL,368,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368
BaÅŸakÅŸehir,Not found,Not found
Newcastle Utd,Not found,Not found
Estudiantesâ€“LP,Not found,Not found
DiÃ³sgyÅ‘r,Not found,Not found
Dijon,5689,https://www.transfermarkt.com/cracovia/startseite/verein/5689
Lazio,1064,https://www.transfermarkt.com/maccabi-haifa/startseite/verein/1064
Hebei Fortune,Not found,Not found
Amiens,4023,https://www.transfermarkt.com/-tm/startseite/verein/4023
Lens,82124,https://www.transfermarkt.com/real-sranang/startseite/verein/82124
Univ CatÃ³lica,Not found,Not found
Delhi Dynamos,45080,https://www.transfermarkt.com/odisha-fc/startseite/verein/45080
AmÃ©rica,Not found,Not found
Torino,4023,https://www.transfermarkt.com/-tm/startseite/verein/4023
CRB,41319,https://www.transfermarkt.com/nk-lukavec/startseite/verein/41319
QuerÃ©taro,Not found,Not found
Club 9 de Octubre,Not found,Not found
LeÃ³n,Not found,Not found
Monterrey,150,https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150
Atl Goianiense,Not found,Not found
Carpi,1536,https://www.transfermarkt.com/burgos-cf/startseite/verein/1536
Eint Frankfurt,Not found,Not found
Sparta R'dam,Not found,Not found
Eupen,17835,https://www.transfermarkt.com/mtv-eintracht-celle/startseite/verein/17835
Padova,515,https://www.transfermarkt.com/vereinslos/startseite/verein/515
NÃ¼rnberg,Not found,Not found
NY Red Bulls,Not found,Not found
Puebla,14589,https://www.transfermarkt.com/fk-orenburg/startseite/verein/14589
W Sydney,Not found,Not found
Melb Victory,Not found,Not found
Al-Riyadh SC,31008,https://www.transfermarkt.com/al-riad/startseite/verein/31008
CastellÃ³n,Not found,Not found
Brighton,938,https://www.transfermarkt.com/fc-thun/startseite/verein/938
Arg Juniors,Not found,Not found
Al-Raed,22381,https://www.transfermarkt.com/al-raed/startseite/verein/22381
FerencvÃ¡ros,Not found,Not found
MalmÃ¶,Not found,Not found
Oviedo,515,https://www.transfermarkt.com/vereinslos/startseite/verein/515
Cagliari,117270,https://www.transfermarkt.com/club-atletico-lambert-mm-/startseite/verein/117270
Bari,383,https://www.transfermarkt.com/psv-eindhoven/startseite/verein/383
Rennes,82739,https://www.transfermarkt.com/es-plescop/startseite/verein/82739
Lyn,4023,https://www.transfermarkt.com/-tm/startseite/verein/4023
UNAM,29,https://www.transfermarkt.com/fc-everton/startseite/verein/29
AtlÃ©tico,Not found,Not found
D.C. United,2440,https://www.transfermarkt.com/d-c-united/startseite/verein/2440
O'Higgins,11470,https://www.transfermarkt.com/cd-ohiggins/startseite/verein/11470
Cosenza,515,https://www.transfermarkt.com/vereinslos/startseite/verein/515
Rapid BucureÈ™ti,Not found,Not found
Poli TimiÈ™oara,Not found,Not found
Le Mans,75,https://www.transfermarkt.com/unbekannt/startseite/verein/75
Memphis,199,https://www.transfermarkt.com/corinthians-sao-paulo/startseite/verein/199
Blackburn,75,https://www.transfermarkt.com/unbekannt/startseite/verein/75
HÃ©rcules,Not found,Not found
Alania,41309,https://www.transfermarkt.com/fc-algeti-marneuli/startseite/verein/41309
Sheffield Weds,Not found,Not found
Zenit,6801,https://www.transfermarkt.com/fk-buducnost-banovici/startseite/verein/6801
Reims,5125,https://www.transfermarkt.com/osc-vellmar/startseite/verein/5125
OsmanlÄ±spor,Not found,Not found
AnkaragÃ¼cÃ¼,Not found,Not found
Antwerp,45527,https://www.transfermarkt.com/sg-brohl/startseite/verein/45527
Standard LiÃ¨ge,Not found,Not found
PeÃ±arol,Not found,Not found
Lugo,4023,https://www.transfermarkt.com/-tm/startseite/verein/4023
Newell's OB,Not found,Not found
Atlas,5849,https://www.transfermarkt.com/vikingur-reykjavik/startseite/verein/5849
Lille,6493,https://www.transfermarkt.com/eidsvold-turn-fotball/startseite/verein/6493
Reus,1061,https://www.transfermarkt.com/los-angeles-galaxy/startseite/verein/1061
Aris,4023,https://www.transfermarkt.com/-tm/startseite/verein/4023
Carolina,91,https://www.transfermarkt.com/preussen-munster/startseite/verein/91
Al-Ettifaq,7732,https://www.transfermarkt.com/al-ettifaq/startseite/verein/7732
Kuban,252,https://www.transfermarkt.com/genua-cfc/startseite/verein/252
Iraklis,515,https://www.transfermarkt.com/vereinslos/startseite/verein/515
MirandÃ©s,Not found,Not found
Siena,4023,https://www.transfermarkt.com/-tm/startseite/verein/4023
Latina,110302,https://www.transfermarkt.com/avs-futebol-sad/startseite/verein/110302
Parma,20760,https://www.transfermarkt.com/bandirmaspor/startseite/verein/20760
Al-Fateh,84126,https://www.transfermarkt.com/manjung-city/startseite/verein/84126
Brest,5499,https://www.transfermarkt.com/fc-stade-lausanne-ouchy/startseite/verein/5499
AtlÃ©tico Ottawa,Not found,Not found
AD Cali,Not found,Not found
ADU Magdalena,Not found,Not found
MÃ¡laga B,Not found,Not found
Steaua,159,https://www.transfermarkt.com/roter-stern-belgrad/startseite/verein/159
Ebro,4023,https://www.transfermarkt.com/-tm/startseite/verein/4023
CE L'Hospitalet,9477,https://www.transfermarkt.com/ce-lhospitalet/startseite/verein/9477
FÃ©nix,Not found,Not found
FamalicÃ£o,Not found,Not found
Apollon,19191,https://www.transfermarkt.com/asil-lysi/startseite/verein/19191
Ath Paranaense,Not found,Not found
Bilbao B,4023,https://www.transfermarkt.com/-tm/startseite/verein/4023
Kawa Frontale,Not found,Not found
Triv. Valderas,Not found,Not found
Llagostera,11642,https://www.transfermarkt.com/villajoyosa-cf/startseite/verein/11642
Cruzeiro,50944,https://www.transfermarkt.com/al-sulaibikhat-sc/startseite/verein/50944
AvaÃ­,Not found,Not found
Rad,2350,https://www.transfermarkt.com/millonarios-fc/startseite/verein/2350
ZagÅ‚Ä™bie Lubin,Not found,Not found
Brescia,430,https://www.transfermarkt.com/ac-florenz/startseite/verein/430
Pisa,10090,https://www.transfermarkt.com/deportivo-pasto/startseite/verein/10090
CD L'Alcora,Not found,Not found
RE Mouscron,Not found,Not found
GazÃ©lec Ajaccio,Not found,Not found
Larissa,37093,https://www.transfermarkt.com/vv-duno-doorwerth/startseite/verein/37093
Caen,4023,https://www.transfermarkt.com/-tm/startseite/verein/4023
Venezia,46373,https://www.transfermarkt.com/miami-dade-fc/startseite/verein/46373
Mons,148,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148
Saipa,515,https://www.transfermarkt.com/vereinslos/startseite/verein/515
