player_name,player_slug,player_url,total_seasons,total_clubs,career_years,status,current_club,position,age,nationality
Óliver Torres,,https://fbref.com/en/players/58a9a4d9/Oliver-Torres,39,5,2012-2013 to 2025-2026,Success,Monterrey,FW-MF (AM-CM-WM),31-031d,Spain
Óscar,,https://fbref.com/en/players/627650df/Oscar,19,3,2001-2002 to 2015-2016,Success,Not found,MF (AM-WM),Not found,Spain
Óscar Díaz,,https://fbref.com/en/players/5a5ed410/Oscar-Diaz,17,12,2005-2006 to 2017-2018,Success,Not found,FW-MF (AM-WM),Not found,Not found
Óscar de Marcos,,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos,39,2,2008-2009 to 2024-2025,Success,Not found,"DF-FW-MF (DM-FB, right)",Not found,Spain
Óscar Serrano,,https://fbref.com/en/players/c862ecc5/Oscar-Serrano,11,4,2004-2005 to 2013-2014,Success,Not found,"MF (AM-WM, left)",Not found,Not found
Óscar Trejo,,https://fbref.com/en/players/fc647b34/Oscar-Trejo,31,5,2006-2007 to 2025-2026,Success,Rayo Vallecano,FW-MF (AM),37-229d,Not found
Óscar Ustari,,https://fbref.com/en/players/40e417fa/Oscar-Ustari,24,7,2007-2008 to 2025,Success,Inter Miami,GK,39-161d,Argentina
Éric Abidal,,https://fbref.com/en/players/016828bd/Eric-Abidal,25,5,2000-2001 to 2014-2015,Success,Not found,"DF (FB, left)",Not found,France
Éver Banega,,https://fbref.com/en/players/fa937f7a/Ever-Banega,41,6,2007-2008 to 2025,Success,Newell's Old Boys,MF (AM-CM-DM-WM),37-165d,Argentina
Íñigo López,,https://fbref.com/en/players/8c61ca86/Inigo-Lopez,15,7,2010-2011 to 2018-2019,Success,Not found,DF (CB),Not found,Not found
Ádám Pintér,,https://fbref.com/en/players/fdbcd938/Adam-Pinter,17,6,2006-2007 to 2020-2021,Success,Not found,DF-MF (CB-DM),Not found,Hungary
Álex Bergantiños,,https://fbref.com/en/players/65ea8868/Alex-Bergantinos,17,3,2009-2010 to 2022-2023,Success,Not found,MF (DM),Not found,Not found
