player_name,player_slug,player_url,has_national_team,total_seasons_national,total_matches_national,total_goals_national,total_assists_national,national_team,national_team_years,status
Alex,,https://fbref.com/en/players/58721835/Alex,No,0,0,0,0,None,,No valid seasons
Anderson,,https://fbref.com/en/players/ffcbeb74/Anderson,No,0,0,0,0,None,,No valid seasons
Fábio,,https://fbref.com/en/players/bc7b4580/Fabio,No,0,0,0,0,None,,No valid seasons
Rafael,,https://fbref.com/en/players/9a1f2e1c/Rafael,No,0,0,0,0,None,,No valid seasons
Rodrigo,,https://fbref.com/en/players/1fb1c435/Rodrigo,Yes,11,0,0,0,es Spain,2016 to 2022-2023,Success
Sandro,,https://fbref.com/en/players/c1c2c925/Sandro,No,0,0,0,0,None,,No valid seasons
Paulo da Silva,,https://fbref.com/en/players/47560da8/Paulo-da-Silva,Yes,7,0,0,0,py Paraguay,2006 to 2018,Success
Doni,,https://fbref.com/en/players/b8be3693/Doni,No,0,0,0,0,None,,No valid seasons
Cabral,,https://fbref.com/en/players/5c5f1c9d/Cabral,No,0,0,0,0,None,,No valid seasons
Cala,,https://fbref.com/en/players/fe05804b/Cala,No,0,0,0,0,None,,No valid seasons
Willian,,https://fbref.com/en/players/8b9ebd03/Willian,Yes,9,53,7,14,br Brazil,2014 to 2019,Success
James Wilson,,https://fbref.com/en/players/b0d786ee/James-Wilson,No,0,0,0,0,None,,No valid seasons
Zoltán Gera,,https://fbref.com/en/players/08bd23a0/Zoltan-Gera,Yes,11,0,0,0,hu Hungary,2006 to 2018,Success
