season,squad,competition,age,matches_played,minutes,goals,assists,player_name
2007-2008,Swansea City,3. League One,24,43,3870,2,3,Àngel Rangel
2008-2009,Swansea City,2. Championship,25,40,3515,1,4,Àngel Rangel
2009-2010,Swansea City,2. Championship,26,38,3315,0,2,Àngel Rangel
2010-2011,Swansea City,2. Championship,27,38,3323,2,4,Àngel Rangel
2011-2012,Swansea City,1. Premier League,28,34,2870,0,2,Àngel Rangel
2012-2013,Swansea City,1. Premier League,29,33,2753,3,1,Àngel Rangel
2013-2014,Swansea City,2. Europa Lg,30,5,295,0,0,Àngel Rangel
2013-2014,Swansea City,1. Premier League,30,30,2632,0,1,Àngel Rangel
2014-2015,Swansea City,FA Cup,31,1,90,0,0,Àngel Rangel
2014-2015,Swansea City,League Cup,31,1,90,0,0,Àngel Rangel
2014-2015,Swansea City,1. Premier League,31,27,2036,0,0,Àngel Rangel
2015-2016,Swansea City,League Cup,32,2,180,0,1,Àngel Rangel
2015-2016,Swansea City,1. Premier League,32,23,1820,0,0,Àngel Rangel
2016-2017,Swansea City,EFL Cup,33,2,180,0,0,Àngel Rangel
2016-2017,Swansea City,FA Cup,33,1,24,0,0,Àngel Rangel
2016-2017,Swansea City,1. Premier League,33,18,831,1,0,Àngel Rangel
2017-2018,Swansea City,EFL Cup,34,3,270,0,1,Àngel Rangel
2017-2018,Swansea City,FA Cup,34,0,,,,Àngel Rangel
2017-2018,Swansea City,1. Premier League,34,4,156,0,0,Àngel Rangel
2018-2019,QPR,2. Championship,35,20,1731,2,2,Àngel Rangel
2019-2020,QPR,2. Championship,36,21,1655,0,0,Àngel Rangel
2008-2009,Académica,1. Primeira Liga,20,24,869,1,1,Éder
2009-2010,Académica,1. Primeira Liga,21,22,1486,4,1,Éder
2010-2011,Académica,1. Primeira Liga,22,21,889,2,1,Éder
2011-2012,Académica,1. Primeira Liga,23,16,1350,5,0,Éder
2012-2013,Braga,1. Champions Lg,24,6,503,0,2,Éder
2012-2013,Braga,1. Primeira Liga,24,18,1465,13,3,Éder
2013-2014,Braga,1. Primeira Liga,25,13,910,3,1,Éder
2014-2015,Braga,1. Primeira Liga,26,29,1736,10,2,Éder
2015-2016,Lille,1. Coupe de la Ligue,27,1,90,0,0,Éder
2015-2016,Swansea City,FA Cup,27,0,,,,Éder
2015-2016,Swansea City,League Cup,27,2,153,0,0,Éder
2015-2016,Lille,1. Ligue 1,27,13,1071,6,4,Éder
2015-2016,Swansea City,1. Premier League,27,13,276,0,0,Éder
2016-2017,Lille,Coupe de France,28,1,15,0,0,Éder
2016-2017,Lille,1. Coupe de la Ligue,28,1,11,0,0,Éder
2016-2017,Lille,1. Ligue 1,28,31,2470,6,5,Éder
2017-2018,Loko Moscow,2. Europa Lg,29,9,397,0,1,Éder
2017-2018,Loko Moscow,1. Premier League,29,18,902,4,1,Éder
2018-2019,Loko Moscow,1. Champions Lg,30,6,310,0,0,Éder
2018-2019,Loko Moscow,1. Premier League,30,22,835,1,1,Éder
2019-2020,Loko Moscow,1. Champions Lg,31,5,341,0,0,Éder
2019-2020,Loko Moscow,1. Premier League,31,23,1721,5,0,Éder
2020-2021,Loko Moscow,1. Champions Lg,32,3,248,1,0,Éder
2020-2021,Loko Moscow,1. Premier League,32,20,1091,1,1,Éder
2021-2022,Al-Raed,1. Pro League,33,22,1662,6,1,Éder
2011-2012,Roma,1. Serie A,19,29,1883,4,6,Érik Lamela
2012-2013,Roma,1. Serie A,20,33,2597,15,4,Érik Lamela
2013-2014,Tottenham,2. Europa Lg,21,6,415,1,2,Érik Lamela
2013-2014,Tottenham,1. Premier League,21,9,330,0,1,Érik Lamela
2014-2015,Tottenham,2. Europa Lg,22,7,371,2,0,Érik Lamela
2014-2015,Tottenham,FA Cup,22,1,90,0,0,Érik Lamela
2014-2015,Tottenham,League Cup,22,4,144,1,0,Érik Lamela
2014-2015,Tottenham,1. Premier League,22,33,2299,2,7,Érik Lamela
2015-2016,Tottenham,2. Europa Lg,23,8,572,6,0,Érik Lamela
