season,squad,competition,age,matches_played,minutes,goals,assists,player_url,player_name
2016,es Spain,UEFA Euro Qualifying,24,1.0,9.0,0.0,1.0,https://fbref.com/en/players/1fb1c435/Rodrigo,Rodrigo
2017,es Spain,Friendlies (M),25,1.0,90.0,0.0,0.0,https://fbref.com/en/players/1fb1c435/Rodrigo,Rodrigo
2018,es Spain,1. World Cup,27,3.0,26.0,0.0,0.0,https://fbref.com/en/players/1fb1c435/Rodrigo,Rodrigo
2018,es Spain,WCQ,26,1.0,81.0,1.0,0.0,https://fbref.com/en/players/1fb1c435/Rodrigo,Rodrigo
2018,es Spain,Friendlies (M),26,5.0,191.0,1.0,0.0,https://fbref.com/en/players/1fb1c435/Rodrigo,Rodrigo
2018-2019,es Spain,UEFA Nations League,27,4.0,311.0,2.0,1.0,https://fbref.com/en/players/1fb1c435/Rodrigo,Rodrigo
2020,es Spain,Friendlies (M),28,1.0,45.0,0.0,0.0,https://fbref.com/en/players/1fb1c435/Rodrigo,Rodrigo
2020-2021,es Spain,UEFA Nations League,29,2.0,147.0,0.0,1.0,https://fbref.com/en/players/1fb1c435/Rodrigo,Rodrigo
2021,es Spain,UEFA Euro Qualifying,29,7.0,447.0,4.0,0.0,https://fbref.com/en/players/1fb1c435/Rodrigo,Rodrigo
2022,es Spain,WCQ,30,2.0,66.0,0.0,0.0,https://fbref.com/en/players/1fb1c435/Rodrigo,Rodrigo
2022-2023,es Spain,UEFA Nations League,31,1.0,45.0,0.0,0.0,https://fbref.com/en/players/1fb1c435/Rodrigo,Rodrigo
2006,py Paraguay,1. World Cup,26,1.0,2.0,0.0,,https://fbref.com/en/players/47560da8/Paulo-da-Silva,Paulo da Silva
2010,py Paraguay,1. World Cup,30,5.0,480.0,0.0,,https://fbref.com/en/players/47560da8/Paulo-da-Silva,Paulo da Silva
2014,py Paraguay,WCQ,33,7.0,630.0,0.0,0.0,https://fbref.com/en/players/47560da8/Paulo-da-Silva,Paulo da Silva
2014,py Paraguay,Friendlies (M),33,2.0,180.0,0.0,0.0,https://fbref.com/en/players/47560da8/Paulo-da-Silva,Paulo da Silva
2015,py Paraguay,Friendlies (M),34,3.0,270.0,0.0,0.0,https://fbref.com/en/players/47560da8/Paulo-da-Silva,Paulo da Silva
2016,py Paraguay,Friendlies (M),35,1.0,90.0,0.0,0.0,https://fbref.com/en/players/47560da8/Paulo-da-Silva,Paulo da Silva
2018,py Paraguay,WCQ,37,17.0,1501.0,1.0,0.0,https://fbref.com/en/players/47560da8/Paulo-da-Silva,Paulo da Silva
2014,br Brazil,1. World Cup,25,5,153,0,0,https://fbref.com/en/players/8b9ebd03/Willian,Willian
2014,br Brazil,Friendlies (M),25,8,416,3,1,https://fbref.com/en/players/8b9ebd03/Willian,Willian
2015,br Brazil,Friendlies (M),26,6,352,0,2,https://fbref.com/en/players/8b9ebd03/Willian,Willian
2016,br Brazil,Friendlies (M),27,1,63,0,0,https://fbref.com/en/players/8b9ebd03/Willian,Willian
2017,br Brazil,Friendlies (M),28,3,113,0,1,https://fbref.com/en/players/8b9ebd03/Willian,Willian
2018,br Brazil,1. World Cup,29,5,359,0,1,https://fbref.com/en/players/8b9ebd03/Willian,Willian
2018,br Brazil,WCQ,29,17,985,4,5,https://fbref.com/en/players/8b9ebd03/Willian,Willian
2018,br Brazil,Friendlies (M),29,7,473,0,4,https://fbref.com/en/players/8b9ebd03/Willian,Willian
2019,br Brazil,Friendlies (M),30,1,70,0,0,https://fbref.com/en/players/8b9ebd03/Willian,Willian
2006,hu Hungary,WCQ,26,7.0,615.0,4.0,,https://fbref.com/en/players/08bd23a0/Zoltan-Gera,Zoltán Gera
2008,hu Hungary,UEFA Euro Qualifying,28,11.0,962.0,4.0,,https://fbref.com/en/players/08bd23a0/Zoltan-Gera,Zoltán Gera
2010,hu Hungary,WCQ,30,7.0,496.0,1.0,,https://fbref.com/en/players/08bd23a0/Zoltan-Gera,Zoltán Gera
2012,hu Hungary,UEFA Euro Qualifying,32,6.0,540.0,3.0,,https://fbref.com/en/players/08bd23a0/Zoltan-Gera,Zoltán Gera
2014,hu Hungary,WCQ,34,4.0,292.0,2.0,0.0,https://fbref.com/en/players/08bd23a0/Zoltan-Gera,Zoltán Gera
2014,hu Hungary,Friendlies (M),34,0.0,,,,https://fbref.com/en/players/08bd23a0/Zoltan-Gera,Zoltán Gera
2015,hu Hungary,Friendlies (M),35,0.0,,,,https://fbref.com/en/players/08bd23a0/Zoltan-Gera,Zoltán Gera
2016,hu Hungary,Friendlies (M),36,3.0,167.0,0.0,0.0,https://fbref.com/en/players/08bd23a0/Zoltan-Gera,Zoltán Gera
2016,hu Hungary,UEFA Euro,36,4.0,270.0,1.0,0.0,https://fbref.com/en/players/08bd23a0/Zoltan-Gera,Zoltán Gera
2016,hu Hungary,UEFA Euro Qualifying,36,9.0,776.0,1.0,0.0,https://fbref.com/en/players/08bd23a0/Zoltan-Gera,Zoltán Gera
2018,hu Hungary,WCQ,38,4.0,340.0,1.0,1.0,https://fbref.com/en/players/08bd23a0/Zoltan-Gera,Zoltán Gera
