season,squad,competition,age,matches_played,minutes,goals,assists,player_url,player_name
2006,py Paraguay,1. World Cup,26,1.0,2.0,0.0,,https://fbref.com/en/players/47560da8/Paulo-da-Silva,Paulo da Silva
2010,py Paraguay,1. World Cup,30,5.0,480.0,0.0,,https://fbref.com/en/players/47560da8/Paulo-da-Silva,Paulo da Silva
2014,py Paraguay,WCQ,33,7.0,630.0,0.0,0.0,https://fbref.com/en/players/47560da8/Paulo-da-Silva,Paulo da Silva
2014,py Paraguay,Friendlies (M),33,2.0,180.0,0.0,0.0,https://fbref.com/en/players/47560da8/Paulo-da-Silva,Paulo da Silva
2015,py Paraguay,Friendlies (M),34,3.0,270.0,0.0,0.0,https://fbref.com/en/players/47560da8/Paulo-da-Silva,Paulo da Silva
2016,py Paraguay,Friendlies (M),35,1.0,90.0,0.0,0.0,https://fbref.com/en/players/47560da8/Paulo-da-Silva,Paulo da Silva
2018,py Paraguay,WCQ,37,17.0,1501.0,1.0,0.0,https://fbref.com/en/players/47560da8/Paulo-da-Silva,Paulo da Silva
2014,br Brazil,1. World Cup,25,5,153,0,0,https://fbref.com/en/players/8b9ebd03/Willian,Willian
2014,br Brazil,Friendlies (M),25,8,416,3,1,https://fbref.com/en/players/8b9ebd03/Willian,Willian
2015,br Brazil,Friendlies (M),26,6,352,0,2,https://fbref.com/en/players/8b9ebd03/Willian,Willian
2016,br Brazil,Friendlies (M),27,1,63,0,0,https://fbref.com/en/players/8b9ebd03/Willian,Willian
2017,br Brazil,Friendlies (M),28,3,113,0,1,https://fbref.com/en/players/8b9ebd03/Willian,Willian
2018,br Brazil,1. World Cup,29,5,359,0,1,https://fbref.com/en/players/8b9ebd03/Willian,Willian
2018,br Brazil,WCQ,29,17,985,4,5,https://fbref.com/en/players/8b9ebd03/Willian,Willian
2018,br Brazil,Friendlies (M),29,7,473,0,4,https://fbref.com/en/players/8b9ebd03/Willian,Willian
2019,br Brazil,Friendlies (M),30,1,70,0,0,https://fbref.com/en/players/8b9ebd03/Willian,Willian
