player_name,transfermarkt_url,deceased,death_date,death_age
Charlie Adam,https://www.transfermarkt.com/charlie-adam/profil/spieler/28990,No,Not found,Not found
Emmanuel Adebayor,https://www.transfermarkt.com/emmanuel-adebayor/profil/spieler/8883,No,Not found,Not found
Gabriel Agbonlahor,https://www.transfermarkt.com/gabriel-agbonlahor/profil/spieler/37148,No,Not found,Not found
Daniel Agger,https://www.transfermarkt.com/daniel-agger/profil/spieler/22832,No,Not found,Not found
Yakubu Aiyegbeni,https://www.transfermarkt.com/yakubu-aiyegbeni/profil/spieler/8559,No,Not found,Not found
Marc Albrighton,https://www.transfermarkt.com/marc-albrighton/profil/spieler/61560,No,Not found,Not found
Antolín Alcaraz,https://www.transfermarkt.com/antoln-alcaraz/profil/spieler/14259,No,Not found,Not found
Alex,https://www.transfermarkt.com/alex/profil/spieler/15420,No,Not found,Not found
Manuel Almunia,https://www.transfermarkt.com/manuel-almunia/profil/spieler/16621,No,Not found,Not found
Marcos Alonso,https://www.transfermarkt.com/marcos-alonso/profil/spieler/112515,No,Not found,Not found
Sammy Ameobi,https://www.transfermarkt.com/sammy-ameobi/profil/spieler/92381,No,Not found,Not found
Shola Ameobi,https://www.transfermarkt.com/shola-ameobi/profil/spieler/3276,No,Not found,Not found
Anderson,https://www.transfermarkt.com/anderson/profil/spieler/31645,No,Not found,Not found
Keith Andrews,https://www.transfermarkt.com/keith-andrews/profil/spieler/8035,No,Not found,Not found
Nicolas Anelka,https://www.transfermarkt.com/nicolas-anelka/profil/spieler/3226,No,Not found,Not found
Marcos Angeleri,https://www.transfermarkt.com/marcos-angeleri/profil/spieler/27448,No,Not found,Not found
Victor Anichebe,https://www.transfermarkt.com/victor-anichebe/profil/spieler/39532,No,Not found,Not found
Andrey Arshavin,https://www.transfermarkt.com/andrey-arshavin/profil/spieler/15378,No,Not found,Not found
Mikel Arteta,https://www.transfermarkt.com/mikel-arteta/profil/spieler/7451,No,Not found,Not found
Benoît Assou-Ekotto,https://www.transfermarkt.com/benot-assou-ekotto/profil/spieler/18310,No,Not found,Not found
Fábio Aurélio,https://www.transfermarkt.com/fbio-aurlio/profil/spieler/7570,No,Not found,Not found
Demba Ba,https://www.transfermarkt.com/demba-ba/profil/spieler/40205,No,Not found,Not found
Ryan Babel,https://www.transfermarkt.com/ryan-babel/profil/spieler/16135,No,Not found,Not found
Leighton Baines,https://www.transfermarkt.com/leighton-baines/profil/spieler/13507,No,Not found,Not found
Chris Baird,https://www.transfermarkt.com/chris-baird/profil/spieler/4115,No,Not found,Not found
Nathan Baker,https://www.transfermarkt.com/nathan-baker/profil/spieler/62638,No,Not found,Not found
Gareth Bale,https://www.transfermarkt.com/gareth-bale/profil/spieler/39381,No,Not found,Not found
Mario Balotelli,https://www.transfermarkt.com/mario-balotelli/profil/spieler/45146,No,Not found,Not found
Barry Bannan,https://www.transfermarkt.com/barry-bannan/profil/spieler/61561,No,Not found,Not found
Alex Baptiste,https://www.transfermarkt.com/alex-baptiste/profil/spieler/16660,No,Not found,Not found
Phil Bardsley,https://www.transfermarkt.com/phil-bardsley/profil/spieler/15773,No,Not found,Not found
Giles Barnes,https://www.transfermarkt.com/giles-barnes/profil/spieler/37236,No,Not found,Not found
Pablo Barrera,https://www.transfermarkt.com/pablo-barrera/profil/spieler/51079,No,Not found,Not found
Gareth Barry,https://www.transfermarkt.com/gareth-barry/profil/spieler/3291,No,Not found,Not found
Joey Barton,https://www.transfermarkt.com/joey-barton/profil/spieler/3292,No,Not found,Not found
Chris Basham,https://www.transfermarkt.com/chris-basham/profil/spieler/52495,No,Not found,Not found
Sébastien Bassong,https://www.transfermarkt.com/sbastien-bassong/profil/spieler/33951,No,Not found,Not found
Jose Baxter,https://www.transfermarkt.com/jose-baxter/profil/spieler/82734,No,Not found,Not found
James Beattie,https://www.transfermarkt.com/james-beattie/profil/spieler/3112,No,Not found,Not found
Jean Beausejour,https://www.transfermarkt.com/jean-beausejour/profil/spieler/18871,No,Not found,Not found
Bebé,https://www.transfermarkt.com/bebe/profil/spieler/153427,No,Not found,Not found
Jermaine Beckford,https://www.transfermarkt.com/jermaine-beckford/profil/spieler/38874,No,Not found,Not found
Roman Bednář,https://www.transfermarkt.com/roman-bedn/profil/spieler/26898,No,Not found,Not found
Asmir Begović,https://www.transfermarkt.com/asmir-begovi/profil/spieler/33873,No,Not found,Not found
Valon Behrami,https://www.transfermarkt.com/valon-behrami/profil/spieler/21905,No,Not found,Not found
Hatem Ben Arfa,https://www.transfermarkt.com/hatem-ben-arfa/profil/spieler/18900,No,Not found,Not found
Tal Ben Haim,https://www.transfermarkt.com/tal-ben-haim/profil/spieler/20714,No,Not found,Not found
Yossi Benayoun,https://www.transfermarkt.com/yossi-benayoun/profil/spieler/7858,No,Not found,Not found
Nicklas Bendtner,https://www.transfermarkt.com/nicklas-bendtner/profil/spieler/34557,No,Not found,Not found
Benjani,https://www.transfermarkt.com/benjani/profil/spieler/12063,No,Not found,Not found
Darren Bent,https://www.transfermarkt.com/darren-bent/profil/spieler/13239,No,Not found,Not found
Marcus Bent,https://www.transfermarkt.com/marcus-bent/profil/spieler/9958,No,Not found,Not found
David Bentley,https://www.transfermarkt.com/david-bentley/profil/spieler/3205,No,Not found,Not found
Dimitar Berbatov,https://www.transfermarkt.com/dimitar-berbatov/profil/spieler/65,No,Not found,Not found
Christophe Berra,https://www.transfermarkt.com/christophe-berra/profil/spieler/36602,No,Not found,Not found
Ryan Bertrand,https://www.transfermarkt.com/ryan-bertrand/profil/spieler/40611,No,Not found,Not found
Leon Best,https://www.transfermarkt.com/leon-best/profil/spieler/28244,No,Not found,Not found
Habib Beye,https://www.transfermarkt.com/habib-beye/profil/spieler/3923,No,Not found,Not found
Diniyar Bilyaletdinov,https://www.transfermarkt.com/diniyar-bilyaletdinov/profil/spieler/16690,No,Not found,Not found
Mame Biram Diouf,https://www.transfermarkt.com/mame-biram-diouf/profil/spieler/62049,No,Not found,Not found
Robbie Blake,https://www.transfermarkt.com/robbie-blake/profil/spieler/3490,No,Not found,Not found
Luís Boa Morte,https://www.transfermarkt.com/lus-boa-morte/profil/spieler/3422,No,Not found,Not found
Jérôme Boateng,https://www.transfermarkt.com/jrme-boateng/profil/spieler/26485,No,Not found,Not found
Ruud Boffin,https://www.transfermarkt.com/ruud-boffin/profil/spieler/31336,No,Not found,Not found
Ádám Bogdán,https://www.transfermarkt.com/dm-bogdn/profil/spieler/55247,No,Not found,Not found
Mauro Boselli,https://www.transfermarkt.com/mauro-boselli/profil/spieler/40822,No,Not found,Not found
José Bosingwa,https://www.transfermarkt.com/jos-bosingwa/profil/spieler/9813,No,Not found,Not found
Lee Bowyer,https://www.transfermarkt.com/lee-bowyer/profil/spieler/3877,No,Not found,Not found
Dedryck Boyata,https://www.transfermarkt.com/dedryck-boyata/profil/spieler/88262,No,Not found,Not found
Emmerson Boyce,https://www.transfermarkt.com/emmerson-boyce/profil/spieler/19641,No,Not found,Not found
Michael Bradley,https://www.transfermarkt.com/michael-bradley/profil/spieler/30593,No,Not found,Not found
Titus Bramble,https://www.transfermarkt.com/titus-bramble/profil/spieler/3130,No,Not found,Not found
Wayne Bridge,https://www.transfermarkt.com/wayne-bridge/profil/spieler/3682,No,Not found,Not found
Matthew Briggs,https://www.transfermarkt.com/matthew-briggs/profil/spieler/51318,No,Not found,Not found
Wes Brown,https://www.transfermarkt.com/wes-brown/profil/spieler/3405,No,Not found,Not found
Jeffrey Bruma,https://www.transfermarkt.com/jeffrey-bruma/profil/spieler/88721,No,Not found,Not found
Chris Brunt,https://www.transfermarkt.com/chris-brunt/profil/spieler/36814,No,Not found,Not found
Mark Bunn,https://www.transfermarkt.com/mark-bunn/profil/spieler/49319,No,Not found,Not found
Gary Cahill,https://www.transfermarkt.com/gary-cahill/profil/spieler/27511,No,Not found,Not found
Tim Cahill,https://www.transfermarkt.com/tim-cahill/profil/spieler/13556,No,Not found,Not found
Gary Caldwell,https://www.transfermarkt.com/gary-caldwell/profil/spieler/3791,No,Not found,Not found
Steven Caldwell,https://www.transfermarkt.com/steven-caldwell/profil/spieler/3462,No,Not found,Not found
DJ Campbell,https://www.transfermarkt.com/dj-campbell/profil/spieler/37896,No,Not found,Not found
Fraizer Campbell,https://www.transfermarkt.com/fraizer-campbell/profil/spieler/42411,No,Not found,Not found
Sol Campbell,https://www.transfermarkt.com/sol-campbell/profil/spieler/3198,No,Not found,Not found
John Carew,https://www.transfermarkt.com/john-carew/profil/spieler/3570,No,Not found,Not found
David Carney,https://www.transfermarkt.com/david-carney/profil/spieler/10387,No,Not found,Not found
Stephen Carr,https://www.transfermarkt.com/stephen-carr/profil/spieler/4046,No,Not found,Not found
Jamie Carragher,https://www.transfermarkt.com/jamie-carragher/profil/spieler/3597,No,Not found,Not found
Michael Carrick,https://www.transfermarkt.com/michael-carrick/profil/spieler/3878,No,Not found,Not found
Andy Carroll,https://www.transfermarkt.com/andy-carroll/profil/spieler/48066,No,Not found,Not found
Scott Carson,https://www.transfermarkt.com/scott-carson/profil/spieler/14555,No,Not found,Not found
