player_name,player_url,status,name_home_country,dob_age,place_birth,height,citizenship,position,foot,debut_season,debut_age,first_club,debut_year,transfermarkt_id,transfermarkt_url
Charlie Adam,https://fbref.com/en/players/aff418dc/Charlie-Adam,Success,Not found,"December 10, 1985",Not found,185cm,Scotland sct,MF,Left,2003-2004,17 years,Rangers,2003,28990,https://www.transfermarkt.com/charlie-adam/profil/spieler/28990
Emmanuel Adebayor,https://fbref.com/en/players/936d9e3e/Emmanuel-Adebayor,Success,Not found,"February 26, 1984",Not found,191cm,Togo,FW,Right,2001-2002,17 years,Metz,2001,8883,https://www.transfermarkt.com/emmanuel-adebayor/profil/spieler/8883
Gabriel Agbonlahor,https://fbref.com/en/players/db80f5f1/Gabriel-Agbonlahor,Success,Not found,"October 13, 1986",Not found,180cm,England eng,FW-MF (WM),Right,2005-2006,18 years,Sheffield Weds,2005,37148,https://www.transfermarkt.com/gabriel-agbonlahor/profil/spieler/37148
Daniel Agger,https://fbref.com/en/players/f1ea4af0/Daniel-Agger,Success,Not found,"December 12, 1984",Not found,191cm,Denmark,DF (CB),Left,2004-2005,19 years,Brøndby,2004,22832,https://www.transfermarkt.com/daniel-agger/profil/spieler/22832
Yakubu Aiyegbeni,https://fbref.com/en/players/a1fe3f62/Yakubu-Aiyegbeni,Success,Not found,"November 22, 1982",Not found,183cm,Nigeria,FW,Both,2002-2003,19 years,Portsmouth,2002,8559,https://www.transfermarkt.com/yakubu-aiyegbeni/profil/spieler/8559
Marc Albrighton,https://fbref.com/en/players/b827d5b3/Marc-Albrighton,Success,Not found,"November 18, 1989",Not found,175cm,England eng,DF-FW-MF (AM-WM),Right,2009-2010,19 years,Aston Villa,2009,61560,https://www.transfermarkt.com/marc-albrighton/profil/spieler/61560
Antolín Alcaraz,https://fbref.com/en/players/cee38e27/Antolin-Alcaraz,Success,Not found,"July 30, 1982",Not found,185cm,Paraguay,"DF (CB, left)",Right,2002-2003,20 years,Beira-Mar,2002,14259,https://www.transfermarkt.com/antoln-alcaraz/profil/spieler/14259
Alex,https://fbref.com/en/players/350188c1/Alexandre-Bonnet,Success,Not found,"October 17, 1986",Not found,173cm,France,MF (AM),Left,2005-2006,18 years,Toulouse,2005,349066,https://www.transfermarkt.com/alex/profil/spieler/349066
Manuel Almunia,https://fbref.com/en/players/9f6b2f8c/Manuel-Almunia,Success,Not found,"May 19, 1977",Not found,191cm,Not found,GK,Not found,2001-2002,24 years,Eibar,2001,16621,https://www.transfermarkt.com/manuel-almunia/profil/spieler/16621
Marcos Alonso,https://fbref.com/en/players/06b1b4a2/Marcos-Alonso-Pena,Success,Not found,"October 1, 1959",Not found,176cm,Spain,"FW-MF (WM, right)",Not found,1988-1989,28 years,Atlético Madrid,1988,112515,https://www.transfermarkt.com/marcos-alonso/profil/spieler/112515
