player_name,player_url,,status,name_home_country,dob_age,place_birth,height,citizenship,position,foot,debut_season,debut_age,first_club,debut_year,transfermarkt_id,transfermarkt_url
Alex,https://fbref.com/en/players/58721835/Alex,#REF!,Success,Not found,17-Jun-82,Not found,188cm,Brazil,DF (CB),Right,2004-2005,22 years,PSV Eindhoven,2004,,
Anderson,https://fbref.com/en/players/ffcbeb74/Anderson,,Success,Not found,13-Apr-88,Not found,176cm,Brazil,MF,Left,2005-2006,17 years,Porto,2005,,
Fábio,https://fbref.com/en/players/bc7b4580/Fabio,,Success,Not found,9-Jul-90,Not found,172cm,Brazil,DF (FB),Right,2009-2010,19 years,Manchester Utd,2009,,
Rafael,https://fbref.com/en/players/9a1f2e1c/Rafael,,Success,Not found,9-Jul-90,Not found,173cm,Brazil,"DF-MF (FB, right)",Right,2008-2009,18 years,Manchester Utd,2008,,
Rodrigo,https://fbref.com/en/players/1fb1c435/Rodrigo,,Success,Not found,"March 6, 1991 (Age: 34-278d)","Rio de Janeiro, Brazil",180cm,Spain es  Other: Brazil,FW-MF,Left,2010-2011,19 years,Bolton,2010,,
Sandro,https://fbref.com/en/players/c1c2c925/Sandro,,Success,Not found,15-Mar-89,Not found,188cm,Brazil,MF (DM),Right,2010-2011,21 years,Tottenham,2010,,
Paulo da Silva,https://fbref.com/en/players/47560da8/Paulo-da-Silva,,Success,Not found,1-Feb-80,Not found,184cm,Paraguay,DF (CB),Right,2001-2002,21 years,Cosenza,2001,,
Doni,https://fbref.com/en/players/b8be3693/Doni,,Success,Not found,22-Oct-79,Not found,194cm,Brazil,GK,Not found,2005-2006,25 years,Roma,2005,,
Cabral,https://fbref.com/en/players/5c5f1c9d/Cabral,,Success,Not found,22-Oct-88,Not found,178cm,Switzerland ch  Other: Cape Verde,MF (DM),Right,2007-2008,18 years,Basel,2007,,
Cala,https://fbref.com/en/players/fe05804b/Cala,,Success,Not found,26-Nov-89,Not found,187cm,Spain,"DF (CB, left)",Right,2007-2008,17 years,Sevilla B,2007,,
Willian,https://fbref.com/en/players/8b9ebd03/Willian,,Success,Not found,"August 9, 1988 (Age: 37-122d)","Ribeirão Pires, Brazil",175cm,Brazil,FW-MF (AM),Right,2007-2008,18 years,Shakhtar,2007,,
James Wilson,https://fbref.com/en/players/b0d786ee/James-Wilson,,Success,Not found,"December 1, 1995 (Age: 30-008d)","Biddulph, England, United Kingdom",180cm,England eng,FW-MF,Left,2013-2014,17 years,Manchester Utd,2013,,
