season,squad,competition,age,matches_played,minutes,goals,assists,player_url,player_name
2014,pt Portugal,1. World Cup,26,3,206,0,0,https://fbref.com/en/players/f0fc9d0e/Eder,Éder
2014,pt Portugal,WCQ,26,4,48,0,0,https://fbref.com/en/players/f0fc9d0e/Eder,Éder
2014,pt Portugal,Friendlies (M),26,2,68,0,0,https://fbref.com/en/players/f0fc9d0e/Eder,Éder
2015,pt Portugal,Friendlies (M),27,3,207,1,0,https://fbref.com/en/players/f0fc9d0e/Eder,Éder
2016,pt Portugal,Friendlies (M),28,5,176,1,0,https://fbref.com/en/players/f0fc9d0e/Eder,Éder
2016,pt Portugal,UEFA Euro,28,3,57,1,0,https://fbref.com/en/players/f0fc9d0e/Eder,Éder
2016,pt Portugal,UEFA Euro Qualifying,28,5,188,0,0,https://fbref.com/en/players/f0fc9d0e/Eder,Éder
2017,pt Portugal,Friendlies (M),29,1,44,0,0,https://fbref.com/en/players/f0fc9d0e/Eder,Éder
2018,pt Portugal,WCQ,30,2,57,0,0,https://fbref.com/en/players/f0fc9d0e/Eder,Éder
2018,pt Portugal,Friendlies (M),30,1,90,1,0,https://fbref.com/en/players/f0fc9d0e/Eder,Éder
2018-2019,pt Portugal,UEFA Nations League,30,1,4,0,0,https://fbref.com/en/players/f0fc9d0e/Eder,Éder
2021,pt Portugal,UEFA Euro Qualifying,33,0,,,,https://fbref.com/en/players/f0fc9d0e/Eder,Éder
2014,ar Argentina,WCQ,21,2,85,0,0,https://fbref.com/en/players/abe66106/Erik-Lamela,Érik Lamela
2014,ar Argentina,Friendlies (M),21,3,111,1,0,https://fbref.com/en/players/abe66106/Erik-Lamela,Érik Lamela
2015,ar Argentina,Friendlies (M),22,2,106,0,0,https://fbref.com/en/players/abe66106/Erik-Lamela,Érik Lamela
2016,ar Argentina,Friendlies (M),23,1,63,0,0,https://fbref.com/en/players/abe66106/Erik-Lamela,Érik Lamela
2018,ar Argentina,WCQ,25,4,110,0,0,https://fbref.com/en/players/abe66106/Erik-Lamela,Érik Lamela
2018,ar Argentina,Friendlies (M),25,2,60,0,1,https://fbref.com/en/players/abe66106/Erik-Lamela,Érik Lamela
2019,ar Argentina,Friendlies (M),26,0,,,,https://fbref.com/en/players/abe66106/Erik-Lamela,Érik Lamela
2014,fr France,WCQ,25,1,90,1,0,https://fbref.com/en/players/5acc4a10/Etienne-Capoue,Étienne Capoue
2012,hu Hungary,UEFA Euro Qualifying,24,0,,,,https://fbref.com/en/players/56f99ec7/Adam-Bogdan,Ádám Bogdán
2014,hu Hungary,WCQ,26,7,630,0,0,https://fbref.com/en/players/56f99ec7/Adam-Bogdan,Ádám Bogdán
2014,hu Hungary,Friendlies (M),26,1,90,0,0,https://fbref.com/en/players/56f99ec7/Adam-Bogdan,Ádám Bogdán
2015,hu Hungary,Friendlies (M),27,0,,,,https://fbref.com/en/players/56f99ec7/Adam-Bogdan,Ádám Bogdán
2016,hu Hungary,Friendlies (M),28,1,45,0,0,https://fbref.com/en/players/56f99ec7/Adam-Bogdan,Ádám Bogdán
2016,hu Hungary,UEFA Euro Qualifying,28,0,,,,https://fbref.com/en/players/56f99ec7/Adam-Bogdan,Ádám Bogdán
2021,hu Hungary,Friendlies (M),33,1,28,0,0,https://fbref.com/en/players/56f99ec7/Adam-Bogdan,Ádám Bogdán
2021,hu Hungary,UEFA Euro,33,0,,,,https://fbref.com/en/players/56f99ec7/Adam-Bogdan,Ádám Bogdán
2022,hu Hungary,WCQ,34,0,,,,https://fbref.com/en/players/56f99ec7/Adam-Bogdan,Ádám Bogdán
2006,hu Hungary,WCQ,23,3,107,0,,https://fbref.com/en/players/3fe9ae90/Akos-Buzsaky,Ákos Buzsáky
2008,hu Hungary,UEFA Euro Qualifying,25,4,241,1,,https://fbref.com/en/players/3fe9ae90/Akos-Buzsaky,Ákos Buzsáky
2010,hu Hungary,WCQ,27,6,165,1,,https://fbref.com/en/players/3fe9ae90/Akos-Buzsaky,Ákos Buzsáky
2010,es Spain,WCQ,24,2,126,2,,https://fbref.com/en/players/63b0ca6b/Alvaro-Negredo,Álvaro Negredo
2012,es Spain,UEFA Euro,26,2,55,0,0,https://fbref.com/en/players/63b0ca6b/Alvaro-Negredo,Álvaro Negredo
2012,es Spain,UEFA Euro Qualifying,26,1,60,2,,https://fbref.com/en/players/63b0ca6b/Alvaro-Negredo,Álvaro Negredo
2014,es Spain,WCQ,28,4,170,3,0,https://fbref.com/en/players/63b0ca6b/Alvaro-Negredo,Álvaro Negredo
2014,es Spain,Friendlies (M),28,0,,,,https://fbref.com/en/players/63b0ca6b/Alvaro-Negredo,Álvaro Negredo
2010,ar Argentina,1. World Cup,22,5,354,0,,https://fbref.com/en/players/19cda00b/Angel-Di-Maria,Ángel Di María
2014,ar Argentina,1. World Cup,26,5,426,1,0,https://fbref.com/en/players/19cda00b/Angel-Di-Maria,Ángel Di María
2014,ar Argentina,WCQ,25,12,1028,3,0,https://fbref.com/en/players/19cda00b/Angel-Di-Maria,Ángel Di María
2014,ar Argentina,Friendlies (M),25,6,390,1,4,https://fbref.com/en/players/19cda00b/Angel-Di-Maria,Ángel Di María
2015,ar Argentina,Friendlies (M),26,3,240,2,1,https://fbref.com/en/players/19cda00b/Angel-Di-Maria,Ángel Di María
2016,ar Argentina,Friendlies (M),27,1,90,0,0,https://fbref.com/en/players/19cda00b/Angel-Di-Maria,Ángel Di María
2017,ar Argentina,Friendlies (M),28,3,239,1,1,https://fbref.com/en/players/19cda00b/Angel-Di-Maria,Ángel Di María
2018,ar Argentina,Friendlies (M),29,2,121,0,0,https://fbref.com/en/players/19cda00b/Angel-Di-Maria,Ángel Di María
2018,ar Argentina,WCQ,29,18,1395,2,2,https://fbref.com/en/players/19cda00b/Angel-Di-Maria,Ángel Di María
2018,ar Argentina,1. World Cup,30,3,235,1,0,https://fbref.com/en/players/19cda00b/Angel-Di-Maria,Ángel Di María
2019,ar Argentina,Friendlies (M),30,0,,,,https://fbref.com/en/players/19cda00b/Angel-Di-Maria,Ángel Di María
2022,ar Argentina,1. World Cup,34,5,288,1,1,https://fbref.com/en/players/19cda00b/Angel-Di-Maria,Ángel Di María
2022,ar Argentina,WCQ,33,13,708,3,1,https://fbref.com/en/players/19cda00b/Angel-Di-Maria,Ángel Di María
2022,ar Argentina,Friendlies (M),33,2,122,2,1,https://fbref.com/en/players/19cda00b/Angel-Di-Maria,Ángel Di María
2023,ar Argentina,Friendlies (M),34,3,141,1,0,https://fbref.com/en/players/19cda00b/Angel-Di-Maria,Ángel Di María
2024,ar Argentina,Friendlies (M),35,4,255,2,2,https://fbref.com/en/players/19cda00b/Angel-Di-Maria,Ángel Di María
2026,ar Argentina,WCQ,37,4,170,0,2,https://fbref.com/en/players/19cda00b/Angel-Di-Maria,Ángel Di María
2014,cl Chile,WCQ,19,0,,,,https://fbref.com/en/players/6f3a433e/Angelo-Henriquez,Ángelo Henríquez
2015,cl Chile,Friendlies (M),20,2,51,0,0,https://fbref.com/en/players/6f3a433e/Angelo-Henriquez,Ángelo Henríquez
2018,cl Chile,WCQ,23,0,,,,https://fbref.com/en/players/6f3a433e/Angelo-Henriquez,Ángelo Henríquez
2018,cl Chile,Friendlies (M),23,3,100,0,0,https://fbref.com/en/players/6f3a433e/Angelo-Henriquez,Ángelo Henríquez
2021,cl Chile,Friendlies (M),26,1,18,0,0,https://fbref.com/en/players/6f3a433e/Angelo-Henriquez,Ángelo Henríquez
2022,cl Chile,Friendlies (M),27,1,68,0,0,https://fbref.com/en/players/6f3a433e/Angelo-Henriquez,Ángelo Henríquez
2006,pl Poland,1. World Cup,21,0,,,,https://fbref.com/en/players/9328b835/Lukasz-Fabianski,Łukasz Fabiański
2008,pl Poland,UEFA Euro,22,0,,,,https://fbref.com/en/players/9328b835/Lukasz-Fabianski,Łukasz Fabiański
2008,pl Poland,UEFA Euro Qualifying,22,1,90,0,,https://fbref.com/en/players/9328b835/Lukasz-Fabianski,Łukasz Fabiański
2010,pl Poland,WCQ,24,3,270,0,,https://fbref.com/en/players/9328b835/Lukasz-Fabianski,Łukasz Fabiański
2014,pl Poland,WCQ,28,0,,,,https://fbref.com/en/players/9328b835/Lukasz-Fabianski,Łukasz Fabiański
2014,pl Poland,Friendlies (M),28,1,45,0,0,https://fbref.com/en/players/9328b835/Lukasz-Fabianski,Łukasz Fabiański
2015,pl Poland,Friendlies (M),29,0,,,,https://fbref.com/en/players/9328b835/Lukasz-Fabianski,Łukasz Fabiański
2016,pl Poland,Friendlies (M),30,2,90,0,0,https://fbref.com/en/players/9328b835/Lukasz-Fabianski,Łukasz Fabiański
