player_name,current_club,position,age,nationality
Óliver Torres,Monterrey,FW-MF (AM-CM-WM),31-031d,Spain
Óscar,Not found,MF (AM-WM),Not found,Spain
Óscar Díaz,Not found,FW-MF (AM-WM),Not found,Not found
Óscar de Marcos,Not found,"DF-FW-MF (DM-FB, right)",Not found,Spain
Óscar Serrano,Not found,"MF (AM-WM, left)",Not found,Not found
Óscar Trejo,Rayo Vallecano,FW-MF (AM),37-229d,Not found
Óscar Ustari,Inter Miami,GK,39-161d,Argentina
Éric Abidal,Not found,"DF (FB, left)",Not found,France
Éver Banega,Newell's Old Boys,MF (AM-CM-DM-WM),37-165d,Argentina
Íñigo López,Not found,DF (CB),Not found,Not found
Ádám Pintér,Not found,DF-MF (CB-DM),Not found,Hungary
Álex Bergantiños,Not found,MF (DM),Not found,Not found
Álex Fernández,Cádiz,DF-MF (AM-CM-DM),33-057d,Spain
Álex Gálvez,Not found,DF-MF (CB-DM),Not found,Not found
Álex López,Not found,MF (CM-DM),Not found,Spain
Álex Martínez,Not found,"DF-MF (FB, left)",Not found,Not found
Álex Menéndez,UP Langreo,"DF (FB, left)",34-149d,Not found
Álex Moreno,Girona,"DF-MF (FB-WM, left)",32-186d,Not found
Álex Pérez,Not found,DF (CB),Not found,Not found
Álex Rubio,Not found,FW-MF (WM),Not found,Spain
Álvaro Arbeloa,Not found,"DF (FB, right)",Not found,Spain
Álvaro Arroyo,Not found,DF (CB-FB),Not found,Not found
Álvaro Cejudo,Not found,MF (AM-WM),Not found,Not found
Álvaro Domínguez,Not found,"DF (CB-FB, left)",Not found,Spain
Álvaro García,Rayo Vallecano,"FW-MF (AM-WM, left)",33-045d,Not found
Álvaro Giménez,Racing Ferrol,FW-MF,34-206d,Spain
Álvaro González,Tenerife,"DF (CB, right)",35-337d,Spain
Álvaro Medrán,Al-Ettifaq,MF (CM-DM),31-271d,Spain
Álvaro Morata,Como,FW,33-049d,Spain
Álvaro Negredo,Not found,FW,Not found,Spain
