transfermarkt_id,player_name,player_url,status,name_home_country_fbref,dob_age,place_birth,height,citizenship,position,foot,debut_season,debut_age,first_club,debut_year,transfermarkt_url
28990,Charlie Adam,https://fbref.com/en/players/aff418dc/Charlie-Adam,Success,Not found,10-Dec-85,Not found,185,Scotland sct,MF,Left,2003-2004,17 years,Rangers,2003,https://www.transfermarkt.com/charlie-adam/profil/spieler/28990
8883,Emmanuel Adebayor,https://fbref.com/en/players/936d9e3e/Emmanuel-Adebayor,Success,Not found,26-Feb-84,Not found,191,Togo,FW,Right,2001-2002,17 years,Metz,2001,https://www.transfermarkt.com/emmanuel-adebayor/profil/spieler/8883
37148,Gabriel Agbonlahor,https://fbref.com/en/players/db80f5f1/Gabriel-Agbonlahor,Success,Not found,13-Oct-86,Not found,180,England eng,FW-MF (WM),Right,2005-2006,18 years,Sheffield Weds,2005,https://www.transfermarkt.com/gabriel-agbonlahor/profil/spieler/37148
22832,Daniel Agger,https://fbref.com/en/players/f1ea4af0/Daniel-Agger,Success,Not found,12-Dec-84,Not found,191,Denmark,DF (CB),Left,2004-2005,19 years,Brøndby,2004,https://www.transfermarkt.com/daniel-agger/profil/spieler/22832
8559,Yakubu Aiyegbeni,https://fbref.com/en/players/a1fe3f62/Yakubu-Aiyegbeni,Success,Not found,22-Nov-82,Not found,183,Nigeria,FW,Both,2002-2003,19 years,Portsmouth,2002,https://www.transfermarkt.com/yakubu-aiyegbeni/profil/spieler/8559
61560,Marc Albrighton,https://fbref.com/en/players/b827d5b3/Marc-Albrighton,Success,Not found,18-Nov-89,Not found,175,England eng,DF-FW-MF (AM-WM),Right,2009-2010,19 years,Aston Villa,2009,https://www.transfermarkt.com/marc-albrighton/profil/spieler/61560
14259,Antolín Alcaraz,https://fbref.com/en/players/cee38e27/Antolin-Alcaraz,Success,Not found,30-Jul-82,Not found,185,Paraguay,"DF (CB, left)",Right,2002-2003,20 years,Beira-Mar,2002,https://www.transfermarkt.com/antoln-alcaraz/profil/spieler/14259
349066,Alex,https://fbref.com/en/players/350188c1/Alexandre-Bonnet,Success,Not found,17-Oct-86,Not found,173,France,MF (AM),Left,2005-2006,18 years,Toulouse,2005,https://www.transfermarkt.com/alex/profil/spieler/349066
16621,Manuel Almunia,https://fbref.com/en/players/9f6b2f8c/Manuel-Almunia,Success,Not found,19-May-77,Not found,191,Not found,GK,Not found,2001-2002,24 years,Eibar,2001,https://www.transfermarkt.com/manuel-almunia/profil/spieler/16621
112515,Marcos Alonso,https://fbref.com/en/players/06b1b4a2/Marcos-Alonso-Pena,Success,Not found,1-Oct-59,Not found,176,Spain,"FW-MF (WM, right)",Not found,1988-1989,28 years,Atlético Madrid,1988,https://www.transfermarkt.com/marcos-alonso/profil/spieler/112515
92381,Sammy Ameobi,https://fbref.com/en/players/acd61628/Sammy-Ameobi,Success,Not found,1-May-92,Not found,192,England eng,FW-MF (AM-WM),Left,2010-2011,18 years,Newcastle Utd,2010,https://www.transfermarkt.com/sammy-ameobi/profil/spieler/92381
3276,Shola Ameobi,https://fbref.com/en/players/e79a368b/Shola-Ameobi,Success,Not found,12-Oct-81,Not found,191,Nigeria ng  Other: England,FW,Both,2000-2001,18 years,Newcastle Utd,2000,https://www.transfermarkt.com/shola-ameobi/profil/spieler/3276
8564,Anderson,https://fbref.com/en/players/b3ab8f5c/Paul-Anderson,Success,Not found,23-Jul-88,Not found,175,England eng,MF (WM),Both,2007-2008,19 years,Swansea City,2007,https://www.transfermarkt.com/anderson/profil/spieler/8564
8035,Keith Andrews,https://fbref.com/en/players/5bca867f/Keith-Andrews,Success,Not found,13-Sep-80,Not found,183,Republic of Ireland,MF (DM),Not found,2001-2002,20 years,Wolves,2001,https://www.transfermarkt.com/keith-andrews/profil/spieler/8035
3226,Nicolas Anelka,https://fbref.com/en/players/931ed5e9/Nicolas-Anelka,Success,Not found,14-Mar-79,Not found,186,France,FW,Right,1995-1996,16 years,Paris S-G,1995,https://www.transfermarkt.com/nicolas-anelka/profil/spieler/3226
