player_name,transfermarkt_id
Charlie Adam,28990
Emmanuel Adebayor,8883
Gabriel Agbonlahor,37148
Daniel Agger,22832
Yakubu Aiyegbeni,8559
Marc Albrighton,61560
Antolín Alcaraz,14259
Alex,349066
Manuel Almunia,16621
Marcos Alonso,112515
Sammy Ameobi,92381
Shola Ameobi,3276
Anderson,8564
Keith Andrews,8035
Nicolas Anelka,3226
Marcos Angeleri,27448
Victor Anichebe,39532
Andrey Arshavin,15378
Mikel Arteta,7451
Benoît Assou-Ekotto,18310
Fábio Aurélio,7570
Demba Ba,40205
Ryan Babel,16135
Leighton Baines,13507
Chris Baird,4115
Nathan Baker,62638
Gareth Bale,39381
Mario Balotelli,45146
Barry Bannan,61561
Alex Baptiste,16660
Phil Bardsley,15773
Giles Barnes,37236
Pablo Barrera,51079
Gareth Barry,3291
Joey Barton,3292
Chris Basham,52495
Sébastien Bassong,33951
Jose Baxter,82734
James Beattie,3112
Jean Beausejour,18871
Bebé,26541
Jermaine Beckford,38874
Roman Bednář,26898
Asmir Begović,33873
Valon Behrami,21905
Hatem Ben Arfa,18900
Tal Ben Haim,20714
Yossi Benayoun,7858
Nicklas Bendtner,34557
Benjani,12063
Darren Bent,13239
Marcus Bent,9958
David Bentley,3205
Dimitar Berbatov,65
Christophe Berra,36602
Ryan Bertrand,40611
Leon Best,28244
Habib Beye,3923
Diniyar Bilyaletdinov,16690
Mame Biram Diouf,62049
Robbie Blake,3490
Luís Boa Morte,3422
Jérôme Boateng,26485
Ruud Boffin,31336
Ádám Bogdán,55247
Mauro Boselli,40822
José Bosingwa,9813
Lee Bowyer,3877
Dedryck Boyata,88262
Emmerson Boyce,19641
Michael Bradley,30593
Titus Bramble,3130
Wayne Bridge,3682
Matthew Briggs,51318
Wes Brown,3405
Jeffrey Bruma,88721
Chris Brunt,36814
Mark Bunn,49319
Gary Cahill,27511
Tim Cahill,13556
Gary Caldwell,3791
Steven Caldwell,3462
DJ Campbell,37896
Fraizer Campbell,42411
Sol Campbell,3198
John Carew,3570
David Carney,10387
Stephen Carr,4046
Jamie Carragher,3597
Michael Carrick,3878
Andy Carroll,48066
Scott Carson,14555
Craig Cathcart,59606
Lee Cattermole,37363
Marek Čech,21354
Petr Čech,5658
Marouane Chamakh,19085
Pascal Chimbonda,18875
Ciaran Clark,98240
Tom Cleverley,73484
Gaël Clichy,7449
Tamir Cohen,24209
Jack Colback,61644
Ashley Cole,3182
Carlton Cole,3179
Joe Cole,3876
Séamus Coleman,68390
Danny Collins,26183
James Collins,12691
Jack Collison,61568
Fabricio Coloccini,6150
Jordan Cook,61646
Vedran Ćorluka,34393
Manuel da Costa,37398
Simon Cox,37150
Jody Craddock,4129
Stephen Crainey,9499
Peter Crouch,4072
Carlo Cudicini,3151
Carlos Cuéllar,16576
Scott Dann,62688
Curtis Davies,18227
Kevin Davies,4114
Mark Davies,36917
Simon Davies,4056
Michael Dawson,9988
Jermain Defoe,3875
Rory Delap,610849
Nathan Delfouneso,62642
Fabian Delph,50362
Mousa Dembélé,19368
Ishmel Demontagnac,42188
Clint Dempsey,27577
Denílson,7660
Edwin van der Sar,3516
Rafael van der Vaart,4192
Matt Derbyshire,15175
Franco Di Santo,59783
Abou Diaby,26763
Alessandro Diamanti,23197
Mohamed Diamé,70950
Salif Diao,3600
Kagisho Dikgacoi,63285
Sylvain Distin,3356
Johan Djourou,34561
Graham Dorrans,36608
Giovani dos Santos,44674
Stewart Downing,4063
Colin Doyle,28728
Kevin Doyle,35193
Didier Drogba,3924
Damien Duff,3259
David Dunn,4243
Richard Dunne,3807
Kieron Dyer,3118
Edin Džeko,28396
Neal Eardley,49428
Sylvan Ebanks-Blake,27621
Emmanuel Eboué,13058
Nathan Eccleston,88983
David Edwards,54949
Rob Edwards,4068
Johan Elmander,4383
Ahmed Elmohamady,66333
George Elokobi,42048
Brett Emerton,4367
Jay Emmanuel-Thomas,27969
José Enrique,35571
Michael Essien,5588
Matthew Etherington,3788
Dickson Etuhu,14011
Jason Euell,3092
Jonny Evans,42412
Ian Evatt,37127
Patrice Evra,5285
Łukasz Fabiański,29692
Fábio,5775
Cesc Fàbregas,8806
Keith Fahey,29878
Julien Faubert,18093
Abdoulaye Faye,6107
Marouane Fellaini,39679
Anton Ferdinand,3698
Rio Ferdinand,3235
Barry Ferguson,10251
Shane Ferguson,62052
Paulo Ferreira,9832
Maynor Figueroa,62240
Jon Flanagan,145922
Darren Fletcher,3547
Steven Fletcher,35099
Kevin Foley,33491
Adam Forshaw,121257
Marc-Antoine Fortuné,5652
Ben Foster,13572
Brad Friedel,3476
Ricardo Fuller,14014
Danny Gabbidon,12709
William Gallas,3156
Morten Gamst Pedersen,22741
Craig Gardner,37171
Ricardo Gardner,6264
Zoltán Gera,18324
Steven Gerrard,3109
Kieran Gibbs,44792
Darron Gibson,42413
Ryan Giggs,3406
Matt Gilks,48254
Gaël Givet,5286
Steve Gohouri,19857
Heurelho Gomes,19059
Jordi Gómez,39010
Craig Gordon,12589
Dan Gosling,44983
Hérold Goulon,41978
Elliot Grandin,56785
Robert Green,11680
Jonathan Greening,3865
Vince Grella,6021
Adlène Guedioura,74768
Magaye Gueye,91956
Danny Guthrie,16716
Jonás Gutiérrez,26443
Eiður Guðjohnsen,3176
Asamoah Gyan,26802
Ali Al-Habsi,26633
El Hadji Diouf,54432
Marcus Hahnemann,4140
Greg Halford,42062
Rafik Halliche,67815
Mark Halstead,99972
Adam Hammill,38091
Brede Hangeland,25553
Grant Hanley,121385
Marlon Harewood,10011
Owen Hargreaves,201
Steve Harper,3562
Joe Hart,40204
John Heitinga,4315
Bjørn Helge Riise,13485
Jordan Henderson,61651
Wayne Hennessey,45494
Karl Henry,13582
Chris Herd,61572
Javier Hernández,50935
Emile Heskey,3142
Tony Hibbert,3614
