player_name,fbref_url,transfer_url,nationality,career_length,retired,retirement_age,age_current,debut_age,debut_year,injury_count_total,days_missed_total,games_missed_total,total_matches_club,total_matches_total,seasons_club,foot,position_simple,height,debut_age_num,height_clean,debut_year_num,injuries_per_season,foot_clean,event,debut_band,height_group,inj_band,debut_decade,nationality_clean,region
Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres,https://www.transfermarkt.com/oliver-torres/profil/spieler/214775,Spain,15,No,NA,30,17,2012,8,254,42,436,436,0,right,Midfield,1.75,17,1.75,2012,0,right,0,"[15,18)","[1.6,1.78]","(3,8]",2010s,Spain,EU_Major
Óscar,https://fbref.com/en/players/627650df/Oscar,https://www.transfermarkt.com/oscar-gonzalez/profil/spieler/7818,Spain,16,Yes,34,42,18,2001,2,42,6,449,449,0,right,Attack,1.75,18,1.75,2001,0,right,1,"[18,21)","[1.6,1.78]","[1,3]",2000s,Spain,EU_Major
Óscar Díaz,https://fbref.com/en/players/5a5ed410/Oscar-Diaz,https://www.transfermarkt.com/oscar-diaz/profil/spieler/30802,Spain,20,No,NA,41,21,2005,1,7,1,307,307,0,right,Attack,1.83,21,1.83,2005,0,right,0,"[21,24)","(1.78,1.83]","[1,3]",2000s,Spain,EU_Major
Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos,https://www.transfermarkt.com/oscar-de-marcos/profil/spieler/96718,Spain,17,Yes,36,36,19,2008,25,668,91,557,557,0,right,Defender,1.82,19,1.82,2008,0,right,1,"[18,21)","(1.78,1.83]","(8,56]",2000s,Spain,EU_Major
Óscar Serrano,https://fbref.com/en/players/c862ecc5/Oscar-Serrano,https://www.transfermarkt.com/oscar-serrano/profil/spieler/26373,Spain,11,Yes,33,43,22,2004,2,396,44,235,235,0,left,Midfield,1.78,22,1.78,2004,0,left,1,"[21,24)","[1.6,1.78]","[1,3]",2000s,Spain,EU_Major
Óscar Trejo,https://fbref.com/en/players/fc647b34/Oscar-Trejo,https://www.transfermarkt.com/oscar-trejo/profil/spieler/30321,Argentina  Italy,21,No,NA,37,17,2006,5,75,12,589,589,0,right,Attack,1.8,17,1.8,2006,0,right,0,"[15,18)","(1.78,1.83]","(3,8]",2000s,Argentina Italy,EU_Major
Óscar Ustari,https://fbref.com/en/players/40e417fa/Oscar-Ustari,https://www.transfermarkt.com/oscar-ustari/profil/spieler/3755,Argentina  Italy,21,No,NA,39,19,2007,8,840,131,304,304,0,right,Goalkeeper,1.83,19,1.83,2007,0,right,0,"[18,21)","(1.78,1.83]","(3,8]",2000s,Argentina Italy,EU_Major
Éric Abidal,https://fbref.com/en/players/016828bd/Eric-Abidal,https://www.transfermarkt.com/eric-abidal/profil/spieler/5283,France  Martinique,15,Yes,36,45,21,2000,10,583,125,381,415,8,left,Defender,1.86,21,1.86,2000,1.25,left,1,"[21,24)","(1.83,2]","(8,56]",2000s,France Martinique,EU_Major
Éver Banega,https://fbref.com/en/players/fa937f7a/Ever-Banega,https://www.transfermarkt.com/ever-banega/profil/spieler/12249,Argentina  Spain,19,No,NA,37,19,2007,9,350,67,599,636,8,right,Midfield,1.74,19,1.74,2007,1.125,right,0,"[18,21)","[1.6,1.78]","(8,56]",2000s,Argentina Spain,EU_Major
Íñigo López,https://fbref.com/en/players/8c61ca86/Inigo-Lopez,https://www.transfermarkt.com/inigo-lopez/profil/spieler/75238,Spain,11,Yes,39,43,28,2010,NA,NA,NA,196,196,0,right,Defender,1.85,28,1.85,2010,0,right,1,"[24,30]","(1.83,2]",NA,2010s,Spain,EU_Major
