player_name.x,transfermarkt_id.x,transfermarkt_url,first_tier_debut_date,first_tier_debut_age,first_tier_debut_age.1,first_tier_debut_competition,second_tier_debut_date,second_tier_debut_age,second_tier_debut_age.1,second_tier_debut_competition,debut_age_transfermarket,explanation.x,player_name.y,status,transfermarkt_id.y,player_slug,home_name,dob_age.x,place_birth.x,height.x,citizenship.x,position.x,foot.x,agent,current_club,joined,contract_expires,outfitter,injury_count_total,days_missed_total,games_missed_total,retired,retirement_date,shirt_number,injury_seasons,explanation.y,fbref_url,transfermarkt_id,player_name.x.x,name_home_country,dob_age.y,place_birth.y,height.y,citizenship.y,position.y,foot.y,debut_season,debut_age,first_club,debut_year,explanation,player_name.y.y,matches_national,minutes_national,goals_national,seasons_national,total_matches_club,total_minutes_club,total_goals_club,seasons_club,clubs_club,player_name,deceased,death_date,death_age,total_matches_total,total_minutes_total,total_goals_total,position_clean,position_simple,dob,age_current,retirement_date_clean,retirement_age,career_length
Alex,15420,https://www.transfermarkt.com/alex/profil/spieler/15420,25/08/2002,20 years 02 months 08 days,20,Campeonato Brasileiro Série A,No second tier career,No second tier career,No second tier career,No second tier career,20,players corrected,Alex,Success,15420,spieler,Alex,17/06/1982,Niterói,"1,88",Brazil,Defender - Centre-Back,right,Not found,AC Milan,19/12/2016,-,Not found,15,336,59,Yes,19/12/2016,Not found,5,"players corrected transfer

",https://fbref.com/en/players/58721835/Alex,15420,Alex,Not found,17-Jun-82,Not found,188,Brazil,DF (CB),Right,2004-2005,22 years,PSV Eindhoven,2004,third scrap,NA,NA,NA,NA,NA,354,29003,36,12,4,Alex,No,Not found,NA,354,29003,36,Defender - Centre-Back,Defender,6/17/1982,43,12/19/2016,34,14
Anderson,31645,https://www.transfermarkt.com/anderson/profil/spieler/31645,23/10/2004,16 years 06 months 10 days,16,Campeonato Brasileiro Série A,22/10/2018,30 years 06 months 09 days,30,1.Lig,16,players corrected,Anderson,Success,31645,spieler,Anderson,13/04/1988,Porto Alegre,"1,76",Brazil,Midfield - Central Midfield,left,Not found,Adana Demirspor,20/09/2019,-,Not found,8,429,75,Yes,20/09/2019,Not found,6,"players corrected transfer

",https://fbref.com/en/players/ffcbeb74/Anderson,31645,Anderson,Not found,13-Apr-88,Not found,176,Brazil,MF,Left,2005-2006,17 years,Porto,2005,third scrap,NA,NA,NA,NA,NA,236,13687,11,13,5,Anderson,No,Not found,NA,236,13687,11,Midfield - Central Midfield,Midfield,4/13/1988,37,9/20/2019,31,15
Bebé,153427,https://www.transfermarkt.com/bebe/profil/spieler/153427,2/10/2010,20 years 02 months 20 days,20,Premier League,2/2/2018,27 years 06 months 21 days,27,Segunda División,20,players corrected,Bebé,Success,153427,spieler,Bebé,12/7/1990,Lisboa,"1,90",Cape Verde  Portugal,Attack - Left Winger,right,Not found,UD Ibiza,1/2/2025,30/06/2026,Not found,3,601,92,No,Not found,7,3,"players corrected transfer

",https://fbref.com/en/players/d8712bf9/Bebe,26541,Bebé,Not found,"July 12, 1990 (Age: 35-136d)","Cacém, Portugal",190,Cape Verde cv  Other: Portugal,FW-MF (AM-WM),Right,2010-2011,20 years,Manchester Utd,2010,first scrap players fbref,Bebé,22,1244,5,4,334,17700,44,16,11,Bebé,No,Not found,NA,356,18944,49,Attack - Left Winger,Attack,7/12/1990,35,NA,NA,15
Lee Chung-yong,81801,https://www.transfermarkt.com/chung-yong-lee/profil/spieler/81801,12/3/2006,17 years 08 months 10 days,17,"K League - First Stage ('84,'86,'95,'96,'04-'06)",18/08/2012,24 years 01 month 16 days,24,Championship,17,players corrected,Lee Chung-yong,Success,81801,spieler,Chung-yong Lee,2/7/1988,Seoul,"1,80","Korea, South",Attack - Right Winger,right,Not found,Ulsan HD,3/3/2020,-,Not found,9,632,111,No,Not found,27,5,"players corrected transfer

",https://fbref.com/en/players/49b05a83/Lee-Chung-yong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lee Chung-yong,58,4137,5,8,430,25952,35,17,5,Lee Chung-yong,No,Not found,NA,488,30089,40,Attack - Right Winger,Attack,7/2/1988,37,NA,NA,20
Rory Delap,4112,https://www.transfermarkt.com/rory-delap/profil/spieler/4112,14/02/1998,21 years 07 months 08 days,21,Premier League,6/8/2005,29 years 01 month 00 days,29,Championship,21,players corrected,Rory Delap,Success,4112,spieler,Rory Delap,6/7/1976,Sutton Coldfield,"1,83",Ireland  England,Midfield - Central Midfield,right,Not found,Burton Albion,16/12/2013,-,Not found,1,77,13,Yes,16/12/2013,Not found,1,"players corrected transfer

",https://fbref.com/en/players/9b0dac73/Rory-Delap,610849,Rory Delap,Not found,6-Jul-76,Not found,183,Republic of Ireland,MF (AM),Not found,1997-1998,21 years,Derby County,1997,first scrap players fbref,NA,NA,NA,NA,NA,446,35492,26,17,6,Rory Delap,No,Not found,NA,446,35492,26,Midfield - Central Midfield,Midfield,7/6/1976,49,12/16/2013,37,16
Denílson,42352,https://www.transfermarkt.com/denilson/profil/spieler/42352,20/10/2005,17 years 08 months 04 days,17,Campeonato Brasileiro Série A,4/7/2021,33 years 04 months 18 days,33,Campeonato Brasileiro Série B,17,players corrected,Denílson,Success,42352,spieler,Denílson,16/02/1988,São Paulo,"1,78",Brazil,Midfield - Defensive Midfield,right,Not found,Brasil Pelotas,1/1/2022,-,Not found,4,117,21,Yes,1/1/2022,Not found,3,"players corrected transfer

",https://fbref.com/en/players/2f07dee0/Denilson,42352,Denílson,Not found,16-Feb-88,Not found,179,Brazil,MF,Right,2006-2007,18 years,Arsenal,2006,players corrected fbref,NA,NA,NA,NA,NA,176,12371,8,9,4,Denílson,No,Not found,NA,176,12371,8,Midfield - Defensive Midfield,Midfield,2/16/1988,37,1/1/2022,33,16
Fábio,61891,https://www.transfermarkt.com/fabio/profil/spieler/61891,16/08/2009,19 years 01 month 07 days,19,Premier League,8/8/2014,24 years 30 days,24,Championship,19,players corrected,Fábio,Success,61891,spieler,Fábio,9/7/1990,Petrópolis,"1,72",Brazil  Portugal,Defender - Right-Back,right,Not found,Grêmio,1/1/2025,-,adidas,12,622,95,Yes,1/1/2025,Not found,9,"players corrected transfer

",https://fbref.com/en/players/bc7b4580/Fabio,61891,Fábio,Not found,9-Jul-90,Not found,172,Brazil,DF (FB),Right,2009-2010,19 years,Manchester Utd,2009,third scrap,NA,NA,NA,NA,NA,307,20100,4,16,6,Fábio,No,Not found,NA,307,20100,4,Defender - Right-Back,Defender,7/9/1990,35,1/1/2025,34,15
Vince Grella,6021,https://www.transfermarkt.com/vincenzo-grella/profil/spieler/6021,22/11/1998,19 years 01 month 17 days,19,Serie A,27/02/2000,20 years 04 months 22 days,20,Serie B,19,players corrected,Vince Grella,Success,6021,spieler,Vincenzo Grella,5/10/1979,Melbourne,"1,83",Australia  Italy,Midfield - Central Midfield,both,Not found,Melbourne Heart,28/01/2013,-,Not found,4,336,62,Yes,28/01/2013,Not found,2,"players corrected transfer

",https://fbref.com/en/players/db61f587/Vince-Grella,6021,Vince Grella,Not found,5-Oct-79,Not found,180,Australia,MF (DM),Not found,1998-1999,18 years,Empoli,1998,first scrap players fbref,Vince Grella,17,1287,0,3,255,18737,4,13,5,Vince Grella,No,Not found,NA,272,20024,4,Midfield - Central Midfield,Midfield,10/5/1979,46,1/28/2013,33,14
El Hadji Diouf,3604,https://www.transfermarkt.com/el-hadji-diouf/profil/spieler/3604,11/11/1998,17 years 09 months 27 days,17,Ligue 1,1/11/2011,30 years 09 months 17 days,30,Championship,17,players corrected,El Hadji Diouf,Success,3604,spieler,El-Hadji Diouf,15/01/1981,Saint-Louis,"1,80",Senegal  France,Attack - Centre-Forward,right,Not found,Sabah FA,1/1/2016,-,Not found,2,28,6,Yes,1/1/2016,Not found,2,"players corrected transfer

",https://fbref.com/en/players/1a4542c8/El-Hadji-Diouf,54432,El Hadji Diouf,Not found,15-Jan-81,Not found,182,Senegal,FW-MF (WM),Right,1998-1999,17 years,Sochaux,1998,first scrap players fbref,El Hadji Diouf,5,510,0,1,448,31514,63,16,10,El Hadji Diouf,No,Not found,NA,453,32024,63,Attack - Centre-Forward,Attack,1/15/1981,44,1/1/2016,34,17
Park Ji-sung,4592,https://www.transfermarkt.com/ji-sung-park/profil/spieler/4592,24/06/2000,19 years 03 months 30 days,19,Meiji Yasuda J1 League - Second Stage,10/3/2001,20 years 13 days,20,J2 League,19,players corrected,Park Ji-sung,Success,4592,spieler,Ji-sung Park,25/02/1981,Seoul,"1,78","Korea, South",Midfield - Attacking Midfield,both,Not found,QPR,1/7/2014,-,Not found,7,351,68,Yes,1/7/2014,Not found,6,"players corrected transfer

",https://fbref.com/en/players/3de4cb30/Park-Ji-sung,4592,Park Ji-sung,Not found,25-Feb-81,Not found,173,Korea Republic,MF,Not found,2002-2003,21 years,PSV Eindhoven,2002,first scrap players fbref,Park Ji-sung,51,4446,9,8,304,20057,38,12,3,Park Ji-sung,No,Not found,NA,355,24503,47,Midfield - Attacking Midfield,Attack,2/25/1981,44,7/1/2014,33,14
