player_name,transfermarkt_url,status,transfermarkt_id,player_slug,home_name,dob_age,place_birth,height,citizenship,position,foot,agent,current_club,joined,contract_expires,outfitter,injury_count_total,days_missed_total,games_missed_total,retired,retirement_date,shirt_number,injury_seasons,explanation
Alex,https://www.transfermarkt.com/alex/profil/spieler/15420,Success,15420,spieler,Alex,17/06/1982 (43),Niterói,"1,88 m",Brazil,Defender - Centre-Back,right,Not found,AC Milan,19/12/2016,-,Not found,15,336,59,Yes,19/12/2016,Not found,5,"players corrected transfer

"
Anderson,https://www.transfermarkt.com/anderson/profil/spieler/31645,Success,31645,spieler,Anderson,13/04/1988 (37),Porto Alegre,"1,76 m",Brazil,Midfield - Central Midfield,left,Not found,Adana Demirspor,20/09/2019,-,Not found,8,429,75,Yes,20/09/2019,Not found,6,"players corrected transfer

"
Bebé,https://www.transfermarkt.com/bebe/profil/spieler/153427,Success,153427,spieler,Bebé,12/07/1990 (35),Lisboa,"1,90 m",Cape Verde  Portugal,Attack - Left Winger,right,Not found,UD Ibiza,1/2/2025,30/06/2026,Not found,3,601,92,No,Not found,7,3,"players corrected transfer

"
Lee Chung-yong,https://www.transfermarkt.com/chung-yong-lee/profil/spieler/81801,Success,81801,spieler,Chung-yong Lee,02/07/1988 (37),Seoul,"1,80 m","Korea, South",Attack - Right Winger,right,Not found,Ulsan HD,3/3/2020,-,Not found,9,632,111,No,Not found,27,5,"players corrected transfer

"
Rory Delap,https://www.transfermarkt.com/rory-delap/profil/spieler/4112,Success,4112,spieler,Rory Delap,06/07/1976 (49),Sutton Coldfield,"1,83 m",Ireland  England,Midfield - Central Midfield,right,Not found,Burton Albion,16/12/2013,-,Not found,1,77,13,Yes,16/12/2013,Not found,1,"players corrected transfer

"
Denílson,https://www.transfermarkt.com/denilson/profil/spieler/42352,Success,42352,spieler,Denílson,16/02/1988 (37),São Paulo,"1,78 m",Brazil,Midfield - Defensive Midfield,right,Not found,Brasil Pelotas,1/1/2022,-,Not found,4,117,21,Yes,1/1/2022,Not found,3,"players corrected transfer

"
Fábio,https://www.transfermarkt.com/fabio/profil/spieler/61891,Success,61891,spieler,Fábio,09/07/1990 (35),Petrópolis,"1,72 m",Brazil  Portugal,Defender - Right-Back,right,Not found,Grêmio,1/1/2025,-,adidas,12,622,95,Yes,1/1/2025,Not found,9,"players corrected transfer

"
Vince Grella,https://www.transfermarkt.com/vincenzo-grella/profil/spieler/6021,Success,6021,spieler,Vincenzo Grella,05/10/1979 (46),Melbourne,"1,83 m",Australia  Italy,Midfield - Central Midfield,both,Not found,Melbourne Heart,28/01/2013,-,Not found,4,336,62,Yes,28/01/2013,Not found,2,"players corrected transfer

"
El Hadji Diouf,https://www.transfermarkt.com/el-hadji-diouf/profil/spieler/3604,Success,3604,spieler,El-Hadji Diouf,15/01/1981 (44),Saint-Louis,"1,80 m",Senegal  France,Attack - Centre-Forward,right,Not found,Sabah FA,1/1/2016,-,Not found,2,28,6,Yes,1/1/2016,Not found,2,"players corrected transfer

"
Park Ji-sung,https://www.transfermarkt.com/ji-sung-park/profil/spieler/4592,Success,4592,spieler,Ji-sung Park,25/02/1981 (44),Seoul,"1,78 m","Korea, South",Midfield - Attacking Midfield,both,Not found,QPR,1/7/2014,-,Not found,7,351,68,Yes,1/7/2014,Not found,6,"players corrected transfer

"
Sergei Kornilenko,https://www.transfermarkt.com/sergey-kornilenko/profil/spieler/15881,Success,15881,spieler,Sergey Kornilenko,14/06/1983 (42),Vitebsk,"1,86 m",Belarus  Russia,Attack - Centre-Forward,left,Not found,KS Samara,1/7/2021,-,Not found,2,91,9,Yes,1/7/2021,Not found,2,"players corrected transfer

"
Sotirios Kyrgiakos,https://www.transfermarkt.com/sotiris-kyrgiakos/profil/spieler/9706,Success,9706,spieler,Sotiris Kyrgiakos,23/07/1979 (46),Trikala,"1,93 m",Greece,Defender - Centre-Back,right,Not found,Sydney Olympic,7/4/2014,-,Not found,6,299,20,Yes,7/4/2014,Not found,3,"players corrected transfer

"
Adrián López,https://www.transfermarkt.com/adrian-lopez/profil/spieler/44966,Success,44966,spieler,Adrián López,25/02/1987 (38),As Pontes,"1,84 m",Spain,Defender - Centre-Back,right,Not found,SD Compostela,1/7/2019,-,adidas,2,80,14,Yes,1/7/2019,Not found,2,"players corrected transfer

"
Andy O'Brien,https://www.transfermarkt.com/andrew-obrien/profil/spieler/3228,Success,3228,spieler,Andrew O'Brien,29/06/1979 (46),Harrogate,"1,91 m",Ireland  England,Defender - Centre-Back,right,Not found,Vancouver,1/1/2015,-,Not found,1,9,2,Yes,1/1/2015,Not found,1,"players corrected transfer

"
Frédéric Piquionne,https://www.transfermarkt.com/frederic-piquionne/profil/spieler/5683,Success,5683,spieler,Frédéric Piquionne,08/12/1978 (46),Nouméa,"1,88 m",Martinique  France,Attack - Centre-Forward,right,Not found,Mumbai City,1/1/2016,-,Not found,0,0,0,Yes,1/1/2016,Not found,0,"players corrected transfer

"
Rafael,https://www.transfermarkt.com/rafael/profil/spieler/61892,Success,61892,spieler,Rafael,09/07/1990 (35),Petrópolis,"1,72 m",Brazil  Portugal,Defender - Right-Back,right,Not found,Botafogo,1/1/2025,-,Nike,26,1158,220,Yes,1/1/2025,Not found,13,"players corrected transfer

"
Abdul Razak,https://www.transfermarkt.com/abdul-razak/profil/spieler/177321,Success,177321,spieler,Abdul Razak,11/11/1992 (33),Bouaké,"1,79 m",Cote d'Ivoire,Midfield - Central Midfield,right,Not found,Without Club,1/7/2025,-,Not found,1,13,0,No,Not found,Not found,1,"players corrected transfer

"
Jack Robinson,https://www.transfermarkt.com/jack-robinson/profil/spieler/128909,Success,128909,spieler,Jack Robinson,01/09/1993 (32),Warrington,"1,80 m",England,Defender - Centre-Back,left,Not found,Birmingham,1/9/2025,30/06/2027,Not found,5,806,136,No,Not found,6,5,"players corrected transfer

"
Rodrigo,https://www.transfermarkt.com/rodrigo/profil/spieler/131505,Success,131505,spieler,Rodrigo,06/03/1991 (34),Rio de Janeiro,"1,82 m",Spain  Brazil,Attack - Centre-Forward,left,Not found,Al-Rayyan,13/07/2023,30/06/2026,Nike,19,618,105,No,Not found,19,10,"players corrected transfer

"
Sandro,https://www.transfermarkt.com/sandro/profil/spieler/74590,Success,74590,spieler,Sandro,15/03/1989 (36),Riachinho,"1,88 m",Brazil  Portugal,Midfield - Central Midfield,right,Not found,Harborough,2/12/2024,-,Not found,10,623,104,Yes,2/12/2024,Not found,7,"players corrected transfer

"
Paulo da Silva,https://www.transfermarkt.com/paulo-da-silva/profil/spieler/38800,Success,38800,spieler,Paulo da Silva,01/02/1980 (45),Asunción,"1,84 m",Paraguay,Defender - Centre-Back,right,Not found,Atlantida SC,20/10/2024,-,Not found,1,31,6,Yes,20/10/2024,Not found,1,"players corrected transfer

"
Alan Smith,https://www.transfermarkt.com/alan-smith/profil/spieler/3768,Success,3768,spieler,Alan Smith,28/10/1980 (45),Rothwell,"1,78 m",England,Midfield - Central Midfield,right,Not found,Notts County,1/7/2018,-,Not found,2,340,57,Yes,1/7/2018,Not found,2,"players corrected transfer

"
Alexandre Song,https://www.transfermarkt.com/alex-song/profil/spieler/27394,Success,27394,spieler,Alex Song,09/09/1987 (38),Douala,"1,85 m",Cameroon  France,Midfield - Defensive Midfield,right,Not found,AS Arta/Solar7,14/11/2023,-,Puma,9,264,40,Yes,14/11/2023,Not found,6,"players corrected transfer

"
Matt Upson,https://www.transfermarkt.com/matthew-upson/profil/spieler/3273,Success,3273,spieler,Matthew Upson,18/04/1979 (46),Hartismere,"1,85 m",England,Defender - Centre-Back,left,Not found,MK Dons,1/7/2016,-,Not found,3,194,42,Yes,1/7/2016,Not found,3,"players corrected transfer

"
Xisco,https://www.transfermarkt.com/xisco/profil/spieler/34564,Success,34564,spieler,Xisco,26/06/1986 (39),Santa Ponça,"1,88 m",Spain,Attack - Centre-Forward,right,Not found,Atl. Baleares,29/01/2024,-,Not found,9,289,50,Yes,29/01/2024,Not found,8,"players corrected transfer

"
Yuri Zhirkov,https://www.transfermarkt.com/yuriy-zhirkov/profil/spieler/16760,Success,16760,spieler,Yuriy Zhirkov,20/08/1983 (42),Tambov,"1,80 m",Russia,Midfield - Left Midfield,left,Not found,Khimki,1/7/2022,-,Nike,10,645,88,Yes,1/7/2022,Not found,8,"players corrected transfer

"
Patrick Agyemang,https://www.transfermarkt.com/patrick-agyemang/profil/spieler/13982,Success,13982,spieler,Patrick Agyemang,29/09/1980 (45),London,"1,85 m",Ghana  England,Attack - Centre-Forward,right,Not found,Cray Valley PM,25/08/2018,-,Not found,0,0,0,Yes,25/08/2018,Not found,0,"players corrected transfer

"
Bruno Andrade,https://www.transfermarkt.com/bruno-andrade/profil/spieler/169633,Success,169633,spieler,Bruno Andrade,02/10/1993 (32),Viseu,"1,75 m",Portugal  Cape Verde,Midfield - Left Midfield,right,Not found,Bedford Town,3/1/2025,30/06/2025,Not found,0,0,0,No,Not found,23,0,"players corrected transfer

"
Park Chu-young,https://www.transfermarkt.com/chu-young-park/profil/spieler/30982,Success,30982,spieler,Chu-young Park,10/07/1985 (40),"Dong-gu, Daegu","1,82 m","Korea, South",Attack - Centre-Forward,right,Not found,Ulsan Hyundai,1/1/2025,-,Mizuno,3,246,30,Yes,1/1/2025,Not found,3,"players corrected transfer

"
Ji Dong-won,https://www.transfermarkt.com/dong-won-ji/profil/spieler/164265,Success,164265,spieler,Dong-won Ji,28/05/1991 (34),"Jeju City, Jeju","1,87 m","Korea, South",Attack - Centre-Forward,right,Not found,Macarthur,5/8/2025,30/06/2026,Not found,24,1078,155,No,Not found,33,10,"players corrected transfer

"
Doni,https://www.transfermarkt.com/doni/profil/spieler/20392,Success,20392,spieler,Doni,22/10/1979 (46),Jundiaí,"1,94 m",Brazil  Italy,Goalkeeper,right,Not found,Botafogo-SP,12/8/2013,-,Not found,3,187,23,Yes,12/8/2013,Not found,1,"players corrected transfer

"
Robert Hulse,https://www.transfermarkt.com/rob-hulse/profil/spieler/9980,Success,9980,spieler,Rob Hulse,25/10/1979 (46),Crewe,"1,85 m",England,Attack - Centre-Forward,right,Not found,QPR,16/10/2013,-,Not found,0,0,0,Yes,16/10/2013,Not found,0,"players corrected transfer

"
Eggert Jónsson,https://www.transfermarkt.com/eggert-gunnthor-jonsson/profil/spieler/45298,Success,45298,spieler,Eggert Gunnthór Jónsson,18/08/1988 (37),Reykjavík,"1,88 m",Iceland,Midfield - Defensive Midfield,right,Not found,KFA,17/02/2024,-,Nike,3,149,42,No,Not found,4,2,"players corrected transfer

"
Chris Martin,https://www.transfermarkt.com/chris-martin/profil/spieler/46154,Success,46154,spieler,Chris Martin,04/11/1988 (37),Beccles,"1,84 m",Scotland  England,Attack - Centre-Forward,right,Not found,Without Club,1/7/2025,-,Not found,2,68,15,No,Not found,Not found,1,"players corrected transfer

"
Tommy Smith,https://www.transfermarkt.com/tommy-smith/profil/spieler/12401,Success,12401,spieler,Tommy Smith,22/05/1980 (45),Hemel Hempstead,"1,78 m",England,Attack - Centre-Forward,right,Not found,Brentford,1/7/2015,-,Not found,1,64,16,Yes,1/7/2015,Not found,1,"players corrected transfer

"
