fbref_url,transfermarkt_id,player_name,name_home_country,dob_age,place_birth,height,citizenship,position,foot,debut_season,debut_age,first_club,debut_year,explanation
https://fbref.com/en/players/f5781978/Dimitar-Berbatov,65,Dimitar Berbatov,Not found,30-Jan-81,Not found,189,Bulgaria,FW,Right,2000-2001,19 years,Leverkusen,2000,first scrap players fbref
https://fbref.com/en/players/594d4046/Landon-Donovan,68,Landon Donovan,Not found,4-Mar-82,Not found,173,United States,FW-MF (AM-WM),Both,2001,18 years,SJ Earthquakes,Not found,first scrap players fbref
https://fbref.com/en/players/d1ca1129/Jens-Lehmann,122,Jens Lehmann,Not found,10-Nov-69,Not found,190,Germany,GK,Not found,1991-1992,21 years,Schalke 04,1991,first scrap players fbref
https://fbref.com/en/players/dbb688e3/Tomas-Rosicky,132,Tomáš Rosický,Not found,4-Oct-80,Not found,180,Czech Republic,MF (AM-WM),Both,2000-2001,19 years,Dortmund,2000,first scrap players fbref
https://fbref.com/en/players/1b2b5b86/Owen-Hargreaves,201,Owen Hargreaves,Not found,20-Jan-81,Not found,180,England eng  Other: Canada,MF,Not found,2000-2001,19 years,Bayern Munich,2000,first scrap players fbref
https://fbref.com/en/players/7f2107eb/Roque-Santa-Cruz,215,Roque Santa Cruz,Not found,"August 16, 1981 (Age: 44-101d)","Luque, Paraguay",191,Paraguay,FW,Right,1999-2000,17 years,Bayern Munich,1999,first scrap players fbref
https://fbref.com/en/players/4370cecc/Gerhard-Tremmel,488,Gerhard Tremmel,Not found,16-Nov-78,Not found,190,Not found,GK,Right,1999-2000,20 years,Unterhaching,1999,first scrap players fbref
https://fbref.com/en/players/35cf43aa/Alexander-Hleb,597,Alexander Hleb,Not found,1-May-81,Not found,185,Belarus,MF (AM-WM),Both,2000-2001,19 years,Stuttgart,2000,first scrap players fbref
https://fbref.com/en/players/011360ce/Martin-Petrov,670,Martin Petrov,Not found,15-Jan-79,Not found,179,Bulgaria,"FW-MF (WM, left)",Not found,2001-2002,22 years,Wolfsburg,2001,first scrap players fbref
https://fbref.com/en/players/214ed478/Ivan-Klasnic,690,Ivan Klasnić,Not found,29-Jan-80,Not found,186,Croatia hr  Other: Germany,FW,Not found,2001-2002,21 years,Werder Bremen,2001,first scrap players fbref
https://fbref.com/en/players/6b08d120/Emanuel-Pogatetz,1094,Emanuel Pogatetz,Not found,16-Jan-83,Not found,190,Austria,"DF (CB-FB, left)",Left,2003-2004,20 years,Grazer AK,2003,first scrap players fbref
https://fbref.com/en/players/a924380b/Tomasz-Kuszczak,1320,Tomasz Kuszczak,Not found,20-Mar-82,Not found,191,Poland,GK,Right,2004-2005,22 years,West Brom,2004,first scrap players fbref
https://fbref.com/en/players/0c577541/Jermaine-Jones,1321,Jermaine Jones,Not found,3-Nov-81,Not found,184,United States us  Other: Germany,MF (AM-DM),Both,2000-2001,18 years,Eint Frankfurt,2000,first scrap players fbref
https://fbref.com/en/players/9b74ce00/Alou-Diarra,1327,Alou Diarra,Not found,15-Jul-81,Not found,190,France,MF (DM),Right,2002-2003,21 years,Le Havre,2002,first scrap players fbref
https://fbref.com/en/players/605bba68/Guy-Demel,1368,Guy Demel,Not found,13-Jun-81,Not found,189,Côte d'Ivoire ci  Other: France,"DF-MF (FB, right)",Right,2002-2003,21 years,Dortmund,2002,first scrap players fbref
https://fbref.com/en/players/88b3f52c/Michael-Owen,1397,Michael Owen,Not found,14-Dec-79,Not found,172,England eng,FW,Not found,1996-1997,16 years,Liverpool,1996,first scrap players fbref
https://fbref.com/en/players/bef72e41/Lars-Jacobsen,1423,Lars Jacobsen,Not found,20-Sep-79,Not found,181,Denmark,"DF (CB-FB, right)",Both,2002-2003,22 years,Hamburger SV,2002,first scrap players fbref
https://fbref.com/en/players/4b83b362/Christian-Poulsen,1443,Christian Poulsen,Not found,28-Feb-80,Not found,182,Denmark,MF (DM),Not found,2002-2003,22 years,Schalke 04,2002,first scrap players fbref
https://fbref.com/en/players/2757060a/Thomas-Hitzlsperger,1573,Thomas Hitzlsperger,Not found,5-Apr-82,Not found,183,Germany,MF (CM),Not found,2000-2001,18 years,Aston Villa,2000,first scrap players fbref
https://fbref.com/en/players/3cb009c5/Sascha-Riether,1662,Sascha Riether,Not found,23-Mar-83,Not found,174,Germany,"DF-MF (CM-FB, right)",Right,2003-2004,20 years,Freiburg,2003,first scrap players fbref
https://fbref.com/en/players/ccc22fea/Bastian-Schweinsteiger,2514,Bastian Schweinsteiger,Not found,1-Aug-84,Not found,183,Germany,DF-MF (CB),Right,2002-2003,17 years,Bayern Munich,2002,first scrap players fbref
https://fbref.com/en/players/1148323a/Eldin-Jakupovic,2857,Eldin Jakupović,Not found,"October 2, 1984 (Age: 41-054d)","Kozarac, Bosnia and Herzegovina",191,Switzerland ch  Other: Bosnia and Herzegovina,GK,Right,2004-2005,19 years,Grasshopper,2004,first scrap players fbref
https://fbref.com/en/players/2cc63c53/Mladen-Petric,2874,Mladen Petrić,Not found,1-Jan-81,Not found,185,Croatia hr  Other: Bosnia and Herzegovina,FW,Left,2003-2004,22 years,Grasshopper,2003,first scrap players fbref
https://fbref.com/en/players/d8bcce3d/Paul-Scharner,2953,Paul Scharner,Not found,11-Mar-80,Not found,191,Austria,DF-MF (CB-DM),Not found,2003-2004,23 years,Austria Wien,2003,first scrap players fbref
