player_name,transfermarkt_id,transfermarkt_url,first_tier_debut_date,first_tier_debut_age,first_tier_debut_age,first_tier_debut_competition,second_tier_debut_date,second_tier_debut_age,second_tier_debut_age,second_tier_debut_competition,debut_age_transfermarket,explanation
Alex,15420,https://www.transfermarkt.com/alex/profil/spieler/15420,25/08/2002,20 years 02 months 08 days,20,Campeonato Brasileiro Série A,No second tier career,No second tier career,No second tier career,No second tier career,20,players corrected
Anderson,31645,https://www.transfermarkt.com/anderson/profil/spieler/31645,23/10/2004,16 years 06 months 10 days,16,Campeonato Brasileiro Série A,22/10/2018,30 years 06 months 09 days,30,1.Lig,16,players corrected
Bebé,153427,https://www.transfermarkt.com/bebe/profil/spieler/153427,2/10/2010,20 years 02 months 20 days,20,Premier League,2/2/2018,27 years 06 months 21 days,27,Segunda División,20,players corrected
Lee Chung-yong,81801,https://www.transfermarkt.com/chung-yong-lee/profil/spieler/81801,12/3/2006,17 years 08 months 10 days,17,"K League - First Stage ('84,'86,'95,'96,'04-'06)",18/08/2012,24 years 01 month 16 days,24,Championship,17,players corrected
Rory Delap,4112,https://www.transfermarkt.com/rory-delap/profil/spieler/4112,14/02/1998,21 years 07 months 08 days,21,Premier League,6/8/2005,29 years 01 month 00 days,29,Championship,21,players corrected
Denílson,42352,https://www.transfermarkt.com/denilson/profil/spieler/42352,20/10/2005,17 years 08 months 04 days,17,Campeonato Brasileiro Série A,4/7/2021,33 years 04 months 18 days,33,Campeonato Brasileiro Série B,17,players corrected
Fábio,61891,https://www.transfermarkt.com/fabio/profil/spieler/61891,16/08/2009,19 years 01 month 07 days,19,Premier League,8/8/2014,24 years 30 days,24,Championship,19,players corrected
Vince Grella,6021,https://www.transfermarkt.com/vincenzo-grella/profil/spieler/6021,22/11/1998,19 years 01 month 17 days,19,Serie A,27/02/2000,20 years 04 months 22 days,20,Serie B,19,players corrected
El Hadji Diouf,3604,https://www.transfermarkt.com/el-hadji-diouf/profil/spieler/3604,11/11/1998,17 years 09 months 27 days,17,Ligue 1,1/11/2011,30 years 09 months 17 days,30,Championship,17,players corrected
Park Ji-sung,4592,https://www.transfermarkt.com/ji-sung-park/profil/spieler/4592,24/06/2000,19 years 03 months 30 days,19,Meiji Yasuda J1 League - Second Stage,10/3/2001,20 years 13 days,20,J2 League,19,players corrected
