player_name,player_url,status,transfermarkt_id,player_slug,home_name,dob_age,place_birth,height,citizenship,position,foot,agent,current_club,joined,contract_expires,outfitter,injury_count_total,days_missed_total,games_missed_total,retired,retirement_date,shirt_number,injury_seasons
Charlie Adam,https://www.transfermarkt.com/charlie-adam/profil/spieler/28990,Success,28990,spieler,Charlie Adam,10/12/1985 (39),Dundee,"1,85 m",Scotland,Midfield - Central Midfield,left,Not found,Dundee FC,21/09/2022,-,Nike,4,183,30,Yes,21/09/2022,Not found,4
Emmanuel Adebayor,https://www.transfermarkt.com/emmanuel-adebayor/profil/spieler/8883,Success,8883,spieler,Emmanuel Adebayor,26/02/1984 (41),Lomé,"1,92 m",Togo  Nigeria,Attack - Centre-Forward,right,Not found,AC Semassi FC,20/03/2023,-,Not found,19,214,43,Yes,20/03/2023,Not found,8
Gabriel Agbonlahor,https://www.transfermarkt.com/gabriel-agbonlahor/profil/spieler/37148,Success,37148,spieler,Gabriel Agbonlahor,13/10/1986 (39),Birmingham,"1,83 m",England  Nigeria,Attack - Centre-Forward,right,Not found,Aston Villa,1/7/2018,-,Not found,12,365,46,Yes,1/7/2018,Not found,8
Daniel Agger,https://www.transfermarkt.com/daniel-agger/profil/spieler/22832,Success,22832,spieler,Daniel Agger,12/12/1984 (40),Hvidovre,"1,91 m",Denmark,Defender - Centre-Back,left,Not found,Bröndby IF,1/7/2016,-,Not found,10,579,122,Yes,1/7/2016,Not found,7
Yakubu Aiyegbeni,https://www.transfermarkt.com/yakubu-aiyegbeni/profil/spieler/8559,Success,8559,spieler,Yakubu Aiyegbeni,22/11/1982 (43),Benin City,"1,83 m",Nigeria,Attack - Centre-Forward,Not found,Not found,Coventry,22/11/2017,-,Not found,1,184,34,Yes,22/11/2017,Not found,1
Marc Albrighton,https://www.transfermarkt.com/marc-albrighton/profil/spieler/61560,Success,61560,spieler,Marc Albrighton,18/11/1989 (36),Tamworth,"1,75 m",England,Midfield - Right Midfield,right,Not found,Leicester,29/08/2024,-,Nike,5,254,34,Yes,29/08/2024,Not found,4
Antolín Alcaraz,https://www.transfermarkt.com/antoln-alcaraz/profil/spieler/14259,Success,14259,spieler,Antolín Alcaraz,30/07/1982 (43),Roque González,"1,87 m",Paraguay  Italy,Defender - Centre-Back,right,Not found,Olimpia,30/10/2023,-,Not found,7,541,96,Yes,30/10/2023,Not found,6
Alex,https://www.transfermarkt.com/alex/profil/spieler/349066,Success,349066,spieler,Alexander Isak,21/09/1999 (26),Solna,"1,92 m",Sweden  Eritrea,Attack - Centre-Forward,right,Not found,Liverpool,1/9/2025,30/06/2031,adidas,17,368,73,No,Not found,9,8
Manuel Almunia,https://www.transfermarkt.com/manuel-almunia/profil/spieler/16621,Success,16621,spieler,Manuel Almunia,19/05/1977 (48),Pamplona,"1,91 m",Spain,Goalkeeper,right,Not found,Watford,27/08/2014,-,Not found,7,161,36,Yes,27/08/2014,Not found,4
Marcos Alonso,https://www.transfermarkt.com/marcos-alonso/profil/spieler/112515,Success,112515,spieler,Marcos Alonso,28/12/1990 (34),Madrid,"1,88 m",Spain,Defender - Centre-Back,left,Not found,Celta de Vigo,28/08/2024,30/06/2026,Nike,12,482,87,No,Not found,20,8
