player_name,transfermarkt_id,transfermarkt_url,first_tier_debut_date,first_tier_debut_age,first_tier_debut_age,first_tier_debut_competition,second_tier_debut_date,second_tier_debut_age,second_tier_debut_age,second_tier_debut_competition,debut_age_transfermarket
Charlie Adam,28990,https://www.transfermarkt.com/charlie-adam/profil/spieler/28990,28/12/2003,18 years 18 days,18,Scottish Premiership,17/09/2005,19,19,Scottish Championship,18
Emmanuel Adebayor,8883,https://www.transfermarkt.com/emmanuel-adebayor/profil/spieler/8883,17/11/2001,17 years 08 months 22 days,17,Ligue 1,3/8/2002,18,18,Ligue 2,17
Gabriel Agbonlahor,37148,https://www.transfermarkt.com/gabriel-agbonlahor/profil/spieler/37148,18/03/2006,19 years 05 months 05 days,19,Premier League,28/09/2005,18,18,Championship,18
Daniel Agger,22832,https://www.transfermarkt.com/daniel-agger/profil/spieler/22832,25/07/2004,19 years 07 months 13 days,19,Superligaen,No second tier career,No second tier career,No second tier career,No second tier career,19
Yakubu Aiyegbeni,8559,https://www.transfermarkt.com/yakubu-aiyegbeni/profil/spieler/8559,19/11/1999,16 years 11 months 28 days,16,,18/01/2003,20,20,First Division (until 03/04),16
Marc Albrighton,61560,https://www.transfermarkt.com/marc-albrighton/profil/spieler/61560,15/08/2009,19 years 08 months 28 days,19,Premier League,30/10/2013,23,23,Championship,19
Antolín Alcaraz,14259,https://www.transfermarkt.com/antoln-alcaraz/profil/spieler/14259,26/01/2003,20 years 05 months 27 days,20,Liga Portugal,21/08/2005,23,23,Ledman Liga Pro,20
Alex,349066,https://www.transfermarkt.com/alex/profil/spieler/349066,7/4/2016,16 years 06 months 17 days,16,Allsvenskan,No second tier career,No second tier career,No second tier career,No second tier career,16
Manuel Almunia,16621,https://www.transfermarkt.com/manuel-almunia/profil/spieler/16621,17/11/2002,25 years 05 months 29 days,25,LaLiga,26/08/2001,24,24,Segunda División,24
Marcos Alonso,112515,https://www.transfermarkt.com/marcos-alonso/profil/spieler/112515,4/4/2010,19 years 03 months 07 days,19,LaLiga,15/09/2012,21,21,Championship,19
Sammy Ameobi,92381,https://www.transfermarkt.com/sammy-ameobi/profil/spieler/92381,15/05/2011,19 years 14 days,19,Premier League,2/3/2013,20,20,Championship,19
Shola Ameobi,3276,https://www.transfermarkt.com/shola-ameobi/profil/spieler/3276,9/9/2000,18 years 10 months 28 days,18,Premier League,29/03/2008,26,26,Championship,18
Anderson,8564,https://www.transfermarkt.com/anderson/profil/spieler/8564,8/8/1996,18 years 11 months 12 days,18,Campeonato Brasileiro Série A,No second tier career,No second tier career,No second tier career,No second tier career,18
Keith Andrews,8035,https://www.transfermarkt.com/keith-andrews/profil/spieler/8035,29/11/2003,23 years 02 months 16 days,23,Premier League,18/03/2000,19,19,,19
Nicolas Anelka,3226,https://www.transfermarkt.com/nicolas-anelka/profil/spieler/3226,7/2/1996,16 years 10 months 24 days,16,Ligue 1,No second tier career,No second tier career,No second tier career,No second tier career,16
Marcos Angeleri,27448,https://www.transfermarkt.com/marcos-angeleri/profil/spieler/27448,15/02/2003,19 years 10 months 08 days,19,Torneo Final,No second tier career,No second tier career,No second tier career,No second tier career,19
Victor Anichebe,39532,https://www.transfermarkt.com/victor-anichebe/profil/spieler/39532,22/04/2006,17 years 11 months 30 days,17,Premier League,9/7/2017,29,29,China League One,17
Andrey Arshavin,15378,https://www.transfermarkt.com/andrey-arshavin/profil/spieler/15378,13/08/2000,19 years 02 months 15 days,19,Premier Liga,No second tier career,No second tier career,No second tier career,No second tier career,19
Mikel Arteta,7451,https://www.transfermarkt.com/mikel-arteta/profil/spieler/7451,17/02/2001,18 years 10 months 22 days,18,Ligue 1,No second tier career,No second tier career,No second tier career,No second tier career,18
Benoît Assou-Ekotto,18310,https://www.transfermarkt.com/benot-assou-ekotto/profil/spieler/18310,28/03/2004,20 years 04 days,20,Ligue 1,18/09/2013,29,29,Championship,20
Fábio Aurélio,7570,https://www.transfermarkt.com/fbio-aurlio/profil/spieler/7570,5/7/1997,17 years 09 months 11 days,17,Campeonato Brasileiro Série A,No second tier career,No second tier career,No second tier career,No second tier career,17
Demba Ba,40205,https://www.transfermarkt.com/demba-ba/profil/spieler/40205,29/07/2006,21 years 02 months 04 days,21,Jupiler Pro League,3/9/2007,22,22,2.Bundesliga,21
Ryan Babel,16135,https://www.transfermarkt.com/ryan-babel/profil/spieler/16135,1/2/2004,17 years 01 month 13 days,17,Eredivisie,13/08/2022,35,35,,17
Leighton Baines,13507,https://www.transfermarkt.com/leighton-baines/profil/spieler/13507,14/08/2005,20 years 08 months 03 days,20,Premier League,1/11/2003,18,18,First Division (until 03/04),18
Chris Baird,4115,https://www.transfermarkt.com/chris-baird/profil/spieler/4115,22/03/2003,21 years 25 days,21,Premier League,27/09/2003,21,21,First Division (until 03/04),21
Nathan Baker,62638,https://www.transfermarkt.com/nathan-baker/profil/spieler/62638,25/01/2011,19 years 09 months 02 days,19,Premier League,26/11/2011,20,20,Championship,19
Gareth Bale,39381,https://www.transfermarkt.com/gareth-bale/profil/spieler/39381,26/08/2007,18 years 01 month 10 days,18,Premier League,17/04/2006,16,16,Championship,16
Mario Balotelli,45146,https://www.transfermarkt.com/mario-balotelli/profil/spieler/45146,16/12/2007,17 years 04 months 04 days,17,Serie A,30/12/2020,30,30,Serie B,17
