player_name,season,squad,position,age,nation,minutes,rank,player_url_fbref,current age_fbref,dob_age_fbref,place_birth_fbref,height_fbref,citizenship_fbref,position_fbref,foot_fbref,current_club_fbref,debut_season_fbref,debut_age_fbref,first_club_fbref,debut_year_fbref,player_url_tra,slug,player_id_fbref,home_name_fbref,dob_age_tra,fecha americana,YEAR_tra,place_birth_tra,height_tra,citizenship_tra,position_tra,foot_tra,current_club_tra,joined_tra,contract_expires_tra,outfitter_tra,first_tier_debut_date,first_tier_debut_age,first_tier_debut_competition,second_tier_debut_date,second_tier_debut_age,second_tier_debut_competition,debut_age_transfermarket,injury_count_total_tra,days_missed_total_tra,games_missed_total_tra,injury_seasons_tra,Deceased_tra,death_date,death_age,retired_tra,retirement_date_tra,year_retirement,career_lenght,career_lenght_w_actives_and_dead,shirt_number_tra,National_team,total_seasons_national,matches_national,minutes_national,goals_national,CAREER Sum of matches_played,CAREER Sum of minutes,CAREER Sum of goals
Óliver Torres,2012-2013,Atlético Madrid,"FW,MF",17,es ESP,177,536,https://fbref.com/en/players/58a9a4d9/Oliver-Torres,30,"November 10, 1994 (Age: 30-350d)","Navalmoral de la Mata, Spain",178cm,Spain,FW-MF (AM-CM-WM),Right,Monterrey,2012-2013,17,Atlético Madrid,2012,https://www.transfermarkt.com/oliver-torres/profil/spieler/214775,oliver-torres,214775,Óliver Torres,10/11/1994 (30),34648,1994,Navalmoral de la Mata,"1,75",Spain,Midfield - Central Midfield,right,Monterrey,45298,30/06/2027,NA,19/08/2012,17,LaLiga,No second tier career,NA,No second tier career,17,8,254,42,6,No,NA,NA,No,NA,NA,NA,13,8,No,0,Not_national_team,Not_national_team,Not_national_team,436,24868,28
Óliver Torres,2013-2014,Atlético Madrid,"FW,MF",18,es ESP,216,517,https://fbref.com/en/players/58a9a4d9/Oliver-Torres,30,"November 10, 1994 (Age: 30-350d)","Navalmoral de la Mata, Spain",178cm,Spain,FW-MF (AM-CM-WM),Right,Monterrey,2012-2013,17,Atlético Madrid,2012,https://www.transfermarkt.com/oliver-torres/profil/spieler/214775,oliver-torres,214775,Óliver Torres,10/11/1994 (30),34648,1994,Navalmoral de la Mata,"1,75",Spain,Midfield - Central Midfield,right,Monterrey,45298,30/06/2027,NA,19/08/2012,17,LaLiga,No second tier career,NA,No second tier career,17,8,254,42,6,No,NA,NA,No,NA,NA,NA,13,8,No,0,Not_national_team,Not_national_team,Not_national_team,436,24868,28
Óliver Torres,2013-2014,Villarreal,"FW,MF",18,es ESP,502,516,https://fbref.com/en/players/58a9a4d9/Oliver-Torres,30,"November 10, 1994 (Age: 30-350d)","Navalmoral de la Mata, Spain",178cm,Spain,FW-MF (AM-CM-WM),Right,Monterrey,2012-2013,17,Atlético Madrid,2012,https://www.transfermarkt.com/oliver-torres/profil/spieler/214775,oliver-torres,214775,Óliver Torres,10/11/1994 (30),34648,1994,Navalmoral de la Mata,"1,75",Spain,Midfield - Central Midfield,right,Monterrey,45298,30/06/2027,NA,19/08/2012,17,LaLiga,No second tier career,NA,No second tier career,17,8,254,42,6,No,NA,NA,No,NA,NA,NA,13,8,No,0,Not_national_team,Not_national_team,Not_national_team,436,24868,28
Óscar,2012-2013,Valladolid,MF,29,es ESP,2937,404,https://fbref.com/en/players/627650df/Oscar,2/11/1900,30267,NA,181cm,Spain,MF (AM-WM),NA,NA,2001-2002,18,Valladolid,2001,https://www.transfermarkt.com/oscar-gonzalez/profil/spieler/7818,oscar-gonzalez,7818,Óscar González,12/11/1982 (42),30267,1982,Salamanca,"1,75",Spain,Midfield - Attacking Midfield,right,Real Valladolid,42376,-,NA,37082,18,LaLiga,19/09/2010,1/27/1900,Segunda División,18,2,42,6,2,No,NA,NA,Yes,42376,2016,15,15,NA,No,0,Not_national_team,Not_national_team,Not_national_team,449,28425,87
Óscar,2013-2014,Valladolid,MF,30,es ESP,1630,374,https://fbref.com/en/players/627650df/Oscar,2/11/1900,30267,NA,181cm,Spain,MF (AM-WM),NA,NA,2001-2002,18,Valladolid,2001,https://www.transfermarkt.com/oscar-gonzalez/profil/spieler/7818,oscar-gonzalez,7818,Óscar González,12/11/1982 (42),30267,1982,Salamanca,"1,75",Spain,Midfield - Attacking Midfield,right,Real Valladolid,42376,-,NA,37082,18,LaLiga,19/09/2010,1/27/1900,Segunda División,18,2,42,6,2,No,NA,NA,Yes,42376,2016,15,15,NA,No,0,Not_national_team,Not_national_team,Not_national_team,449,28425,87
Óscar Díaz,2013-2014,Almería,"FW,MF",29,es ESP,1212,145,https://fbref.com/en/players/5a5ed410/Oscar-Diaz,2/10/1900,30796,NA,180cm,NA,FW-MF (AM-WM),NA,NA,2005-2006,21,Real Madrid B,2005,https://www.transfermarkt.com/oscar-diaz/profil/spieler/30802,oscar-diaz,30802,Óscar Díaz,24/04/1984,30796,1984,Madrid,"1,83",Spain,Attack - Centre-Forward,right,Unknown,44933,-,NA,19/08/2013,29,LaLiga,20/12/2005,21,Segunda División,21,1,7,1,1,No,NA,NA,No,NA,NA,NA,20,NA,No,0,Not_national_team,Not_national_team,Not_national_team,307,17161,44
Óscar de Marcos,2010-2011,Athletic Club,"DF,FW",21,es ESP,540,339,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos,2/5/1900,32612,NA,180cm,Spain,"DF-FW-MF (DM-FB, right)",Right,NA,2008-2009,19,Alavés,2008,https://www.transfermarkt.com/oscar-de-marcos/profil/spieler/96718,oscar-de-marcos,96718,Óscar de Marcos,14/04/1989 (36),32612,1989,Laguardia,"1,82",Spain,Defender - Right-Back,right,Athletic Club,45664,-,NA,30/08/2009,20,LaLiga,21/12/2008,1/19/1900,Segunda División,19,25,668,91,10,No,NA,NA,Yes,45664,2025,17,17,NA,No,0,Not_national_team,Not_national_team,Not_national_team,557,41273,38
Óscar de Marcos,2011-2012,Athletic Club,"DF,FW",22,es ESP,2915,328,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos,2/5/1900,32612,NA,180cm,Spain,"DF-FW-MF (DM-FB, right)",Right,NA,2008-2009,19,Alavés,2008,https://www.transfermarkt.com/oscar-de-marcos/profil/spieler/96718,oscar-de-marcos,96718,Óscar de Marcos,14/04/1989 (36),32612,1989,Laguardia,"1,82",Spain,Defender - Right-Back,right,Athletic Club,45664,-,NA,30/08/2009,20,LaLiga,21/12/2008,1/19/1900,Segunda División,19,25,668,91,10,No,NA,NA,Yes,45664,2025,17,17,NA,No,0,Not_national_team,Not_national_team,Not_national_team,557,41273,38
Óscar de Marcos,2012-2013,Athletic Club,"DF,FW",23,es ESP,3136,332,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos,2/5/1900,32612,NA,180cm,Spain,"DF-FW-MF (DM-FB, right)",Right,NA,2008-2009,19,Alavés,2008,https://www.transfermarkt.com/oscar-de-marcos/profil/spieler/96718,oscar-de-marcos,96718,Óscar de Marcos,14/04/1989 (36),32612,1989,Laguardia,"1,82",Spain,Defender - Right-Back,right,Athletic Club,45664,-,NA,30/08/2009,20,LaLiga,21/12/2008,1/19/1900,Segunda División,19,25,668,91,10,No,NA,NA,Yes,45664,2025,17,17,NA,No,0,Not_national_team,Not_national_team,Not_national_team,557,41273,38
Óscar de Marcos,2013-2014,Athletic Club,"DF,FW",24,es ESP,1982,310,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos,2/5/1900,32612,NA,180cm,Spain,"DF-FW-MF (DM-FB, right)",Right,NA,2008-2009,19,Alavés,2008,https://www.transfermarkt.com/oscar-de-marcos/profil/spieler/96718,oscar-de-marcos,96718,Óscar de Marcos,14/04/1989 (36),32612,1989,Laguardia,"1,82",Spain,Defender - Right-Back,right,Athletic Club,45664,-,NA,30/08/2009,20,LaLiga,21/12/2008,1/19/1900,Segunda División,19,25,668,91,10,No,NA,NA,Yes,45664,2025,17,17,NA,No,0,Not_national_team,Not_national_team,Not_national_team,557,41273,38
