player_name,player_url,season_simple,squad,National_team,squad_url,age,matches_played,minutes,goals,assists,retired
Álvaro Negredo,https://fbref.com/en/players/63b0ca6b/Alvaro-Negredo,2005,Real Madrid B,0,https://www.transfermarkt.com/real-madrid-b-castilla-/startseite/verein/6767,19,25,1306,4,0,Yes
Álvaro Negredo,https://fbref.com/en/players/63b0ca6b/Alvaro-Negredo,2006,Real Madrid B,0,https://www.transfermarkt.com/real-madrid-b-castilla-/startseite/verein/6767,20,40,3327,18,3,Yes
Álvaro Negredo,https://fbref.com/en/players/63b0ca6b/Alvaro-Negredo,2007,Almería,0,https://www.transfermarkt.mx/ud-almeria/startseite/verein/3302,21,36,2843,12,3,Yes
Álvaro Negredo,https://fbref.com/en/players/63b0ca6b/Alvaro-Negredo,2008,Almería,0,https://www.transfermarkt.mx/ud-almeria/startseite/verein/3302,22,34,2811,19,5,Yes
Álvaro Negredo,https://fbref.com/en/players/63b0ca6b/Alvaro-Negredo,2009,Sevilla,0,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368,23,42,2326,12,4,Yes
Álvaro Negredo,https://fbref.com/en/players/63b0ca6b/Alvaro-Negredo,2010,es Spain,1,,24,2,126,2,0,Yes
Álvaro Negredo,https://fbref.com/en/players/63b0ca6b/Alvaro-Negredo,2010,Sevilla,0,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368,24,44,2930,21,8,Yes
Álvaro Negredo,https://fbref.com/en/players/63b0ca6b/Alvaro-Negredo,2011,Sevilla,0,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368,25,30,2318,14,3,Yes
Álvaro Negredo,https://fbref.com/en/players/63b0ca6b/Alvaro-Negredo,2012,es Spain,1,,26,3,115,2,0,Yes
Álvaro Negredo,https://fbref.com/en/players/63b0ca6b/Alvaro-Negredo,2012,Sevilla,0,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368,26,36,3025,25,1,Yes
Álvaro Negredo,https://fbref.com/en/players/63b0ca6b/Alvaro-Negredo,2013,Manchester City,0,https://www.transfermarkt.com/manchester-city/startseite/verein/281,27,40,2049,14,4,Yes
Álvaro Negredo,https://fbref.com/en/players/63b0ca6b/Alvaro-Negredo,2014,es Spain,1,,28,4,170,3,0,Yes
