PREVIOUS,,,,,NEW,,,,NEW,,
,,,,,,,,,,,
Row Labels,Count of player_name,,,,Row Labels,Count of player_name,,,Row Labels,Count of player_name,
EU_Major,147,,,,EU_Major,412,,,EU_Major,1017,
Rest_of_World,814,,,,Rest_of_World,271,,,Rest_of_World,132,
South_America,19,,,,South_America,29,,,South_America,56,
UK_Ireland,380,,,,UK_Ireland,648,,,UK_Ireland,5,
Grand Total,1360,,,,Grand Total,1360,,,Grand Total,1210,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,NEW,,,,NEW,,
,,,,,,,,,,,
,,,,,Row Labels,Average of career_length,,,Row Labels,Average of career_length,
,,,,,"[15,18)", 15.90 ,,,"[15,18)", 17.49 ,
,,,,,"[18,21)", 15.49 ,,,"[18,21)", 16.23 ,
,,,,,"[21,24)", 16.09 ,,,"[21,24)", 14.38 ,
,,,,,"[24,30]", 15.69 ,,,"[24,30]", 12.45 ,
,,,,,Grand Total, 15.70 ,,,Grand Total, 15.67 ,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,Row Labels,Count of player_name,,,Row Labels,Count of player_name,
,,,,,"[15,18)",382,,,"[15,18)", 146 ,
,,,,,"[18,21)",733,,,"[18,21)", 669 ,
,,,,,"[21,24)",197,,,"[21,24)", 326 ,
,,,,,"[24,30]",48,,,"[24,30]", 69 ,
,,,,,Grand Total,1360,,,Grand Total," 1,210 ",
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,PREMIER,,,,SPAIN,,
,,,,, Row Labels , Average of career_length ,players,, Row Labels , Average of career_length ,players
,,,,," [15,18) ", 15.90 ,382,," [15,18) ", 17.49 , 146 
,,,,," [18,21) ", 15.49 ,733,," [18,21) ", 16.23 , 669 
,,,,," [21,24) ", 16.09 ,197,," [21,24) ", 14.38 , 326 
,,,,," [24,30] ", 15.69 ,48,," [24,30] ", 12.45 , 69 
,,,,, Grand Total , 15.70 ,1360,, Grand Total , 15.67 ," 1,210 "
