"player_name","nationality","fbref_url","transfer_url","career_length","retired","retirement_age","age_current","debut_age","debut_year","injury_count_total","days_missed_total","games_missed_total","total_matches_club","seasons_club","foot","position_simple","height","debut_age_num","height_clean","debut_year_num","injuries_per_season","foot_clean","event","debut_band","height_group","inj_band","debut_decade","nationality_clean","region"
"Alex","Brazil","https://fbref.com/en/players/58721835/Alex","https://www.transfermarkt.com/alex/profil/spieler/15420",14,"Yes",34,43,"22 years","2004",15,336,59,354,12,"right","Defender","188",22,188,2004,1.25,"right",1,"[21,24)","(185,203]","(9,57]","2000s","Brazil","South_America"
"Anderson","Brazil","https://fbref.com/en/players/ffcbeb74/Anderson","https://www.transfermarkt.com/anderson/profil/spieler/31645",15,"Yes",31,37,"17 years","2005",8,429,75,236,13,"left","Midfield","176",17,176,2005,0.615384615384615,"left",1,"[15,18)","[165,180]","(3,9]","2000s","Brazil","South_America"
"Bebé","Cape Verde  Portugal","https://fbref.com/en/players/d8712bf9/Bebe","https://www.transfermarkt.com/bebe/profil/spieler/153427",15,"No",NA,35,"20 years","2010",3,601,92,334,16,"right","Attack","190",20,190,2010,0.1875,"right",0,"[18,21)","(185,203]","[0,3]","2010s","Cape Verde Portugal","EU_Major"
"Rory Delap","Ireland  England","https://fbref.com/en/players/9b0dac73/Rory-Delap","https://www.transfermarkt.com/rory-delap/profil/spieler/4112",16,"Yes",37,49,"21 years","1997",1,77,13,446,17,"right","Midfield","183",21,183,1997,0.0588235294117647,"right",1,"[21,24)","(180,185]","[0,3]","1990s","Ireland England","UK_Ireland"
"Denílson","Brazil","https://fbref.com/en/players/2f07dee0/Denilson","https://www.transfermarkt.com/denilson/profil/spieler/42352",16,"Yes",33,37,"18 years","2006",4,117,21,176,9,"right","Midfield","179",18,179,2006,0.444444444444444,"right",1,"[18,21)","[165,180]","(3,9]","2000s","Brazil","South_America"
"Fábio","Brazil  Portugal","https://fbref.com/en/players/bc7b4580/Fabio","https://www.transfermarkt.com/fabio/profil/spieler/61891",15,"Yes",34,35,"19 years","2009",12,622,95,307,16,"right","Defender","172",19,172,2009,0.75,"right",1,"[18,21)","[165,180]","(9,57]","2000s","Brazil Portugal","EU_Major"
"Vince Grella","Australia  Italy","https://fbref.com/en/players/db61f587/Vince-Grella","https://www.transfermarkt.com/vincenzo-grella/profil/spieler/6021",14,"Yes",33,46,"18 years","1998",4,336,62,255,13,"both","Midfield","180",18,180,1998,0.307692307692308,"both",1,"[18,21)","[165,180]","(3,9]","1990s","Australia Italy","EU_Major"
"El Hadji Diouf","Senegal  France","https://fbref.com/en/players/1a4542c8/El-Hadji-Diouf","https://www.transfermarkt.com/el-hadji-diouf/profil/spieler/3604",17,"Yes",34,44,"17 years","1998",2,28,6,448,16,"right","Attack","182",17,182,1998,0.125,"right",1,"[15,18)","(180,185]","[0,3]","1990s","Senegal France","EU_Major"
"Park Ji-sung","Korea, South","https://fbref.com/en/players/3de4cb30/Park-Ji-sung","https://www.transfermarkt.com/ji-sung-park/profil/spieler/4592",14,"Yes",33,44,"21 years","2002",7,351,68,304,12,"both","Attack","173",21,173,2002,0.583333333333333,"both",1,"[21,24)","[165,180]","(3,9]","2000s","Korea, South","Rest_of_World"
"Sergei Kornilenko","Belarus  Russia","https://fbref.com/en/players/be1797d6/Sergei-Kornilenko","https://www.transfermarkt.com/sergey-kornilenko/profil/spieler/15881",22,"Yes",38,42,"20 years","2003",2,91,9,285,16,"left","Attack","186",20,186,2003,0.125,"left",1,"[18,21)","(185,203]","[0,3]","2000s","Belarus Russia","Rest_of_World"
"Sotirios Kyrgiakos","Greece","https://fbref.com/en/players/2bc82fdc/Sotirios-Kyrgiakos","https://www.transfermarkt.com/sotiris-kyrgiakos/profil/spieler/9706",14,"Yes",34,46,"22 years","2001",6,299,20,272,12,"right","Defender","193",22,193,2001,0.5,"right",1,"[21,24)","(185,203]","(3,9]","2000s","Greece","Rest_of_World"
"Adrián López","Spain","https://fbref.com/en/players/70392341/Adrian-Lopez","https://www.transfermarkt.com/adrian-lopez/profil/spieler/44966",12,"Yes",32,38,"20 years","2007",2,80,14,47,9,"right","Defender","184",20,184,2007,0.222222222222222,"right",1,"[18,21)","(180,185]","[0,3]","2000s","Spain","EU_Major"
"Andy O'Brien","Ireland  England","https://fbref.com/en/players/1719f6b2/Andy-OBrien","https://www.transfermarkt.com/andrew-obrien/profil/spieler/3228",18,"Yes",35,46,"20 years","1999",1,9,2,405,16,"right","Defender","191",20,191,1999,0.0625,"right",1,"[18,21)","(185,203]","[0,3]","1990s","Ireland England","UK_Ireland"
"Frédéric Piquionne","Martinique  France","https://fbref.com/en/players/62f579c5/Frederic-Piquionne","https://www.transfermarkt.com/frederic-piquionne/profil/spieler/5683",15,"Yes",37,47,"22 years","2001",0,0,0,402,15,"right","Attack","188",22,188,2001,0,"right",1,"[21,24)","(185,203]","[0,3]","2000s","Martinique France","EU_Major"
"Rafael","Brazil  Portugal","https://fbref.com/en/players/9a1f2e1c/Rafael","https://www.transfermarkt.com/rafael/profil/spieler/61892",16,"Yes",34,35,"18 years","2008",26,1158,220,327,17,"right","Defender","173",18,173,2008,1.52941176470588,"right",1,"[18,21)","[165,180]","(9,57]","2000s","Brazil Portugal","EU_Major"
"Abdul Razak","Cote d'Ivoire","https://fbref.com/en/players/5e61927c/Abdul-Razak","https://www.transfermarkt.com/abdul-razak/profil/spieler/177321",15,"No",NA,33,"17 years","2010",1,13,0,124,11,"right","Midfield","180",17,180,2010,0.0909090909090909,"right",0,"[15,18)","[165,180]","[0,3]","2010s","Cote d'Ivoire","Rest_of_World"
"Jack Robinson","England","https://fbref.com/en/players/7399c7a8/Jack-Robinson","https://www.transfermarkt.com/jack-robinson/profil/spieler/128909",16,"No",NA,32,"15 years","2009",5,806,136,343,16,"left","Defender","180",15,180,2009,0.3125,"left",0,"[15,18)","[165,180]","(3,9]","2000s","England","UK_Ireland"
